,Department,Teacher_ID,Teacher_Name,Year,Course_ID,Course_Duration,Course_Ressources,Course_Ress_Digit,Course_Ress_inClass,Digitalization_Ressource_Ratio,Digitalization_Ressource_Percent,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam,Sequence
18,Economy,1,Lenoir,2013,19,56,41,1,40,0.02,2,1,0,0,26,12,2,Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Exercise-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Examen-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Video-Lecture-Lecture-Exercise-Examen
19,Economy,1,Lenoir,2013,20,27,17,4,13,0.24,24,1,2,1,8,4,1,Lecture-QCM-Lecture-Exercise-Examen-Video-Lecture-Exercise-Lecture-Exercise-QCM-Lecture-Lecture-Exercise-Lecture-Lecture-Test
20,Economy,2,Gile,2013,21,50,16,0,16,0.0,0,0,0,0,11,4,1,Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Examen
21,Economy,2,Gile,2013,22,12,10,1,9,0.1,10,1,0,0,6,3,0,Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Video-Lecture
22,Economy,2,Gile,2013,23,51,48,24,24,0.5,50,13,10,1,14,8,2,Video-QCM-Lecture-Lecture-Lecture-Video-QCM-Lecture-Video-Exercise-Exercise-Video-Video-Exercise-Lecture-Lecture-Examen-Video-Lecture-QCM-Video-Exercise-Lecture-Video-Video-Exercise-QCM-Exercise-QCM-QCM-Video-Test-QCM-Exercise-Lecture-Video-Video-Lecture-Exercise-QCM-Video-Lecture-QCM-Lecture-QCM-Lecture-Lecture-Examen
23,Economy,2,Gile,2013,24,32,18,5,13,0.28,28,2,3,0,9,3,1,Video-Lecture-Lecture-Video-QCM-Lecture-Exercise-QCM-Lecture-Lecture-Exercise-QCM-Lecture-Lecture-Exercise-Lecture-Lecture-Examen
24,Economy,2,Gile,2013,25,13,9,3,6,0.33,33,1,1,1,3,2,1,Exercise-Lecture-Video-QCM-Test-Exercise-Lecture-Lecture-Examen
25,Economy,2,Gile,2013,26,28,12,3,9,0.25,25,3,0,0,5,3,1,Lecture-Video-Video-Video-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Examen
26,Economy,2,Gile,2013,27,39,14,2,12,0.14,14,1,1,0,8,4,0,Exercise-Lecture-Lecture-Video-Lecture-Lecture-Exercise-Lecture-Exercise-QCM-Lecture-Exercise-Lecture-Lecture
27,Economy,2,Gile,2013,28,35,20,7,13,0.35,35,2,4,1,9,4,0,Lecture-Lecture-Lecture-QCM-Lecture-Exercise-Exercise-Lecture-Exercise-Lecture-Lecture-QCM-Video-Video-QCM-QCM-Exercise-Lecture-Lecture-Test
28,Economy,2,Gile,2013,29,28,12,5,7,0.42,42,1,3,1,5,2,0,Lecture-Lecture-QCM-Exercise-QCM-Lecture-QCM-Lecture-Lecture-Exercise-Video-Test
29,Economy,2,Gile,2013,30,39,27,3,24,0.11,11,1,2,0,16,7,1,Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-QCM-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Video-Exercise-Lecture-Exercise-Lecture-Exercise-QCM-Lecture-Lecture-Exercise-Examen
30,Economy,2,Gile,2013,31,21,14,2,12,0.14,14,1,1,0,8,3,1,Lecture-QCM-Exercise-Exercise-Lecture-Lecture-Lecture-Video-Exercise-Lecture-Lecture-Lecture-Lecture-Examen
31,Economy,2,Gile,2013,32,21,7,2,5,0.29,29,2,0,0,3,1,1,Video-Lecture-Lecture-Exercise-Lecture-Video-Examen
32,Economy,3,Detienne,2013,33,46,35,4,31,0.11,11,1,2,1,20,9,2,Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Examen-Lecture-Lecture-QCM-Exercise-Lecture-Lecture-Lecture-QCM-Lecture-Exercise-Lecture-Examen-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Video-Exercise-Test
33,Economy,3,Detienne,2013,34,8,5,2,3,0.4,40,2,0,0,2,1,0,Video-Lecture-Exercise-Video-Lecture
34,Economy,3,Detienne,2013,35,21,15,5,10,0.33,33,1,3,1,6,3,1,Lecture-QCM-Exercise-Lecture-Lecture-Lecture-Lecture-Examen-QCM-Video-Exercise-QCM-Exercise-Lecture-Test
35,Economy,3,Detienne,2013,36,33,23,3,20,0.13,13,3,0,0,13,6,1,Exercise-Lecture-Exercise-Video-Lecture-Lecture-Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Video-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Video-Lecture-Examen
36,Economy,3,Detienne,2013,37,36,23,3,20,0.13,13,1,2,0,13,6,1,Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Video-QCM-Lecture-Lecture-QCM-Exercise-Lecture-Exercise-Lecture-Exercise-Lecture-Lecture-Examen
37,Economy,3,Detienne,2013,38,15,15,4,11,0.27,27,1,2,1,6,4,1,Lecture-Lecture-Exercise-QCM-Lecture-Lecture-Lecture-Examen-Video-Exercise-QCM-Lecture-Exercise-Exercise-Test
38,Economy,3,Detienne,2013,39,22,15,8,7,0.53,53,3,4,1,5,2,0,Lecture-QCM-QCM-Lecture-Lecture-Video-Video-Exercise-Exercise-Lecture-Lecture-QCM-Video-QCM-Test
39,Economy,3,Detienne,2013,40,26,11,5,6,0.45,45,3,1,1,4,1,1,Lecture-Video-Lecture-Video-Examen-Lecture-QCM-Exercise-Lecture-Video-Test
40,Economy,3,Detienne,2013,41,12,5,2,3,0.4,40,2,0,0,1,1,1,Exercise-Video-Lecture-Video-Examen
41,Economy,3,Detienne,2013,42,12,5,1,4,0.2,20,1,0,0,1,2,1,Exercise-Video-Lecture-Exercise-Examen
42,Economy,3,Detienne,2013,43,14,13,2,11,0.15,15,1,1,0,8,3,0,Exercise-Lecture-Lecture-Lecture-QCM-Video-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise
43,Economy,3,Detienne,2013,44,17,7,3,4,0.43,43,1,1,1,2,2,0,Video-Lecture-Exercise-Exercise-Lecture-QCM-Test
44,Economy,3,Detienne,2013,45,19,8,3,5,0.38,38,1,2,0,2,2,1,Exercise-Exercise-QCM-Video-Lecture-Lecture-QCM-Examen
45,Economy,3,Detienne,2013,46,8,5,2,3,0.4,40,1,1,0,2,1,0,Lecture-Exercise-Video-Lecture-QCM
46,Economy,3,Detienne,2013,47,44,17,6,11,0.35,35,4,1,1,8,2,1,Lecture-Video-Video-Lecture-Lecture-Exercise-Lecture-Video-Test-Video-Lecture-QCM-Lecture-Lecture-Exercise-Lecture-Examen
47,Economy,3,Detienne,2013,48,33,20,9,11,0.45,45,4,4,1,8,3,0,Lecture-Video-Video-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Video-Lecture-Exercise-Lecture-QCM-Video-QCM-Exercise-QCM-QCM-Test
48,Economy,4,Deville,2013,49,35,29,8,21,0.28,28,4,4,0,13,7,1,Lecture-Lecture-Video-Exercise-Video-Lecture-Lecture-Lecture-Exercise-QCM-Video-Lecture-Lecture-QCM-QCM-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Exercise-Exercise-Exercise-QCM-Lecture-Lecture-Video-Examen
49,Economy,4,Deville,2013,50,23,13,3,10,0.23,23,1,2,0,7,3,0,QCM-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Video-Exercise-QCM-Lecture
50,Economy,4,Deville,2013,51,8,4,2,2,0.5,50,2,0,0,1,1,0,Lecture-Video-Exercise-Video
51,Economy,4,Deville,2013,52,18,16,2,14,0.12,12,1,1,0,10,4,0,Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-QCM-Exercise-Lecture-Lecture-Exercise-Video-Lecture-Exercise
52,Economy,4,Deville,2013,53,7,3,2,1,0.67,67,2,0,0,1,0,0,Video-Lecture-Video
53,Economy,4,Deville,2013,54,36,22,1,21,0.05,5,0,1,0,14,5,2,Lecture-Lecture-QCM-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Examen-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Examen
54,Economy,4,Deville,2013,55,40,39,9,30,0.23,23,7,1,1,19,9,2,Exercise-Video-Lecture-Video-Lecture-Video-Lecture-Lecture-Exercise-Video-Lecture-Lecture-Exercise-Examen-Lecture-Exercise-Exercise-Lecture-Lecture-Video-Lecture-Video-Lecture-Lecture-Lecture-Test-Exercise-Exercise-Lecture-Lecture-Lecture-QCM-Lecture-Exercise-Video-Lecture-Exercise-Lecture-Examen
55,Economy,4,Deville,2013,56,13,12,1,11,0.08,8,1,0,0,8,3,0,Exercise-Lecture-Lecture-Video-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture
56,Economy,4,Deville,2013,57,19,14,3,11,0.21,21,1,2,0,8,3,0,Lecture-QCM-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Video-Lecture-Exercise-Lecture-QCM-Exercise
57,Economy,5,St. Jean,2013,58,26,18,8,10,0.44,44,6,2,0,6,3,1,Video-Lecture-Exercise-Video-Lecture-QCM-Video-Lecture-Lecture-Lecture-QCM-Lecture-Video-Exercise-Video-Exercise-Video-Examen
58,Economy,5,St. Jean,2013,59,41,22,2,20,0.09,9,1,1,0,13,6,1,Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-QCM-Exercise-Video-Exercise-Exercise-Examen
59,Economy,5,St. Jean,2013,60,39,17,4,13,0.24,24,2,2,0,9,3,1,Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-QCM-Video-Lecture-QCM-Lecture-Lecture-Lecture-Lecture-Exercise-Video-Examen
60,Economy,5,St. Jean,2013,61,36,36,7,29,0.19,19,5,2,0,19,9,1,Video-Video-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-QCM-Exercise-Exercise-Exercise-Lecture-Lecture-Exercise-Exercise-QCM-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Lecture-Exercise-Video-Lecture-Video-Video-Lecture-Examen
61,Economy,5,St. Jean,2013,62,31,15,3,12,0.2,20,1,1,1,7,4,1,QCM-Lecture-Video-Exercise-Lecture-Exercise-Lecture-Examen-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Test
62,Economy,5,St. Jean,2013,63,6,2,1,1,0.5,50,1,0,0,1,0,0,Video-Lecture
63,Economy,5,St. Jean,2013,64,37,19,3,16,0.16,16,1,1,1,11,5,0,Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Exercise-Video-Exercise-Exercise-Lecture-Lecture-Lecture-QCM-Lecture-Lecture-Test
64,Economy,5,St. Jean,2013,65,9,9,3,6,0.33,33,1,1,1,4,1,1,Lecture-Lecture-QCM-Lecture-Examen-Exercise-Video-Lecture-Test
65,Economy,5,St. Jean,2013,66,32,18,9,9,0.5,50,6,2,1,6,2,1,Video-Video-Video-Lecture-Video-Exercise-Lecture-Video-Examen-Exercise-Video-Lecture-Lecture-QCM-Lecture-QCM-Lecture-Test
66,Economy,5,St. Jean,2013,67,7,7,2,5,0.29,29,2,0,0,2,2,1,Lecture-Exercise-Video-Lecture-Exercise-Video-Examen
67,Economy,5,St. Jean,2013,68,14,14,1,13,0.07,7,0,1,0,9,4,0,Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Exercise-QCM-Lecture-Lecture-Exercise-Lecture
68,Economy,5,St. Jean,2013,69,28,27,9,18,0.33,33,4,5,0,11,6,1,Lecture-Lecture-QCM-Lecture-QCM-Video-QCM-Video-Exercise-Exercise-Lecture-Exercise-QCM-Exercise-Exercise-Lecture-Video-Lecture-Lecture-Lecture-Lecture-Video-Exercise-Lecture-QCM-Lecture-Examen
69,Economy,5,St. Jean,2013,70,5,5,1,4,0.2,20,0,1,0,3,1,0,Lecture-QCM-Exercise-Lecture-Lecture
70,Economy,5,St. Jean,2013,71,35,35,1,34,0.03,3,1,0,0,23,11,0,Exercise-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Video-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture
71,Economy,5,St. Jean,2013,72,6,3,1,2,0.33,33,0,1,0,2,0,0,Lecture-QCM-Lecture
72,Economy,5,St. Jean,2013,73,28,24,12,12,0.5,50,7,4,1,8,3,1,QCM-Video-Lecture-Video-Exercise-Exercise-Video-Video-Video-Lecture-Lecture-Exercise-Test-QCM-Lecture-Lecture-Lecture-QCM-Lecture-Lecture-QCM-Video-Video-Examen
73,Engineering,6,Paley,2013,74,39,36,5,31,0.14,14,2,2,1,21,10,0,Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Video-Lecture-Exercise-Lecture-Exercise-Exercise-Exercise-Exercise-Lecture-QCM-Lecture-Lecture-Exercise-Lecture-Video-Lecture-Lecture-Lecture-Lecture-QCM-Exercise-Test
74,Engineering,6,Paley,2013,75,8,3,2,1,0.67,67,2,0,0,0,1,0,Exercise-Video-Video
75,Engineering,6,Paley,2013,76,34,20,7,13,0.35,35,4,2,1,9,4,0,Lecture-Video-Video-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Video-Exercise-Exercise-Video-QCM-QCM-Exercise-Lecture-Test
76,Engineering,6,Paley,2013,77,7,5,3,2,0.6,60,2,1,0,2,0,0,Lecture-Lecture-QCM-Video-Video
77,Engineering,6,Paley,2013,78,32,11,4,7,0.36,36,2,1,1,4,2,1,Exercise-QCM-Examen-Lecture-Lecture-Video-Video-Lecture-Exercise-Lecture-Test
78,Engineering,6,Paley,2013,79,17,14,3,11,0.21,21,2,1,0,7,4,0,QCM-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Video-Exercise-Lecture-Video-Exercise-Exercise
79,Engineering,6,Paley,2013,80,50,41,3,38,0.07,7,2,1,0,25,11,2,Lecture-Video-Exercise-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Examen-Exercise-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-QCM-Lecture-Lecture-Video-Examen
80,Engineering,6,Paley,2013,81,10,10,3,7,0.3,30,1,2,0,4,3,0,Exercise-QCM-Lecture-Lecture-Exercise-QCM-Exercise-Lecture-Video-Lecture
81,Engineering,6,Paley,2013,82,9,8,4,4,0.5,50,3,1,0,3,1,0,Video-Lecture-Video-Exercise-QCM-Video-Lecture-Lecture
82,Engineering,6,Paley,2013,83,14,12,6,6,0.5,50,3,3,0,3,2,1,Exercise-Lecture-Video-Video-Lecture-QCM-Video-Lecture-QCM-Exercise-QCM-Examen
83,Engineering,6,Paley,2013,84,11,4,1,3,0.25,25,1,0,0,1,1,1,Lecture-Video-Exercise-Examen
84,Engineering,6,Paley,2013,85,20,19,6,13,0.32,32,5,1,0,8,4,1,Lecture-Lecture-Exercise-Exercise-Video-Lecture-Video-Video-Exercise-Lecture-Lecture-Lecture-Video-Lecture-Exercise-Video-Lecture-QCM-Examen
85,Engineering,6,Paley,2013,86,37,33,12,21,0.36,36,6,4,2,13,6,2,Video-Lecture-Exercise-Exercise-Lecture-Lecture-Exercise-Exercise-Test-Video-Lecture-QCM-Lecture-QCM-Lecture-Lecture-Examen-Lecture-QCM-Video-Lecture-Exercise-QCM-Video-Test-Exercise-Lecture-Lecture-Lecture-Lecture-Video-Video-Examen
86,Engineering,6,Paley,2013,87,49,25,5,20,0.2,20,3,1,1,13,6,1,Lecture-Video-Lecture-Lecture-Exercise-QCM-Lecture-Exercise-Exercise-Exercise-Exercise-Video-Examen-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Video-Lecture-Exercise-Test
87,Engineering,6,Paley,2013,88,27,11,4,7,0.36,36,2,1,1,4,2,1,Lecture-Exercise-Exercise-Video-Lecture-Test-QCM-Lecture-Lecture-Video-Examen
88,Engineering,6,Paley,2013,89,30,14,6,8,0.43,43,3,3,0,5,3,0,Lecture-Exercise-Exercise-Lecture-Video-QCM-Lecture-Video-Lecture-QCM-Video-Lecture-QCM-Exercise
89,Engineering,7,Marotte,2013,90,31,27,13,14,0.48,48,5,7,1,10,3,1,QCM-Lecture-QCM-Video-QCM-Lecture-Lecture-Lecture-Video-QCM-QCM-Exercise-Video-Test-Lecture-Exercise-QCM-Lecture-Exercise-Video-Lecture-Lecture-Lecture-Video-Lecture-QCM-Examen
90,Engineering,7,Marotte,2013,91,28,9,2,7,0.22,22,2,0,0,3,3,1,Lecture-Lecture-Lecture-Video-Exercise-Video-Exercise-Exercise-Examen
91,Engineering,7,Marotte,2013,92,55,27,13,14,0.48,48,6,7,0,9,5,0,Video-Exercise-Video-Video-Lecture-Lecture-QCM-Video-QCM-Exercise-Lecture-Video-Exercise-QCM-Exercise-QCM-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-QCM-Video-Lecture-QCM-QCM
92,Engineering,7,Marotte,2013,93,15,10,5,5,0.5,50,2,2,1,3,2,0,Exercise-QCM-Lecture-Video-Lecture-Lecture-Video-Exercise-QCM-Test
93,Engineering,7,Marotte,2013,94,53,22,5,17,0.23,23,4,1,0,12,5,0,Video-Lecture-Exercise-Lecture-Lecture-Lecture-QCM-Video-Lecture-Lecture-Video-Lecture-Lecture-Lecture-Video-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Exercise
94,Engineering,7,Marotte,2013,95,13,8,3,5,0.38,38,1,1,1,2,2,1,Lecture-Video-Exercise-Examen-Exercise-QCM-Lecture-Test
95,Engineering,7,Marotte,2013,96,27,16,6,10,0.38,38,4,1,1,7,3,0,Video-Exercise-QCM-Video-Lecture-Lecture-Lecture-Exercise-Lecture-Video-Lecture-Lecture-Video-Exercise-Lecture-Test
96,Engineering,7,Marotte,2013,97,29,14,3,11,0.21,21,1,1,1,7,4,0,Exercise-Exercise-Exercise-QCM-Video-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Test
97,Engineering,7,Marotte,2013,98,11,9,1,8,0.11,11,1,0,0,5,2,1,Lecture-Exercise-Video-Exercise-Lecture-Lecture-Lecture-Lecture-Examen
98,Engineering,7,Marotte,2013,99,15,11,5,6,0.45,45,2,2,1,4,1,1,Video-QCM-Lecture-Test-Lecture-Video-Lecture-Lecture-QCM-Exercise-Examen
99,Engineering,7,Marotte,2013,100,23,22,5,17,0.23,23,3,2,0,11,6,0,Lecture-Video-Lecture-QCM-Exercise-Lecture-Lecture-Exercise-Lecture-Video-Exercise-QCM-Exercise-Lecture-Exercise-Video-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture
100,Engineering,7,Marotte,2013,101,24,9,4,5,0.44,44,2,2,0,4,1,0,Lecture-Exercise-Video-QCM-Lecture-Video-Lecture-QCM-Lecture
101,Engineering,7,Marotte,2013,102,38,38,2,36,0.05,5,1,1,0,24,11,1,Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-QCM-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Video-Exercise-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Exercise-Examen
102,Engineering,7,Marotte,2013,103,18,14,7,7,0.5,50,3,3,1,4,2,1,QCM-Lecture-Lecture-QCM-Video-Exercise-Test-QCM-Exercise-Lecture-Video-Lecture-Video-Examen
103,Engineering,8,Constantineau,2013,104,22,22,1,21,0.05,5,1,0,0,12,7,2,Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Exercise-Lecture-Examen-Lecture-Video-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Exercise-Examen
104,Engineering,8,Constantineau,2013,105,15,10,4,6,0.4,40,1,2,1,4,2,0,Lecture-Exercise-Lecture-Exercise-QCM-Video-Lecture-QCM-Lecture-Test
105,Engineering,8,Constantineau,2013,106,8,5,1,4,0.2,20,1,0,0,2,2,0,Lecture-Video-Exercise-Lecture-Exercise
106,Engineering,8,Constantineau,2013,107,38,33,3,30,0.09,9,1,2,0,20,9,1,QCM-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-QCM-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Exercise-Video-Lecture-Lecture-Exercise-Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Examen
107,Engineering,8,Constantineau,2013,108,22,6,3,3,0.5,50,3,0,0,2,1,0,Video-Video-Video-Lecture-Lecture-Exercise
108,Engineering,8,Constantineau,2013,109,55,37,2,35,0.05,5,2,0,0,23,10,2,Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Video-Lecture-Lecture-Exercise-Exercise-Examen-Lecture-Lecture-Lecture-Lecture-Video-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Examen
109,Engineering,8,Constantineau,2013,110,6,2,1,1,0.5,50,0,1,0,0,1,0,QCM-Exercise
110,Engineering,8,Constantineau,2013,111,29,11,4,7,0.36,36,2,2,0,5,2,0,QCM-Exercise-QCM-Lecture-Lecture-Lecture-Lecture-Video-Lecture-Exercise-Video
111,Engineering,9,Berry,2013,112,38,13,6,7,0.46,46,3,2,1,5,1,1,Lecture-Video-Video-Lecture-QCM-QCM-Test-Exercise-Lecture-Lecture-Lecture-Video-Examen
112,Engineering,9,Berry,2013,113,40,32,10,22,0.31,31,7,3,0,13,7,2,Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Video-QCM-Video-Exercise-Video-Lecture-Video-Lecture-Lecture-Exercise-Examen-Video-Lecture-Exercise-QCM-Exercise-QCM-Lecture-Video-Lecture-Exercise-Lecture-Lecture-Video-Lecture-Examen
113,Engineering,9,Berry,2013,114,6,6,3,3,0.5,50,1,2,0,2,1,0,Lecture-QCM-QCM-Exercise-Lecture-Video
114,Engineering,9,Berry,2013,115,23,16,2,14,0.12,12,1,1,0,10,4,0,Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Exercise-QCM-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Video
115,Engineering,9,Berry,2013,116,15,7,1,6,0.14,14,0,1,0,4,2,0,Lecture-Exercise-QCM-Lecture-Lecture-Exercise-Lecture
116,Engineering,9,Berry,2013,117,27,12,5,7,0.42,42,3,1,1,4,2,1,Video-Exercise-Lecture-Video-Video-Lecture-Examen-Exercise-QCM-Lecture-Lecture-Test
117,Engineering,9,Berry,2013,118,50,49,14,35,0.29,29,10,4,0,23,10,2,Lecture-Lecture-Lecture-Lecture-Video-Lecture-QCM-Lecture-Lecture-Lecture-Lecture-Exercise-Video-QCM-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Video-Lecture-Lecture-Video-Examen-QCM-Exercise-Lecture-Exercise-Lecture-Lecture-Exercise-Exercise-Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Video-Exercise-Video-Video-Lecture-Video-Video-QCM-Video-Examen
