,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization,Duration_Video,Duration_QCM,Duration_Exam,Number_Video,Number_QCM,Number_Exam,Number_Ressources,Number_Video_1H,Number_Video_2H,Number_Video_3H,Number_Video_4H,Number_QCM_1H,Number_QCM_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H,Basic_Sequence,Advanced_Sequence
19,Pinsonneault,Languages,2013,20,17,0,17,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,Pinsonneault,Languages,2013,21,9,4,5,0.41,41,Medium-Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,Video-QCM-Exam,Video Duration: 1H-QCM Duration: 2H-Exam Duration: 1H
21,Pinsonneault,Languages,2013,22,15,0,15,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,Pinsonneault,Languages,2013,23,27,10,17,0.36,36,Medium-Low Digitalization,4,5,1,2,5,1,8,0,2,0,0,5,0,1,0,0,0,QCM-Video-Video-QCM-QCM-QCM-QCM-Exam,QCM Duration: 1H-Video Duration: 2H-Video Duration: 2H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Exam Duration: 1H
23,Pinsonneault,Languages,2013,24,5,1,4,0.2,20,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
24,Pinsonneault,Languages,2013,25,25,11,14,0.44,44,Medium-Low Digitalization,6,5,0,3,3,0,6,2,0,0,1,1,2,0,0,0,0,QCM-QCM-Video-QCM-Video-Video,QCM Duration: 2H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 2H-Video Duration: 1H-Video Duration: 4H
25,Pinsonneault,Languages,2013,26,49,0,49,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
26,Pinsonneault,Languages,2013,27,37,7,30,0.18,18,Low Digitalization,5,2,0,3,2,0,5,2,0,1,0,2,0,0,0,0,0,Video-QCM-QCM-Video-Video,Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 3H
27,Pinsonneault,Languages,2013,28,36,14,22,0.38,38,Medium-Low Digitalization,5,8,1,4,6,1,11,3,1,0,0,4,2,1,0,0,0,Video-QCM-Video-QCM-QCM-Video-QCM-Video-QCM-QCM-Exam,Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 2H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 2H-QCM Duration: 2H-QCM Duration: 1H-Exam Duration: 1H
28,Pinsonneault,Languages,2013,29,19,4,15,0.19,19,Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0,Video-QCM-QCM-Exam,Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Exam Duration: 1H
29,Pinsonneault,Languages,2013,30,6,1,5,0.14,14,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
30,Pinsonneault,Languages,2013,31,12,0,12,0.0,0,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31,Pinsonneault,Languages,2013,32,32,13,19,0.42,42,Medium-Low Digitalization,6,6,1,6,6,1,13,6,0,0,0,6,0,1,0,0,0,QCM-Video-Video-QCM-QCM-Video-Video-Video-Video-QCM-QCM-QCM-Exam,QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Exam Duration: 1H
32,Pinsonneault,Languages,2013,33,19,1,18,0.04,4,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
33,Pinsonneault,Languages,2013,34,13,3,10,0.2,20,Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,QCM-Video,QCM Duration: 1H-Video Duration: 2H
34,Legard,Languages,2013,35,40,17,23,0.42,42,Medium-Low Digitalization,7,8,2,6,6,1,13,5,1,0,0,4,2,0,1,0,0,QCM-Video-QCM-Video-QCM-QCM-Video-Video-Video-QCM-Video-QCM-Exam,QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 2H-Video Duration: 1H-QCM Duration: 2H-Video Duration: 1H-QCM Duration: 2H-Exam Duration: 2H
35,Legard,Languages,2013,36,13,6,7,0.43,43,Medium-Low Digitalization,2,3,1,2,3,1,6,2,0,0,0,3,0,1,0,0,0,Video-Video-QCM-QCM-QCM-Exam,Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Exam Duration: 1H
36,Legard,Languages,2013,37,54,4,50,0.07,7,Low Digitalization,3,1,0,2,1,0,3,1,1,0,0,1,0,0,0,0,0,QCM-Video-Video,QCM Duration: 1H-Video Duration: 2H-Video Duration: 1H
37,Legard,Languages,2013,38,52,2,50,0.04,4,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Video-QCM,Video Duration: 1H-QCM Duration: 1H
38,Legard,Languages,2013,39,40,9,31,0.22,22,Medium-Low Digitalization,4,4,1,3,4,1,8,2,1,0,0,4,0,1,0,0,0,Video-QCM-Video-QCM-QCM-QCM-Video-Exam,Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 2H-Exam Duration: 1H
39,Nolet,Languages,2013,40,25,8,17,0.32,32,Medium-Low Digitalization,3,4,1,2,4,1,7,1,1,0,0,4,0,1,0,0,0,QCM-QCM-QCM-Video-Video-QCM-Exam,QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 2H-QCM Duration: 1H-Exam Duration: 1H
40,Nolet,Languages,2013,41,7,3,4,0.42,42,Medium-Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Video-QCM-Video,Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H
41,Nolet,Languages,2013,42,37,3,34,0.07,7,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,QCM-Video-Video,QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H
42,Nolet,Languages,2013,43,56,4,52,0.08,8,Low Digitalization,2,2,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,QCM-Video,QCM Duration: 2H-Video Duration: 2H
43,Nolet,Languages,2013,44,30,4,26,0.12,12,Low Digitalization,3,1,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,Video-QCM,Video Duration: 3H-QCM Duration: 1H
44,Nolet,Languages,2013,45,30,2,28,0.08,8,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Video-QCM,Video Duration: 1H-QCM Duration: 1H
45,Nolet,Languages,2013,46,9,1,8,0.06,6,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
46,Nolet,Languages,2013,47,32,3,29,0.08,8,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Video-QCM-Video,Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H
47,Nolet,Languages,2013,48,48,9,39,0.19,19,Low Digitalization,5,4,0,4,4,0,8,3,1,0,0,4,0,0,0,0,0,QCM-QCM-QCM-QCM-Video-Video-Video-Video,QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 2H-Video Duration: 1H
48,Nolet,Languages,2013,49,13,4,9,0.32,32,Medium-Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,QCM-Video-Exam,QCM Duration: 2H-Video Duration: 1H-Exam Duration: 1H
49,Nolet,Languages,2013,50,40,4,36,0.1,10,Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0,Video-QCM-QCM-Exam,Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Exam Duration: 1H
50,Nolet,Languages,2013,51,5,0,5,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,Nolet,Languages,2013,52,11,4,7,0.33,33,Medium-Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,Video-QCM-Exam,Video Duration: 1H-QCM Duration: 2H-Exam Duration: 1H
52,Nolet,Languages,2013,53,31,6,25,0.19,19,Low Digitalization,2,3,1,1,2,1,4,0,1,0,0,1,1,1,0,0,0,QCM-Video-QCM-Exam,QCM Duration: 2H-Video Duration: 2H-QCM Duration: 1H-Exam Duration: 1H
53,Herpin,Languages,2013,54,32,13,19,0.4,40,Medium-Low Digitalization,5,6,2,4,4,2,10,3,1,0,0,2,2,2,0,0,0,Video-Video-QCM-QCM-Exam-QCM-QCM-Video-Video-Exam,Video Duration: 1H-Video Duration: 1H-QCM Duration: 2H-QCM Duration: 1H-Exam Duration: 1H-QCM Duration: 2H-QCM Duration: 1H-Video Duration: 2H-Video Duration: 1H-Exam Duration: 1H
54,Herpin,Languages,2013,55,18,6,12,0.34,34,Medium-Low Digitalization,4,2,0,2,1,0,3,1,0,1,0,0,1,0,0,0,0,QCM-Video-Video,QCM Duration: 2H-Video Duration: 1H-Video Duration: 3H
55,Herpin,Languages,2013,56,15,7,8,0.49,49,Medium-Low Digitalization,3,4,0,2,4,0,6,1,1,0,0,4,0,0,0,0,0,Video-QCM-Video-QCM-QCM-QCM,Video Duration: 2H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H
56,Herpin,Languages,2013,57,36,17,19,0.47,47,Medium-Low Digitalization,10,6,1,7,6,1,14,6,0,0,1,6,0,1,0,0,0,Video-Video-QCM-Video-QCM-Video-QCM-Video-Video-Video-QCM-QCM-QCM-Exam,Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 4H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Exam Duration: 1H
57,Herpin,Languages,2013,58,12,0,12,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
58,Herpin,Languages,2013,59,40,16,24,0.39,39,Medium-Low Digitalization,10,5,1,3,3,1,7,0,0,2,1,1,2,1,0,0,0,Video-QCM-Video-Video-QCM-QCM-Exam,Video Duration: 3H-QCM Duration: 1H-Video Duration: 4H-Video Duration: 3H-QCM Duration: 2H-QCM Duration: 2H-Exam Duration: 1H
59,Herpin,Languages,2013,60,6,1,5,0.21,21,Medium-Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
60,Herpin,Languages,2013,61,10,2,8,0.17,17,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,QCM-Video,QCM Duration: 1H-Video Duration: 1H
61,Herpin,Languages,2013,62,15,2,13,0.15,15,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Video-QCM,Video Duration: 1H-QCM Duration: 1H
62,Barre,Languages,2013,63,45,18,27,0.4,40,Medium-Low Digitalization,7,9,2,6,6,1,13,5,1,0,0,3,3,0,1,0,0,Video-QCM-QCM-Video-QCM-QCM-Video-Video-QCM-Video-Video-QCM-Exam,Video Duration: 1H-QCM Duration: 2H-QCM Duration: 2H-Video Duration: 1H-QCM Duration: 2H-QCM Duration: 1H-Video Duration: 2H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-Exam Duration: 2H
63,Barre,Languages,2013,64,56,25,31,0.44,44,Medium-Low Digitalization,10,14,1,10,11,1,22,10,0,0,0,8,3,1,0,0,0,QCM-Video-QCM-Video-Video-Video-Video-Video-QCM-QCM-QCM-QCM-Video-QCM-QCM-QCM-Video-QCM-Video-QCM-Video-Exam,QCM Duration: 1H-Video Duration: 1H-QCM Duration: 2H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 2H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 2H-Video Duration: 1H-Exam Duration: 1H
64,Barre,Languages,2013,65,15,0,15,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
65,Barre,Languages,2013,66,33,15,18,0.46,46,Medium-Low Digitalization,8,5,2,2,3,2,7,0,0,0,2,1,2,2,0,0,0,Video-Video-QCM-Exam-QCM-QCM-Exam,Video Duration: 4H-Video Duration: 4H-QCM Duration: 2H-Exam Duration: 1H-QCM Duration: 2H-QCM Duration: 1H-Exam Duration: 1H
66,Barre,Languages,2013,67,27,11,16,0.39,39,Medium-Low Digitalization,5,5,1,3,3,1,7,1,2,0,0,1,2,1,0,0,0,QCM-QCM-Video-Video-Video-QCM-Exam,QCM Duration: 2H-QCM Duration: 2H-Video Duration: 1H-Video Duration: 2H-Video Duration: 2H-QCM Duration: 1H-Exam Duration: 1H
67,Barre,Languages,2013,68,12,4,8,0.34,34,Medium-Low Digitalization,3,1,0,2,1,0,3,1,1,0,0,1,0,0,0,0,0,Video-QCM-Video,Video Duration: 2H-QCM Duration: 1H-Video Duration: 1H
68,Mathia,Languages,2013,69,5,2,3,0.38,38,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Video-QCM,Video Duration: 1H-QCM Duration: 1H
69,Mathia,Languages,2013,70,15,3,12,0.2,20,Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,Video-QCM,Video Duration: 2H-QCM Duration: 1H
70,Mathia,Languages,2013,71,16,7,9,0.43,43,Medium-Low Digitalization,3,3,1,2,3,1,6,1,1,0,0,3,0,1,0,0,0,QCM-Video-QCM-QCM-Video-Exam,QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 2H-Exam Duration: 1H
71,Mathia,Languages,2013,72,21,7,14,0.35,35,Medium-Low Digitalization,2,4,1,2,4,1,7,2,0,0,0,4,0,1,0,0,0,Video-QCM-QCM-QCM-QCM-Video-Exam,Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Exam Duration: 1H
72,Mathia,Languages,2013,73,33,6,27,0.19,19,Low Digitalization,2,3,1,1,3,1,5,0,1,0,0,3,0,1,0,0,0,QCM-QCM-QCM-Video-Exam,QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 2H-Exam Duration: 1H
73,Mathia,Languages,2013,74,26,5,21,0.18,18,Low Digitalization,1,3,1,1,2,1,4,1,0,0,0,1,1,1,0,0,0,Video-QCM-QCM-Exam,Video Duration: 1H-QCM Duration: 1H-QCM Duration: 2H-Exam Duration: 1H
74,Mathia,Languages,2013,75,12,3,9,0.26,26,Medium-Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Video-QCM-Video,Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H
75,Mathia,Languages,2013,76,8,0,8,0.03,3,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
76,Mathia,Languages,2013,77,36,5,31,0.13,13,Low Digitalization,2,2,1,1,2,1,4,0,1,0,0,2,0,1,0,0,0,QCM-Video-QCM-Exam,QCM Duration: 1H-Video Duration: 2H-QCM Duration: 1H-Exam Duration: 1H
77,Mathia,Languages,2013,78,25,5,20,0.19,19,Low Digitalization,3,2,0,3,2,0,5,3,0,0,0,2,0,0,0,0,0,QCM-Video-Video-Video-QCM,QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H
78,Giard,History,2013,79,58,6,52,0.11,11,Low Digitalization,3,3,0,3,3,0,6,3,0,0,0,3,0,0,0,0,0,Video-Video-QCM-QCM-Video-QCM,Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H
79,Giard,History,2013,80,34,9,25,0.26,26,Medium-Low Digitalization,6,3,0,5,3,0,8,4,1,0,0,3,0,0,0,0,0,Video-Video-Video-QCM-QCM-Video-Video-QCM,Video Duration: 2H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H
80,Giard,History,2013,81,34,3,31,0.08,8,Low Digitalization,1,2,0,1,2,0,3,1,0,0,0,2,0,0,0,0,0,QCM-QCM-Video,QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H
81,Giard,History,2013,82,26,8,18,0.31,31,Medium-Low Digitalization,5,3,0,5,3,0,8,5,0,0,0,3,0,0,0,0,0,Video-QCM-QCM-Video-Video-Video-Video-QCM,Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H
82,Giard,History,2013,83,24,5,19,0.2,20,Low Digitalization,2,2,1,2,2,1,5,2,0,0,0,2,0,1,0,0,0,Video-QCM-Video-QCM-Exam,Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-Exam Duration: 1H
83,Giard,History,2013,84,7,1,6,0.14,14,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
84,Palin,History,2013,85,15,3,12,0.17,17,Low Digitalization,1,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,QCM-Video,QCM Duration: 2H-Video Duration: 1H
85,Palin,History,2013,86,52,18,34,0.35,35,Medium-Low Digitalization,7,10,1,4,6,1,11,2,1,1,0,2,4,1,0,0,0,QCM-Video-QCM-Video-QCM-Video-QCM-QCM-QCM-Video-Exam,QCM Duration: 2H-Video Duration: 1H-QCM Duration: 2H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 3H-QCM Duration: 2H-QCM Duration: 1H-QCM Duration: 2H-Video Duration: 2H-Exam Duration: 1H
86,Palin,History,2013,87,45,20,25,0.45,45,Medium-Low Digitalization,11,7,2,7,4,1,12,5,0,2,0,1,3,0,1,0,0,Video-Video-Video-QCM-Video-QCM-Video-QCM-QCM-Video-Video-Exam,Video Duration: 3H-Video Duration: 3H-Video Duration: 1H-QCM Duration: 2H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 2H-QCM Duration: 2H-Video Duration: 1H-Video Duration: 1H-Exam Duration: 2H
87,Palin,History,2013,88,15,3,12,0.23,23,Medium-Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Video-QCM-Video,Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H
88,Palin,History,2013,89,50,5,45,0.1,10,Low Digitalization,4,1,0,3,1,0,4,2,1,0,0,1,0,0,0,0,0,Video-Video-QCM-Video,Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 2H
89,Palin,History,2013,90,47,12,35,0.26,26,Medium-Low Digitalization,8,3,1,7,3,1,11,6,1,0,0,3,0,1,0,0,0,Video-QCM-QCM-Video-Video-Video-Video-Video-QCM-Video-Exam,Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 2H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Exam Duration: 1H
90,Palin,History,2013,91,6,1,5,0.12,12,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
91,Palin,History,2013,92,41,14,27,0.33,33,Medium-Low Digitalization,4,8,2,2,5,1,8,0,2,0,0,2,3,0,1,0,0,QCM-QCM-QCM-Video-QCM-QCM-Video-Exam,QCM Duration: 1H-QCM Duration: 2H-QCM Duration: 1H-Video Duration: 2H-QCM Duration: 2H-QCM Duration: 2H-Video Duration: 2H-Exam Duration: 2H
92,Palin,History,2013,93,23,5,18,0.23,23,Medium-Low Digitalization,3,2,0,3,2,0,5,3,0,0,0,2,0,0,0,0,0,Video-Video-QCM-QCM-Video,Video Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H
93,Palin,History,2013,94,16,2,14,0.1,10,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,QCM-Video,QCM Duration: 1H-Video Duration: 1H
94,Palin,History,2013,95,25,4,22,0.14,14,Low Digitalization,2,2,0,2,1,0,3,2,0,0,0,0,1,0,0,0,0,QCM-Video-Video,QCM Duration: 2H-Video Duration: 1H-Video Duration: 1H
95,Palin,History,2013,96,38,7,31,0.18,18,Low Digitalization,5,2,0,3,2,0,5,2,0,1,0,2,0,0,0,0,0,QCM-QCM-Video-Video-Video,QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 3H
96,Meche,History,2013,97,17,8,8,0.5,50,Medium-Low Digitalization,5,2,1,2,1,1,4,0,1,1,0,0,1,1,0,0,0,Video-Video-QCM-Exam,Video Duration: 2H-Video Duration: 3H-QCM Duration: 2H-Exam Duration: 1H
97,Meche,History,2013,98,16,0,16,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
98,Meche,History,2013,99,5,2,3,0.42,42,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,QCM-Video,QCM Duration: 1H-Video Duration: 1H
99,Meche,History,2013,100,10,2,8,0.2,20,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Video-QCM,Video Duration: 1H-QCM Duration: 1H
100,Meche,History,2013,101,10,1,9,0.11,11,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
101,Meche,History,2013,102,7,2,5,0.32,32,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Video-QCM,Video Duration: 1H-QCM Duration: 1H
102,Meche,History,2013,103,11,1,10,0.1,10,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
