,Department,Teacher_ID,Teacher_Name,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Digitalization_Ressource_Ratio,Digitalization_Ressource_Percent,Departement,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam,Sequence
10,Computer Science,1,Galle,2013,11,27,19,4,15,0.21,21,Informatique,2,1,1,10,5,0,Lecture-Lecture-QCM-Lecture-Lecture-Exercise-Video-Lecture-Video-Exercise-Exercise-Exercise-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Test
11,Computer Science,1,Galle,2013,12,6,4,1,3,0.25,25,Informatique,0,1,0,2,1,0,QCM-Lecture-Exercise-Lecture
12,Computer Science,1,Galle,2013,13,15,7,2,5,0.29,29,Informatique,1,1,0,2,2,1,Exercise-Lecture-Video-QCM-Lecture-Exercise-Examen
13,Computer Science,1,Galle,2013,14,40,36,2,34,0.06,6,Informatique,2,0,0,22,10,2,Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Examen-Exercise-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Video-Lecture-Exercise-Lecture-Video-Lecture-Lecture-Examen
14,Computer Science,1,Galle,2013,15,17,9,1,8,0.11,11,Informatique,1,0,0,5,2,1,Exercise-Video-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Examen
15,Computer Science,1,Galle,2013,16,30,16,1,15,0.06,6,Informatique,0,1,0,10,5,0,Lecture-Lecture-Lecture-Lecture-Lecture-QCM-Lecture-Exercise-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture-Exercise
16,Computer Science,2,Burdin,2013,17,12,5,1,4,0.2,20,Informatique,0,1,0,1,2,1,Exercise-QCM-Lecture-Exercise-Examen
17,Computer Science,2,Burdin,2013,18,11,10,2,8,0.2,20,Informatique,2,0,0,4,3,1,Lecture-Exercise-Exercise-Video-Exercise-Lecture-Video-Lecture-Lecture-Examen
18,Computer Science,2,Burdin,2013,19,11,9,1,8,0.11,11,Informatique,0,1,0,4,3,1,Exercise-Lecture-Lecture-Exercise-Exercise-QCM-Lecture-Lecture-Examen
19,Computer Science,2,Burdin,2013,20,15,14,2,12,0.14,14,Informatique,2,0,0,7,4,1,Exercise-Video-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Video-Lecture-Exercise-Lecture-Examen
20,Computer Science,2,Burdin,2013,21,28,23,2,21,0.09,9,Informatique,1,1,0,14,7,0,QCM-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Lecture-Exercise-Video-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture
21,Computer Science,2,Burdin,2013,22,15,13,1,12,0.08,8,Informatique,1,0,0,7,4,1,Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Video-Exercise-Exercise-Lecture-Examen
22,Computer Science,2,Burdin,2013,23,22,21,3,18,0.14,14,Informatique,1,1,1,11,6,1,Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Exercise-Lecture-Test-QCM-Lecture-Exercise-Video-Exercise-Exercise-Lecture-Lecture-Lecture-Examen
23,Computer Science,2,Burdin,2013,24,18,15,2,13,0.13,13,Informatique,2,0,0,8,4,1,Lecture-Lecture-Video-Exercise-Lecture-Video-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Examen
24,Computer Science,2,Burdin,2013,25,38,36,6,30,0.17,17,Informatique,5,1,0,19,9,2,Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Video-Lecture-Lecture-Exercise-Lecture-Lecture-Examen-Lecture-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-QCM-Video-Video-Exercise-Lecture-Exercise-Video-Video-Lecture-Examen
25,Computer Science,2,Burdin,2013,26,5,3,1,2,0.33,33,Informatique,0,1,0,2,0,0,Lecture-Lecture-QCM
26,Computer Science,2,Burdin,2013,27,18,6,1,5,0.17,17,Informatique,0,1,0,3,1,1,Lecture-Lecture-QCM-Lecture-Exercise-Examen
27,Computer Science,3,Favret,2013,28,15,9,2,7,0.22,22,Informatique,1,1,0,5,1,1,Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-QCM-Video-Examen
28,Computer Science,3,Favret,2013,29,10,4,1,3,0.25,25,Informatique,0,1,0,1,1,1,Exercise-QCM-Lecture-Examen
29,Computer Science,3,Favret,2013,30,7,2,1,1,0.5,50,Informatique,0,1,0,0,1,0,Exercise-QCM
30,Computer Science,3,Favret,2013,31,8,7,2,5,0.29,29,Informatique,2,0,0,3,1,1,Exercise-Video-Video-Lecture-Lecture-Lecture-Examen
31,Computer Science,3,Favret,2013,32,56,25,2,23,0.08,8,Informatique,1,1,0,15,7,1,Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Video-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-QCM-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Lecture-Examen
32,Computer Science,3,Favret,2013,33,27,24,19,5,0.79,79,Informatique,11,8,0,4,1,0,Video-Exercise-Video-Video-Lecture-Video-Video-Video-Video-Video-QCM-Video-QCM-Video-QCM-Lecture-QCM-QCM-QCM-QCM-Lecture-Video-Lecture-QCM
33,Computer Science,3,Favret,2013,34,36,33,2,31,0.06,6,Informatique,1,1,0,20,9,2,Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Video-QCM-Exercise-Lecture-Lecture-Lecture-Examen-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Examen
34,Computer Science,3,Favret,2013,35,17,11,1,10,0.09,9,Informatique,1,0,0,6,3,1,Exercise-Exercise-Lecture-Lecture-Exercise-Video-Lecture-Lecture-Lecture-Lecture-Examen
35,Computer Science,3,Favret,2013,36,11,3,1,2,0.33,33,Informatique,1,0,0,2,0,0,Lecture-Video-Lecture
36,Computer Science,3,Favret,2013,37,12,3,0,3,0.0,0,Informatique,0,0,0,1,1,1,Lecture-Exercise-Examen
37,Computer Science,3,Favret,2013,38,17,11,0,11,0.0,0,Informatique,0,0,0,7,4,0,Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture
38,Computer Science,3,Favret,2013,39,12,4,1,3,0.25,25,Informatique,1,0,0,1,1,1,Video-Exercise-Lecture-Examen
39,Computer Science,3,Favret,2013,40,13,6,2,4,0.33,33,Informatique,2,0,0,2,1,1,Lecture-Lecture-Exercise-Video-Video-Examen
40,Computer Science,3,Favret,2013,41,18,18,4,14,0.22,22,Informatique,1,2,1,9,4,1,Exercise-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-QCM-Test-Lecture-Lecture-Exercise-Lecture-QCM-Lecture-Lecture-Video-Examen
41,Computer Science,3,Favret,2013,42,24,22,2,20,0.09,9,Informatique,1,1,0,13,6,1,Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-QCM-Lecture-Exercise-Lecture-Lecture-Video-Lecture-Exercise-Lecture-Lecture-Exercise-Examen
42,Computer Science,3,Favret,2013,43,30,24,1,23,0.04,4,Informatique,0,1,0,15,6,2,Exercise-Lecture-Exercise-Lecture-Exercise-Lecture-Exercise-Lecture-Exercise-Lecture-Lecture-Lecture-Examen-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-QCM-Lecture-Lecture-Examen
43,Computer Science,3,Favret,2013,44,29,16,3,13,0.19,19,Informatique,2,1,0,8,4,1,Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Video-Exercise-Video-Lecture-QCM-Exercise-Lecture-Lecture-Exercise-Examen
44,Computer Science,3,Favret,2013,45,37,10,1,9,0.1,10,Informatique,0,1,0,5,3,1,QCM-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Exercise-Examen
45,Computer Science,4,Fontenette,2013,46,10,6,1,5,0.17,17,Informatique,1,0,0,3,1,1,Video-Lecture-Lecture-Lecture-Exercise-Examen
46,Computer Science,4,Fontenette,2013,47,14,11,2,9,0.18,18,Informatique,1,1,0,5,3,1,Exercise-Video-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-QCM-Examen
47,Computer Science,4,Fontenette,2013,48,7,4,1,3,0.25,25,Informatique,1,0,0,1,1,1,Video-Lecture-Exercise-Examen
48,Computer Science,4,Fontenette,2013,49,40,28,2,26,0.07,7,Informatique,1,1,0,16,8,2,Exercise-Exercise-Exercise-Lecture-Lecture-Video-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-QCM-Examen-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Examen
49,Computer Science,4,Fontenette,2013,50,8,8,8,0,1.0,100,Informatique,6,1,1,0,0,0,QCM-Video-Video-Video-Video-Video-Video-Test
50,Computer Science,4,Fontenette,2013,51,36,35,0,35,0.0,0,Informatique,0,0,0,23,11,1,Lecture-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Lecture-Examen
51,Computer Science,4,Fontenette,2013,52,16,5,1,4,0.2,20,Informatique,1,0,0,3,1,0,Lecture-Exercise-Lecture-Lecture-Video
52,Computer Science,4,Fontenette,2013,53,25,15,1,14,0.07,7,Informatique,1,0,0,10,3,1,Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Video-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture-Examen
53,Computer Science,4,Fontenette,2013,54,18,8,1,7,0.12,12,Informatique,1,0,0,3,3,1,Lecture-Exercise-Exercise-Video-Exercise-Lecture-Lecture-Examen
54,Computer Science,4,Fontenette,2013,55,10,9,1,8,0.11,11,Informatique,0,1,0,6,1,1,QCM-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Examen
55,Computer Science,5,Rogier,2013,56,17,10,2,8,0.2,20,Informatique,1,1,0,5,2,1,Video-Lecture-Lecture-QCM-Exercise-Lecture-Lecture-Exercise-Lecture-Examen
56,Computer Science,5,Rogier,2013,57,28,8,1,7,0.12,12,Informatique,1,0,0,5,2,0,Exercise-Lecture-Video-Lecture-Lecture-Lecture-Lecture-Exercise
57,Computer Science,5,Rogier,2013,58,37,34,5,29,0.15,15,Informatique,1,3,1,18,9,2,Lecture-Lecture-Lecture-Lecture-Lecture-QCM-Exercise-Lecture-Lecture-Exercise-Lecture-Test-Lecture-Lecture-Exercise-Video-Exercise-Lecture-Lecture-Lecture-QCM-Exercise-Examen-Lecture-Exercise-Exercise-Lecture-Lecture-Exercise-QCM-Lecture-Exercise-Lecture-Examen
58,Computer Science,5,Rogier,2013,59,24,6,1,5,0.17,17,Informatique,1,0,0,3,1,1,Lecture-Lecture-Lecture-Video-Exercise-Examen
59,Computer Science,5,Rogier,2013,60,18,16,1,15,0.06,6,Informatique,0,1,0,10,4,1,Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-QCM-Exercise-Lecture-Examen
60,Computer Science,5,Rogier,2013,61,17,13,3,10,0.23,23,Informatique,1,1,1,7,3,0,Lecture-Video-Exercise-Exercise-Lecture-Lecture-Exercise-QCM-Lecture-Lecture-Lecture-Lecture-Test
61,Computer Science,5,Rogier,2013,62,5,2,1,1,0.5,50,Informatique,1,0,0,1,0,0,Lecture-Video
62,Computer Science,5,Rogier,2013,63,14,13,1,12,0.08,8,Informatique,0,1,0,8,3,1,Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-QCM-Lecture-Exercise-Lecture-Lecture-Examen
63,Computer Science,5,Rogier,2013,64,14,4,0,4,0.0,0,Informatique,0,0,0,1,2,1,Exercise-Lecture-Exercise-Examen
64,Computer Science,5,Rogier,2013,65,60,40,3,37,0.07,8,Informatique,1,1,1,23,12,2,Lecture-Video-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-QCM-Examen-Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Lecture-Exercise-Test-Exercise-Exercise-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Examen
65,Computer Science,5,Rogier,2013,66,8,2,1,1,0.5,50,Informatique,0,1,0,0,1,0,Exercise-QCM
66,Computer Science,5,Rogier,2013,67,28,27,5,22,0.19,19,Informatique,1,3,1,15,5,2,QCM-Lecture-Exercise-Lecture-Lecture-Lecture-Video-Lecture-Lecture-Test-QCM-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Examen-Exercise-Exercise-QCM-Lecture-Lecture-Exercise-Lecture-Lecture-Examen
67,Computer Science,5,Rogier,2013,68,24,24,2,22,0.08,8,Informatique,2,0,0,15,6,1,Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Video-Video-Examen
68,Computer Science,5,Rogier,2013,69,32,13,3,10,0.23,23,Informatique,2,1,0,6,3,1,Exercise-Exercise-Video-Lecture-Lecture-Lecture-Lecture-Video-Lecture-QCM-Exercise-Lecture-Examen
69,Computer Science,5,Rogier,2013,70,52,30,6,24,0.2,20,Informatique,2,3,1,15,7,2,Exercise-Video-QCM-Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Test-Lecture-Lecture-Video-Lecture-Lecture-Lecture-Exercise-Exercise-Examen-Lecture-Lecture-Lecture-QCM-QCM-Lecture-Lecture-Lecture-Exercise-Examen
70,Computer Science,6,Fier,2013,71,14,13,2,11,0.15,15,Informatique,1,1,0,8,2,1,Lecture-Lecture-QCM-Video-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Examen
71,Computer Science,6,Fier,2013,72,27,13,1,12,0.08,8,Informatique,0,1,0,8,3,1,Lecture-Lecture-Exercise-Lecture-Lecture-QCM-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Examen
72,Computer Science,6,Fier,2013,73,29,9,1,8,0.11,11,Informatique,0,1,0,5,3,0,Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-QCM-Lecture
73,Computer Science,6,Fier,2013,74,29,24,5,19,0.21,21,Informatique,2,3,0,13,5,1,Video-Exercise-Lecture-Lecture-QCM-Lecture-Lecture-Lecture-Video-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-QCM-Exercise-QCM-Lecture-Exercise-Lecture-Examen
74,Computer Science,6,Fier,2013,75,32,18,3,15,0.17,17,Informatique,2,1,0,10,5,0,Exercise-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-QCM-Lecture-Exercise-Lecture-Video-Video-Lecture-Exercise-Lecture
75,Computer Science,6,Fier,2013,76,6,5,1,4,0.2,20,Informatique,1,0,0,2,1,1,Lecture-Video-Exercise-Lecture-Examen
76,Computer Science,6,Fier,2013,77,33,22,1,21,0.05,5,Informatique,0,1,0,13,6,2,Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Examen-Lecture-Exercise-Lecture-Lecture-QCM-Exercise-Exercise-Lecture-Lecture-Lecture-Examen
77,Computer Science,6,Fier,2013,78,14,12,2,10,0.17,17,Informatique,1,1,0,7,3,0,Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-QCM-Exercise-Lecture-Video-Exercise-Lecture
78,Computer Science,7,Amirault,2013,79,19,10,2,8,0.2,20,Informatique,1,1,0,5,2,1,Lecture-Lecture-Video-Lecture-Exercise-Lecture-Lecture-Exercise-QCM-Examen
79,Computer Science,7,Amirault,2013,80,38,19,1,18,0.05,5,Informatique,1,0,0,12,6,0,Lecture-Lecture-Lecture-Lecture-Video-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Exercise-Lecture
80,Computer Science,7,Amirault,2013,81,8,4,1,3,0.25,25,Informatique,1,0,0,2,1,0,Exercise-Lecture-Video-Lecture
81,Computer Science,7,Amirault,2013,82,7,6,1,5,0.17,17,Informatique,0,1,0,3,1,1,Lecture-QCM-Lecture-Exercise-Lecture-Examen
82,Computer Science,7,Amirault,2013,83,35,11,2,9,0.18,18,Informatique,1,1,0,6,3,0,Lecture-QCM-Lecture-Exercise-Exercise-Video-Lecture-Lecture-Lecture-Exercise-Lecture
83,Computer Science,7,Amirault,2013,84,5,5,1,4,0.2,20,Informatique,1,0,0,2,1,1,Lecture-Lecture-Exercise-Video-Examen
84,Computer Science,7,Amirault,2013,85,49,45,3,42,0.07,7,Informatique,2,1,0,28,11,3,Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Video-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Examen-Exercise-Lecture-Lecture-Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Examen-Lecture-Lecture-QCM-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Video-Examen
85,Computer Science,7,Amirault,2013,86,23,9,1,8,0.11,11,Informatique,0,1,0,6,1,1,Lecture-Lecture-Lecture-Exercise-QCM-Lecture-Lecture-Lecture-Examen
86,Computer Science,7,Amirault,2013,87,8,4,1,3,0.25,25,Informatique,0,1,0,2,1,0,Lecture-QCM-Exercise-Lecture
87,Computer Science,7,Amirault,2013,88,10,10,2,8,0.2,20,Informatique,2,0,0,4,3,1,Exercise-Lecture-Video-Video-Lecture-Exercise-Lecture-Lecture-Exercise-Examen
88,Computer Science,7,Amirault,2013,89,6,4,1,3,0.25,25,Informatique,0,1,0,1,1,1,QCM-Lecture-Exercise-Examen
89,Computer Science,7,Amirault,2013,90,50,26,3,23,0.12,12,Informatique,1,2,0,15,6,2,Exercise-QCM-Lecture-Lecture-Lecture-Lecture-QCM-Lecture-Lecture-Lecture-Exercise-Lecture-Examen-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture-Video-Lecture-Lecture-Exercise-Lecture-Examen
90,Computer Science,7,Amirault,2013,91,32,32,3,29,0.09,9,Informatique,1,1,1,19,8,2,Exercise-Exercise-Lecture-Exercise-Video-Lecture-Lecture-Lecture-Lecture-Exercise-Test-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-QCM-Examen-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Examen
91,Computer Science,7,Amirault,2013,92,12,4,1,3,0.25,25,Informatique,1,0,0,1,1,1,Lecture-Exercise-Video-Examen
92,Computer Science,7,Amirault,2013,93,23,22,2,20,0.09,9,Informatique,1,1,0,13,6,1,Exercise-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Exercise-Lecture-QCM-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Video-Examen
93,Computer Science,7,Amirault,2013,94,36,24,3,21,0.12,12,Informatique,2,1,0,14,6,1,Exercise-Video-Lecture-Lecture-Lecture-Lecture-Exercise-Video-Exercise-Lecture-Exercise-Lecture-Lecture-Lecture-QCM-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Examen
94,Computer Science,7,Amirault,2013,95,35,9,0,9,0.0,0,Informatique,0,0,0,6,2,1,Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Examen
95,Mathematics,8,Picard,2013,96,30,25,5,20,0.2,20,Mathematics,3,1,1,13,6,1,Lecture-Exercise-QCM-Lecture-Exercise-Lecture-Exercise-Video-Video-Video-Lecture-Lecture-Test-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture-Examen
96,Mathematics,8,Picard,2013,97,15,10,2,8,0.2,20,Mathematics,1,1,0,6,1,1,Lecture-QCM-Lecture-Lecture-Video-Exercise-Lecture-Lecture-Lecture-Examen
97,Mathematics,8,Picard,2013,98,16,6,1,5,0.17,17,Mathematics,0,1,0,3,2,0,QCM-Lecture-Exercise-Exercise-Lecture-Lecture
98,Mathematics,8,Picard,2013,99,36,15,2,13,0.13,13,Mathematics,2,0,0,9,3,1,Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Video-Lecture-Video-Lecture-Exercise-Lecture-Lecture-Exercise-Examen
99,Mathematics,8,Picard,2013,100,10,3,1,2,0.33,33,Mathematics,0,1,0,1,1,0,QCM-Exercise-Lecture
100,Mathematics,8,Picard,2013,101,12,9,1,8,0.11,11,Mathematics,0,1,0,5,2,1,Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-QCM-Examen
101,Mathematics,8,Picard,2013,102,34,22,2,20,0.09,9,Mathematics,1,1,0,13,6,1,Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Video-Lecture-Lecture-QCM-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Exercise-Examen
102,Mathematics,8,Picard,2013,103,31,16,1,15,0.06,6,Mathematics,1,0,0,9,5,1,Video-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Lecture-Lecture-Exercise-Lecture-Exercise-Examen
103,Mathematics,9,Damas,2013,104,57,28,4,24,0.14,14,Mathematics,2,2,0,16,6,2,Exercise-Lecture-Exercise-Lecture-Lecture-Lecture-QCM-Lecture-Lecture-Video-Lecture-Lecture-Lecture-Lecture-Examen-Lecture-Lecture-QCM-Lecture-Exercise-Lecture-Lecture-Video-Exercise-Exercise-Exercise-Lecture-Examen
104,Mathematics,9,Damas,2013,105,8,3,1,2,0.33,33,Mathematics,1,0,0,1,1,0,Lecture-Exercise-Video
105,Mathematics,9,Damas,2013,106,12,6,2,4,0.33,33,Mathematics,2,0,0,1,2,1,Video-Lecture-Video-Exercise-Exercise-Examen
106,Mathematics,9,Damas,2013,107,48,45,3,42,0.07,7,Mathematics,1,2,0,26,13,3,QCM-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Exercise-Lecture-Exercise-Exercise-Examen-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Examen-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Exercise-Exercise-Video-QCM-Lecture-Lecture-Examen
107,Mathematics,9,Damas,2013,108,18,12,1,11,0.08,8,Mathematics,1,0,0,8,2,1,Lecture-Lecture-Lecture-Lecture-Lecture-Video-Lecture-Exercise-Lecture-Lecture-Exercise-Examen
108,Mathematics,9,Damas,2013,109,35,10,6,4,0.6,60,Mathematics,4,2,0,1,2,1,QCM-Exercise-Video-QCM-Lecture-Video-Video-Exercise-Video-Examen
109,Mathematics,9,Damas,2013,110,23,15,3,12,0.2,20,Mathematics,1,2,0,8,4,0,Video-QCM-Lecture-Lecture-Lecture-QCM-Exercise-Lecture-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture
110,Mathematics,10,Chasse,2013,111,6,4,1,3,0.25,25,Mathematics,0,1,0,1,1,1,Exercise-Lecture-QCM-Examen
111,Mathematics,10,Chasse,2013,112,11,5,1,4,0.2,20,Mathematics,0,1,0,1,2,1,Exercise-QCM-Exercise-Lecture-Examen
112,Mathematics,10,Chasse,2013,113,9,6,2,4,0.33,33,Mathematics,2,0,0,2,2,0,Lecture-Video-Video-Exercise-Exercise-Lecture
113,Mathematics,10,Chasse,2013,114,55,44,6,38,0.14,14,Mathematics,4,2,0,24,12,2,Lecture-Lecture-Lecture-Lecture-Exercise-QCM-Lecture-Exercise-Lecture-Video-Video-Exercise-Lecture-Lecture-Lecture-QCM-Exercise-Exercise-Exercise-Exercise-Lecture-Lecture-Examen-Lecture-Lecture-Video-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Video-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Exercise-Examen
114,Mathematics,10,Chasse,2013,115,28,27,4,23,0.15,15,Mathematics,2,1,1,14,7,2,Exercise-Lecture-Lecture-Exercise-Video-Exercise-Lecture-Lecture-Lecture-Test-Lecture-QCM-Video-Exercise-Lecture-Lecture-Lecture-Examen-Exercise-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Examen
