,Department,Teacher_ID,Teacher_Name,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Digitalization_Ressource_Ratio,Digitalization_Ressource_Percent,Departement,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
89,Computer Science,7,Amirault,2013,90,50,26,3,23,0.12,12,Informatique,1,2,0,15,6,2
90,Computer Science,7,Amirault,2013,91,32,32,3,29,0.09,9,Informatique,1,1,1,19,8,2
91,Computer Science,7,Amirault,2013,92,12,4,1,3,0.25,25,Informatique,1,0,0,1,1,1
92,Computer Science,7,Amirault,2013,93,23,22,2,20,0.09,9,Informatique,1,1,0,13,6,1
93,Computer Science,7,Amirault,2013,94,36,24,3,21,0.12,12,Informatique,2,1,0,14,6,1
94,Computer Science,7,Amirault,2013,95,35,9,0,9,0.0,0,Informatique,0,0,0,6,2,1
95,Mathematics,8,Picard,2013,96,30,25,5,20,0.2,20,Mathematics,3,1,1,13,6,1
96,Mathematics,8,Picard,2013,97,15,10,2,8,0.2,20,Mathematics,1,1,0,6,1,1
97,Mathematics,8,Picard,2013,98,16,6,1,5,0.17,17,Mathematics,0,1,0,3,2,0
98,Mathematics,8,Picard,2013,99,36,15,2,13,0.13,13,Mathematics,2,0,0,9,3,1
99,Mathematics,8,Picard,2013,100,10,3,1,2,0.33,33,Mathematics,0,1,0,1,1,0
100,Mathematics,8,Picard,2013,101,12,9,1,8,0.11,11,Mathematics,0,1,0,5,2,1
101,Mathematics,8,Picard,2013,102,34,22,2,20,0.09,9,Mathematics,1,1,0,13,6,1
102,Mathematics,8,Picard,2013,103,31,16,1,15,0.06,6,Mathematics,1,0,0,9,5,1
103,Mathematics,9,Damas,2013,104,57,28,4,24,0.14,14,Mathematics,2,2,0,16,6,2
104,Mathematics,9,Damas,2013,105,8,3,1,2,0.33,33,Mathematics,1,0,0,1,1,0
105,Mathematics,9,Damas,2013,106,12,6,2,4,0.33,33,Mathematics,2,0,0,1,2,1
106,Mathematics,9,Damas,2013,107,48,45,3,42,0.07,7,Mathematics,1,2,0,26,13,3
107,Mathematics,9,Damas,2013,108,18,12,1,11,0.08,8,Mathematics,1,0,0,8,2,1
108,Mathematics,9,Damas,2013,109,35,10,6,4,0.6,60,Mathematics,4,2,0,1,2,1
109,Mathematics,9,Damas,2013,110,23,15,3,12,0.2,20,Mathematics,1,2,0,8,4,0
110,Mathematics,10,Chasse,2013,111,6,4,1,3,0.25,25,Mathematics,0,1,0,1,1,1
111,Mathematics,10,Chasse,2013,112,11,5,1,4,0.2,20,Mathematics,0,1,0,1,2,1
112,Mathematics,10,Chasse,2013,113,9,6,2,4,0.33,33,Mathematics,2,0,0,2,2,0
113,Mathematics,10,Chasse,2013,114,55,44,6,38,0.14,14,Mathematics,4,2,0,24,12,2
114,Mathematics,10,Chasse,2013,115,28,27,4,23,0.15,15,Mathematics,2,1,1,14,7,2
115,Mathematics,10,Chasse,2013,116,8,4,1,3,0.25,25,Mathematics,0,1,0,2,1,0
116,Mathematics,10,Chasse,2013,117,9,7,1,6,0.14,14,Mathematics,0,1,0,3,2,1
117,Mathematics,10,Chasse,2013,118,6,6,1,5,0.17,17,Mathematics,0,1,0,2,2,1
118,Mathematics,10,Chasse,2013,119,29,9,1,8,0.11,11,Mathematics,1,0,0,5,3,0
119,Mathematics,10,Chasse,2013,120,8,5,1,4,0.2,20,Mathematics,0,1,0,1,2,1
120,Mathematics,10,Chasse,2013,121,9,9,2,7,0.22,22,Mathematics,1,1,0,5,1,1
121,Mathematics,10,Chasse,2013,122,14,13,1,12,0.08,8,Mathematics,1,0,0,8,4,0
122,Mathematics,11,Citron,2013,123,36,13,1,12,0.08,8,Mathematics,1,0,0,7,4,1
123,Mathematics,11,Citron,2013,124,45,13,1,12,0.08,8,Mathematics,0,1,0,8,4,0
124,Mathematics,11,Citron,2013,125,12,3,1,2,0.33,33,Mathematics,1,0,0,2,0,0
125,Mathematics,11,Citron,2013,126,7,3,1,2,0.33,33,Mathematics,0,1,0,1,1,0
126,Mathematics,11,Citron,2013,127,13,7,1,6,0.14,14,Mathematics,1,0,0,3,2,1
127,Mathematics,11,Citron,2013,128,9,6,1,5,0.17,17,Mathematics,0,1,0,2,2,1
128,Mathematics,11,Citron,2013,129,13,13,2,11,0.15,15,Mathematics,2,0,0,8,3,0
129,Mathematics,11,Citron,2013,130,8,4,3,1,0.75,75,Mathematics,1,1,1,1,0,0
130,Mathematics,11,Citron,2013,131,25,24,4,20,0.17,17,Mathematics,1,2,1,13,6,1
131,Mathematics,11,Citron,2013,132,58,51,1,50,0.02,2,Mathematics,0,1,0,33,15,2
132,Mathematics,11,Citron,2013,133,31,12,2,10,0.17,17,Mathematics,2,0,0,6,3,1
133,Mathematics,11,Citron,2013,134,9,5,1,4,0.2,20,Mathematics,1,0,0,1,2,1
134,Mathematics,11,Citron,2013,135,6,5,1,4,0.2,20,Mathematics,0,1,0,1,2,1
135,Mathematics,11,Citron,2013,136,10,7,2,5,0.29,29,Mathematics,1,1,0,3,1,1
136,Mathematics,11,Citron,2013,137,24,21,3,18,0.14,14,Mathematics,1,2,0,12,5,1
137,Mathematics,11,Citron,2013,138,17,8,0,8,0.0,0,Mathematics,0,0,0,4,3,1
138,Mathematics,11,Citron,2013,139,13,11,7,4,0.64,64,Mathematics,5,1,1,2,2,0
139,Mathematics,11,Citron,2013,140,5,2,1,1,0.5,50,Mathematics,1,0,0,1,0,0
140,Mathematics,11,Citron,2013,141,32,13,1,12,0.08,8,Mathematics,0,1,0,7,4,1
141,Mathematics,12,Demanche,2013,142,37,16,2,14,0.12,12,Mathematics,2,0,0,10,3,1
142,Mathematics,12,Demanche,2013,143,28,13,2,11,0.15,15,Mathematics,1,1,0,6,4,1
143,Mathematics,12,Demanche,2013,144,7,2,1,1,0.5,50,Mathematics,1,0,0,0,1,0
144,Mathematics,12,Demanche,2013,145,57,18,1,17,0.06,6,Mathematics,1,0,0,12,5,0
145,Mathematics,12,Demanche,2013,146,35,24,4,20,0.17,17,Mathematics,2,1,1,13,6,1
146,Mathematics,12,Demanche,2013,147,19,18,1,17,0.06,6,Mathematics,1,0,0,12,5,0
147,Mathematics,12,Demanche,2013,148,42,41,8,33,0.2,20,Mathematics,4,3,1,21,10,2
148,Mathematics,12,Demanche,2013,149,13,13,3,10,0.23,23,Mathematics,2,1,0,7,2,1
149,Mathematics,12,Demanche,2013,150,56,42,4,38,0.1,10,Mathematics,2,2,0,24,12,2
150,Mathematics,12,Demanche,2013,151,7,5,1,4,0.2,20,Mathematics,1,0,0,2,1,1
151,Mathematics,12,Demanche,2013,152,13,13,1,12,0.08,8,Mathematics,0,1,0,8,4,0
152,Mathematics,12,Demanche,2013,153,15,8,2,6,0.25,25,Mathematics,2,0,0,3,2,1
153,Mathematics,12,Demanche,2013,154,16,8,1,7,0.12,12,Mathematics,0,1,0,5,2,0
154,Mathematics,12,Demanche,2013,155,12,11,1,10,0.09,9,Mathematics,0,1,0,7,3,0
155,Mathematics,12,Demanche,2013,156,18,17,1,16,0.06,6,Mathematics,1,0,0,11,5,0
156,Mathematics,13,Bonnot,2013,157,43,40,2,38,0.05,5,Mathematics,2,0,0,25,11,2
157,Mathematics,13,Bonnot,2013,158,33,28,4,24,0.14,14,Mathematics,2,1,1,14,8,2
158,Mathematics,13,Bonnot,2013,159,57,39,6,33,0.15,15,Mathematics,3,2,1,22,9,2
159,Mathematics,13,Bonnot,2013,160,10,4,1,3,0.25,25,Mathematics,1,0,0,1,1,1
160,Mathematics,13,Bonnot,2013,161,27,25,4,21,0.16,16,Mathematics,1,2,1,12,7,2
161,Mathematics,13,Bonnot,2013,162,52,30,3,27,0.1,10,Mathematics,1,1,1,17,9,1
162,Mathematics,13,Bonnot,2013,163,33,11,2,9,0.18,18,Mathematics,2,0,0,5,3,1
163,Mathematics,13,Bonnot,2013,164,21,8,1,7,0.12,12,Mathematics,1,0,0,4,3,0
164,Mathematics,13,Bonnot,2013,165,6,5,1,4,0.2,20,Mathematics,1,0,0,2,1,1
165,Mathematics,13,Bonnot,2013,166,7,4,1,3,0.25,25,Mathematics,0,1,0,2,1,0
166,Mathematics,13,Bonnot,2013,167,26,25,1,24,0.04,4,Mathematics,0,1,0,14,8,2
167,Mathematics,13,Bonnot,2013,168,45,24,4,20,0.17,17,Mathematics,1,2,1,13,6,1
168,Mathematics,13,Bonnot,2013,169,41,33,3,30,0.09,9,Mathematics,3,0,0,20,9,1
169,Mathematics,14,Rambin,2013,170,58,58,5,53,0.09,9,Mathematics,3,2,0,35,15,3
170,Mathematics,14,Rambin,2013,171,21,14,1,13,0.07,7,Mathematics,0,1,0,9,4,0
171,Mathematics,14,Rambin,2013,172,34,18,1,17,0.06,6,Mathematics,0,1,0,12,4,1
172,Mathematics,14,Rambin,2013,173,30,13,2,11,0.15,15,Mathematics,1,1,0,8,3,0
173,Mathematics,14,Rambin,2013,174,11,10,2,8,0.2,20,Mathematics,2,0,0,5,3,0
174,Mathematics,14,Rambin,2013,175,40,14,3,11,0.21,21,Mathematics,3,0,0,7,4,0
175,Mathematics,14,Rambin,2013,176,42,21,4,17,0.19,19,Mathematics,1,2,1,11,5,1
176,Mathematics,14,Rambin,2013,177,59,24,3,21,0.12,12,Mathematics,1,2,0,12,7,2
177,Mathematics,14,Rambin,2013,178,6,3,1,2,0.33,33,Mathematics,0,1,0,2,0,0
178,Mathematics,14,Rambin,2013,179,14,12,1,11,0.08,8,Mathematics,0,1,0,7,3,1
179,Mathematics,14,Rambin,2013,180,43,28,1,27,0.04,4,Mathematics,0,1,0,17,8,2
180,Mathematics,14,Rambin,2013,181,10,4,1,3,0.25,25,Mathematics,0,1,0,2,1,0
181,Engineering,15,Virkler,2013,182,6,2,1,1,0.5,50,Ingénieurie,1,0,0,1,0,0
182,Engineering,15,Virkler,2013,183,9,3,1,2,0.33,33,Ingénieurie,0,1,0,2,0,0
183,Engineering,15,Virkler,2013,184,17,11,0,11,0.0,0,Ingénieurie,0,0,0,8,3,0
184,Engineering,15,Virkler,2013,185,10,3,1,2,0.33,33,Ingénieurie,1,0,0,2,0,0
185,Engineering,15,Virkler,2013,186,10,8,2,6,0.25,25,Ingénieurie,1,1,0,4,2,0
186,Engineering,15,Virkler,2013,187,30,11,2,9,0.18,18,Ingénieurie,1,1,0,6,3,0
187,Engineering,15,Virkler,2013,188,10,8,1,7,0.12,12,Ingénieurie,1,0,0,4,2,1
188,Engineering,15,Virkler,2013,189,48,38,7,31,0.18,18,Ingénieurie,5,1,1,20,9,2
189,Engineering,15,Virkler,2013,190,10,5,1,4,0.2,20,Ingénieurie,1,0,0,3,1,0
190,Engineering,15,Virkler,2013,191,8,4,1,3,0.25,25,Ingénieurie,0,1,0,2,1,0
191,Engineering,15,Virkler,2013,192,51,45,8,37,0.18,18,Ingénieurie,6,1,1,24,11,2
192,Engineering,15,Virkler,2013,193,50,39,7,32,0.18,18,Ingénieurie,3,3,1,20,10,2
193,Engineering,15,Virkler,2013,194,27,17,2,15,0.12,12,Ingénieurie,2,0,0,10,5,0
194,Engineering,15,Virkler,2013,195,33,13,2,11,0.15,15,Ingénieurie,1,1,0,8,2,1
195,Engineering,15,Virkler,2013,196,9,7,1,6,0.14,14,Ingénieurie,1,0,0,3,2,1
196,Engineering,15,Virkler,2013,197,25,21,3,18,0.14,14,Ingénieurie,2,1,0,11,6,1
197,Engineering,15,Virkler,2013,198,19,5,1,4,0.2,20,Ingénieurie,0,1,0,3,1,0
198,Engineering,16,Laliberty,2013,199,6,4,1,3,0.25,25,Ingénieurie,1,0,0,1,1,1
199,Engineering,16,Laliberty,2013,200,16,16,4,12,0.25,25,Ingénieurie,2,1,1,8,4,0
200,Engineering,16,Laliberty,2013,201,11,6,1,5,0.17,17,Ingénieurie,1,0,0,3,1,1
201,Engineering,16,Laliberty,2013,202,35,20,2,18,0.1,10,Ingénieurie,2,0,0,11,6,1
202,Engineering,16,Laliberty,2013,203,27,7,1,6,0.14,14,Ingénieurie,1,0,0,4,2,0
203,Engineering,16,Laliberty,2013,204,25,16,3,13,0.19,19,Ingénieurie,1,1,1,8,4,1
204,Engineering,16,Laliberty,2013,205,39,19,1,18,0.05,5,Ingénieurie,1,0,0,12,5,1
205,Engineering,16,Laliberty,2013,206,21,21,12,9,0.57,57,Ingénieurie,6,5,1,5,3,1
206,Engineering,16,Laliberty,2013,207,14,8,1,7,0.12,12,Ingénieurie,1,0,0,3,3,1
207,Engineering,17,Lafollette,2013,208,10,7,1,6,0.14,14,Ingénieurie,1,0,0,4,1,1
208,Engineering,17,Lafollette,2013,209,49,15,1,14,0.07,7,Ingénieurie,0,1,0,9,5,0
209,Engineering,17,Lafollette,2013,210,33,27,1,26,0.04,4,Ingénieurie,1,0,0,17,8,1
210,Engineering,17,Lafollette,2013,211,7,6,0,6,0.0,0,Ingénieurie,0,0,0,4,2,0
211,Engineering,17,Lafollette,2013,212,26,8,1,7,0.12,12,Ingénieurie,0,1,0,5,2,0
212,Engineering,17,Lafollette,2013,213,11,10,1,9,0.1,10,Ingénieurie,0,1,0,6,2,1
213,Engineering,17,Lafollette,2013,214,50,37,3,34,0.08,8,Ingénieurie,3,0,0,23,10,1
214,Engineering,18,Thibeault,2013,215,24,21,4,17,0.19,19,Ingénieurie,2,1,1,12,4,1
215,Engineering,18,Thibeault,2013,216,21,11,3,8,0.27,27,Ingénieurie,2,1,0,5,2,1
216,Engineering,18,Thibeault,2013,217,15,5,1,4,0.2,20,Ingénieurie,1,0,0,2,1,1
217,Engineering,18,Thibeault,2013,218,34,28,6,22,0.21,21,Ingénieurie,4,1,1,13,7,2
218,Engineering,18,Thibeault,2013,219,11,8,1,7,0.12,12,Ingénieurie,0,1,0,4,2,1
219,Engineering,18,Thibeault,2013,220,32,29,3,26,0.1,10,Ingénieurie,3,0,0,16,8,2
220,Engineering,18,Thibeault,2013,221,32,32,6,26,0.19,19,Ingénieurie,3,3,0,16,8,2
221,Engineering,18,Thibeault,2013,222,29,17,15,2,0.88,88,Ingénieurie,8,6,1,1,1,0
222,Engineering,18,Thibeault,2013,223,14,4,1,3,0.25,25,Ingénieurie,1,0,0,2,1,0
223,Engineering,18,Thibeault,2013,224,31,10,2,8,0.2,20,Ingénieurie,1,1,0,5,2,1
224,Engineering,18,Thibeault,2013,225,35,13,3,10,0.23,23,Ingénieurie,1,1,1,7,3,0
225,Engineering,18,Thibeault,2013,226,8,4,1,3,0.25,25,Ingénieurie,1,0,0,2,1,0
226,Engineering,18,Thibeault,2013,227,8,4,1,3,0.25,25,Ingénieurie,1,0,0,2,1,0
227,Engineering,18,Thibeault,2013,228,23,19,3,16,0.16,16,Ingénieurie,1,2,0,11,4,1
228,Engineering,18,Thibeault,2013,229,14,9,1,8,0.11,11,Ingénieurie,0,1,0,5,3,0
229,Engineering,18,Thibeault,2013,230,31,21,2,19,0.1,10,Ingénieurie,1,1,0,13,6,0
230,Engineering,18,Thibeault,2013,231,15,4,1,3,0.25,25,Ingénieurie,0,1,0,1,1,1
231,Engineering,19,Simeon,2013,232,24,18,2,16,0.11,11,Ingénieurie,1,1,0,11,5,0
232,Engineering,19,Simeon,2013,233,37,37,4,33,0.11,11,Ingénieurie,2,1,1,22,9,2
233,Engineering,19,Simeon,2013,234,26,8,2,6,0.25,25,Ingénieurie,2,0,0,4,1,1
234,Engineering,19,Simeon,2013,235,25,15,2,13,0.13,13,Ingénieurie,1,1,0,8,4,1
235,Engineering,19,Simeon,2013,236,33,25,5,20,0.2,20,Ingénieurie,2,2,1,13,6,1
236,Engineering,19,Simeon,2013,237,35,19,2,17,0.11,11,Ingénieurie,1,1,0,11,5,1
237,Engineering,19,Simeon,2013,238,5,3,1,2,0.33,33,Ingénieurie,0,1,0,2,0,0
238,Engineering,19,Simeon,2013,239,46,35,6,29,0.17,17,Ingénieurie,5,1,0,19,8,2
239,Engineering,19,Simeon,2013,240,21,12,1,11,0.08,8,Ingénieurie,0,1,0,8,2,1
240,Engineering,19,Simeon,2013,241,11,3,1,2,0.33,33,Ingénieurie,0,1,0,1,1,0
241,Engineering,19,Simeon,2013,242,9,3,1,2,0.33,33,Ingénieurie,1,0,0,2,0,0
242,Engineering,19,Simeon,2013,243,55,53,0,53,0.0,0,Ingénieurie,0,0,0,34,16,3
243,Engineering,19,Simeon,2013,244,30,12,1,11,0.08,8,Ingénieurie,0,1,0,8,2,1
244,Engineering,19,Simeon,2013,245,15,10,2,8,0.2,20,Ingénieurie,1,1,0,6,2,0
245,Engineering,20,Haury,2013,246,41,13,3,10,0.23,23,Ingénieurie,2,1,0,7,3,0
246,Engineering,20,Haury,2013,247,20,9,1,8,0.11,11,Ingénieurie,1,0,0,6,1,1
247,Engineering,20,Haury,2013,248,14,12,2,10,0.17,17,Ingénieurie,2,0,0,7,2,1
248,Engineering,20,Haury,2013,249,12,10,1,9,0.1,10,Ingénieurie,1,0,0,5,3,1
249,Engineering,20,Haury,2013,250,13,6,4,2,0.67,67,Ingénieurie,2,2,0,1,1,0
250,Engineering,20,Haury,2013,251,24,9,1,8,0.11,11,Ingénieurie,1,0,0,6,1,1
251,Engineering,20,Haury,2013,252,34,10,1,9,0.1,10,Ingénieurie,0,1,0,6,2,1
252,Engineering,20,Haury,2013,253,26,16,3,13,0.19,19,Ingénieurie,1,1,1,8,4,1
253,Engineering,20,Haury,2013,254,17,16,0,16,0.0,0,Ingénieurie,0,0,0,11,5,0
254,Engineering,20,Haury,2013,255,15,8,2,6,0.25,25,Ingénieurie,2,0,0,4,1,1
255,Engineering,20,Haury,2013,256,38,16,2,14,0.12,12,Ingénieurie,1,1,0,9,5,0
256,Engineering,20,Haury,2013,257,10,5,1,4,0.2,20,Ingénieurie,1,0,0,2,1,1
257,Engineering,20,Haury,2013,258,14,10,2,8,0.2,20,Ingénieurie,2,0,0,6,2,0
258,Engineering,20,Haury,2013,259,7,2,1,1,0.5,50,Ingénieurie,1,0,0,0,1,0
259,Engineering,20,Haury,2013,260,26,18,1,17,0.06,6,Ingénieurie,0,1,0,12,4,1
260,Engineering,20,Haury,2013,261,7,6,1,5,0.17,17,Ingénieurie,0,1,0,3,2,0
261,Engineering,20,Haury,2013,262,8,4,1,3,0.25,25,Ingénieurie,1,0,0,2,1,0
262,Engineering,20,Haury,2013,263,15,14,2,12,0.14,14,Ingénieurie,1,1,0,8,4,0
263,Engineering,20,Haury,2013,264,32,8,2,6,0.25,25,Ingénieurie,2,0,0,4,2,0
