,Departement,Teacher_ID,Teacher_Name,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Digitalization_Ressource_Ratio,Digitalization_Ressource_Percent,Department,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
19,Philosophie,2,Garceau,2013,20,33,18,1,17,0.06,6,Philosophy,0,1,0,11,6,0
20,Philosophie,2,Garceau,2013,21,6,2,1,1,0.5,50,Philosophy,0,1,0,0,1,0
21,Philosophie,2,Garceau,2013,22,49,45,4,41,0.09,9,Philosophy,1,2,1,27,13,1
22,Philosophie,2,Garceau,2013,23,15,6,1,5,0.17,17,Philosophy,0,1,0,3,1,1
23,Philosophie,2,Garceau,2013,24,5,4,1,3,0.25,25,Philosophy,0,1,0,2,1,0
24,Philosophie,2,Garceau,2013,25,25,14,2,12,0.14,14,Philosophy,2,0,0,8,3,1
25,Philosophie,3,Devault,2013,26,13,4,1,3,0.25,25,Philosophy,0,1,0,2,1,0
26,Philosophie,3,Devault,2013,27,36,20,2,18,0.1,10,Philosophy,2,0,0,12,6,0
27,Philosophie,3,Devault,2013,28,19,17,4,13,0.24,24,Philosophy,2,2,0,9,4,0
28,Philosophie,3,Devault,2013,29,35,10,1,9,0.1,10,Philosophy,1,0,0,6,3,0
29,Philosophie,3,Devault,2013,30,22,8,1,7,0.12,12,Philosophy,1,0,0,5,2,0
30,Philosophie,3,Devault,2013,31,9,4,1,3,0.25,25,Philosophy,0,1,0,1,1,1
31,Philosophie,3,Devault,2013,32,15,5,1,4,0.2,20,Philosophy,1,0,0,2,2,0
32,Philosophie,3,Devault,2013,33,6,4,1,3,0.25,25,Philosophy,0,1,0,2,1,0
33,Philosophie,3,Devault,2013,34,11,7,1,6,0.14,14,Philosophy,1,0,0,4,1,1
34,Philosophie,3,Devault,2013,35,16,5,1,4,0.2,20,Philosophy,0,1,0,2,1,1
35,Philosophie,3,Devault,2013,36,13,6,1,5,0.17,17,Philosophy,1,0,0,3,1,1
36,Philosophie,4,Gibel,2013,37,15,4,1,3,0.25,25,Philosophy,0,1,0,2,1,0
37,Philosophie,4,Gibel,2013,38,14,14,3,11,0.21,21,Philosophy,2,1,0,7,3,1
38,Philosophie,4,Gibel,2013,39,23,7,2,5,0.29,29,Philosophy,1,1,0,2,2,1
39,Philosophie,4,Gibel,2013,40,6,2,1,1,0.5,50,Philosophy,0,1,0,1,0,0
40,Philosophie,4,Gibel,2013,41,13,5,1,4,0.2,20,Philosophy,0,1,0,2,2,0
41,Philosophie,4,Gibel,2013,42,26,22,4,18,0.18,18,Philosophy,3,1,0,12,6,0
42,Philosophie,4,Gibel,2013,43,12,7,1,6,0.14,14,Philosophy,0,1,0,3,2,1
43,Philosophie,4,Gibel,2013,44,7,2,2,0,1.0,100,Philosophy,1,1,0,0,0,0
44,Philosophie,4,Gibel,2013,45,6,5,1,4,0.2,20,Philosophy,1,0,0,2,1,1
45,Philosophie,4,Gibel,2013,46,10,6,1,5,0.17,17,Philosophy,1,0,0,2,2,1
46,Philosophie,4,Gibel,2013,47,7,6,1,5,0.17,17,Philosophy,1,0,0,3,1,1
47,Philosophie,4,Gibel,2013,48,42,34,7,27,0.21,21,Philosophy,5,2,0,18,7,2
48,Philosophie,4,Gibel,2013,49,29,27,3,24,0.11,11,Philosophy,2,1,0,16,6,2
49,Philosophie,4,Gibel,2013,50,28,15,3,12,0.2,20,Philosophy,1,1,1,8,3,1
50,Philosophie,4,Gibel,2013,51,47,45,4,41,0.09,9,Philosophy,1,2,1,26,13,2
51,Philosophie,4,Gibel,2013,52,18,6,2,4,0.33,33,Philosophy,2,0,0,1,2,1
52,Philosophie,4,Gibel,2013,53,12,3,1,2,0.33,33,Philosophy,0,1,0,1,1,0
53,Philosophie,4,Gibel,2013,54,8,6,2,4,0.33,33,Philosophy,2,0,0,1,2,1
54,Philosophie,4,Gibel,2013,55,60,53,10,43,0.19,19,Philosophy,5,4,1,28,12,3
55,Philosophie,5,Veilleux,2013,56,26,13,1,12,0.08,8,Philosophy,1,0,0,8,3,1
56,Philosophie,5,Veilleux,2013,57,11,8,1,7,0.12,12,Philosophy,0,1,0,5,1,1
57,Philosophie,5,Veilleux,2013,58,28,23,13,10,0.57,57,Philosophy,7,5,1,7,3,0
58,Philosophie,5,Veilleux,2013,59,37,26,1,25,0.04,4,Philosophy,1,0,0,16,7,2
59,Philosophie,5,Veilleux,2013,60,31,19,2,17,0.11,11,Philosophy,2,0,0,11,5,1
60,Philosophie,5,Veilleux,2013,61,37,37,6,31,0.16,16,Philosophy,4,1,1,21,9,1
61,Philosophie,5,Veilleux,2013,62,27,13,3,10,0.23,23,Philosophy,1,1,1,6,3,1
62,Philosophie,5,Veilleux,2013,63,30,12,1,11,0.08,8,Philosophy,0,1,0,8,2,1
63,Philosophie,5,Veilleux,2013,64,36,34,5,29,0.15,15,Philosophy,1,3,1,19,8,2
64,Philosophie,5,Veilleux,2013,65,9,3,1,2,0.33,33,Philosophy,1,0,0,1,1,0
65,Philosophie,5,Veilleux,2013,66,8,4,1,3,0.25,25,Philosophy,0,1,0,2,1,0
66,Philosophie,5,Veilleux,2013,67,8,5,1,4,0.2,20,Philosophy,1,0,0,1,2,1
67,Philosophie,5,Veilleux,2013,68,38,11,2,9,0.18,18,Philosophy,1,1,0,5,3,1
68,Philosophie,5,Veilleux,2013,69,16,7,2,5,0.29,29,Philosophy,1,1,0,4,1,0
69,Philosophie,5,Veilleux,2013,70,19,9,1,8,0.11,11,Philosophy,0,1,0,5,3,0
70,Philosophie,5,Veilleux,2013,71,11,11,2,9,0.18,18,Philosophy,2,0,0,5,3,1
71,Mathématiques,6,Proveaux,2013,72,33,24,3,21,0.12,12,Mathematics,1,2,0,13,7,1
72,Mathématiques,6,Proveaux,2013,73,27,25,4,21,0.16,16,Mathematics,1,2,1,12,7,2
73,Mathématiques,6,Proveaux,2013,74,9,7,1,6,0.14,14,Mathematics,0,1,0,3,2,1
74,Mathématiques,6,Proveaux,2013,75,41,36,3,33,0.08,8,Mathematics,1,1,1,21,10,2
75,Mathématiques,6,Proveaux,2013,76,9,4,1,3,0.25,25,Mathematics,0,1,0,1,1,1
76,Mathématiques,6,Proveaux,2013,77,9,8,1,7,0.12,12,Mathematics,1,0,0,3,3,1
77,Mathématiques,6,Proveaux,2013,78,40,14,2,12,0.14,14,Mathematics,1,1,0,8,4,0
78,Mathématiques,6,Proveaux,2013,79,19,12,1,11,0.08,8,Mathematics,0,1,0,7,3,1
79,Mathématiques,6,Proveaux,2013,80,9,9,1,8,0.11,11,Mathematics,0,1,0,6,1,1
80,Mathématiques,6,Proveaux,2013,81,48,46,8,38,0.17,17,Mathematics,6,2,0,25,11,2
81,Mathématiques,6,Proveaux,2013,82,15,13,2,11,0.15,15,Mathematics,1,1,0,8,3,0
82,Mathématiques,6,Proveaux,2013,83,29,21,2,19,0.1,10,Mathematics,2,0,0,13,5,1
83,Mathématiques,6,Proveaux,2013,84,43,19,2,17,0.11,11,Mathematics,1,1,0,10,6,1
84,Mathématiques,6,Proveaux,2013,85,14,13,3,10,0.23,23,Mathematics,1,2,0,7,3,0
85,Mathématiques,6,Proveaux,2013,86,23,6,3,3,0.5,50,Mathematics,1,1,1,1,1,1
86,Mathématiques,7,St. Amant,2013,87,9,5,1,4,0.2,20,Mathematics,1,0,0,2,1,1
87,Mathématiques,7,St. Amant,2013,88,53,28,2,26,0.07,7,Mathematics,1,1,0,16,8,2
88,Mathématiques,7,St. Amant,2013,89,32,20,3,17,0.15,15,Mathematics,1,2,0,11,5,1
89,Mathématiques,7,St. Amant,2013,90,38,33,2,31,0.06,6,Mathematics,1,1,0,20,9,2
90,Mathématiques,7,St. Amant,2013,91,16,11,1,10,0.09,9,Mathematics,1,0,0,7,3,0
91,Mathématiques,7,St. Amant,2013,92,31,15,3,12,0.2,20,Mathematics,1,1,1,7,4,1
92,Mathématiques,7,St. Amant,2013,93,52,25,3,22,0.12,12,Mathematics,1,2,0,14,6,2
93,Mathématiques,7,St. Amant,2013,94,16,16,3,13,0.19,19,Mathematics,3,0,0,9,3,1
94,Mathématiques,7,St. Amant,2013,95,12,9,2,7,0.22,22,Mathematics,1,1,0,5,1,1
95,Mathématiques,7,St. Amant,2013,96,22,18,1,17,0.06,6,Mathematics,1,0,0,12,4,1
96,Mathématiques,7,St. Amant,2013,97,23,23,3,20,0.13,13,Mathematics,1,1,1,13,6,1
97,Mathématiques,7,St. Amant,2013,98,29,25,3,22,0.12,12,Mathematics,1,2,0,14,6,2
98,Mathématiques,7,St. Amant,2013,99,8,4,1,3,0.25,25,Mathematics,0,1,0,1,1,1
99,Mathématiques,7,St. Amant,2013,100,19,14,1,13,0.07,7,Mathematics,1,0,0,8,4,1
100,Mathématiques,7,St. Amant,2013,101,7,5,1,4,0.2,20,Mathematics,1,0,0,2,2,0
101,Mathématiques,8,Croissant,2013,102,34,32,1,31,0.03,3,Mathematics,1,0,0,20,9,2
102,Mathématiques,8,Croissant,2013,103,29,12,2,10,0.17,17,Mathematics,2,0,0,7,2,1
103,Mathématiques,8,Croissant,2013,104,58,26,0,26,0.0,0,Mathematics,0,0,0,16,8,2
104,Mathématiques,8,Croissant,2013,105,7,3,1,2,0.33,33,Mathematics,1,0,0,1,1,0
105,Mathématiques,8,Croissant,2013,106,38,13,2,11,0.15,15,Mathematics,1,1,0,6,4,1
106,Mathématiques,8,Croissant,2013,107,10,6,0,6,0.0,0,Mathematics,0,0,0,4,1,1
107,Mathématiques,8,Croissant,2013,108,10,7,2,5,0.29,29,Mathematics,1,1,0,3,2,0
108,Mathématiques,8,Croissant,2013,109,56,25,5,20,0.2,20,Mathematics,2,3,0,13,6,1
109,Mathématiques,8,Croissant,2013,110,10,8,2,6,0.25,25,Mathematics,1,1,0,4,1,1
110,Mathématiques,8,Croissant,2013,111,28,16,1,15,0.06,6,Mathematics,1,0,0,10,5,0
111,Mathématiques,8,Croissant,2013,112,13,7,1,6,0.14,14,Mathematics,1,0,0,3,2,1
112,Mathématiques,8,Croissant,2013,113,21,6,1,5,0.17,17,Mathematics,0,1,0,3,2,0
113,Mathématiques,8,Croissant,2013,114,8,3,1,2,0.33,33,Mathematics,0,1,0,1,1,0
114,Mathématiques,8,Croissant,2013,115,19,16,2,14,0.12,12,Mathematics,2,0,0,10,4,0
115,Mathématiques,8,Croissant,2013,116,29,23,5,18,0.22,22,Mathematics,3,2,0,11,6,1
116,Mathématiques,9,Harmel,2013,117,31,31,2,29,0.06,6,Mathematics,2,0,0,19,8,2
117,Mathématiques,9,Harmel,2013,118,57,45,8,37,0.18,18,Mathematics,5,2,1,24,12,1
118,Mathématiques,9,Harmel,2013,119,7,3,1,2,0.33,33,Mathematics,1,0,0,2,0,0
119,Mathématiques,9,Harmel,2013,120,26,10,1,9,0.1,10,Mathematics,0,1,0,6,2,1
120,Mathématiques,9,Harmel,2013,121,14,10,1,9,0.1,10,Mathematics,1,0,0,6,3,0
121,Mathématiques,9,Harmel,2013,122,9,8,1,7,0.12,12,Mathematics,0,1,0,4,2,1
122,Mathématiques,9,Harmel,2013,123,11,9,2,7,0.22,22,Mathematics,2,0,0,5,1,1
123,Mathématiques,9,Harmel,2013,124,14,13,2,11,0.15,15,Mathematics,2,0,0,7,4,0
124,Mathématiques,9,Harmel,2013,125,15,5,1,4,0.2,20,Mathematics,1,0,0,3,1,0
125,Mathématiques,9,Harmel,2013,126,7,7,2,5,0.29,29,Mathematics,2,0,0,3,1,1
126,Mathématiques,9,Harmel,2013,127,27,16,0,16,0.0,0,Mathematics,0,0,0,10,5,1
127,Mathématiques,9,Harmel,2013,128,12,3,1,2,0.33,33,Mathematics,0,1,0,2,0,0
128,Mathématiques,9,Harmel,2013,129,35,29,1,28,0.03,3,Mathematics,1,0,0,18,9,1
129,Mathématiques,9,Harmel,2013,130,34,23,7,16,0.3,30,Mathematics,4,3,0,11,5,0
130,Mathématiques,9,Harmel,2013,131,58,17,2,15,0.12,12,Mathematics,2,0,0,10,4,1
131,Mathématiques,9,Harmel,2013,132,35,16,1,15,0.06,6,Mathematics,0,1,0,10,5,0
132,Mathématiques,10,Canipe,2013,133,22,22,2,20,0.09,9,Mathematics,2,0,0,13,6,1
133,Mathématiques,10,Canipe,2013,134,6,2,1,1,0.5,50,Mathematics,0,1,0,1,0,0
134,Mathématiques,10,Canipe,2013,135,30,24,1,23,0.04,4,Mathematics,0,1,0,15,6,2
135,Mathématiques,10,Canipe,2013,136,15,6,1,5,0.17,17,Mathematics,1,0,0,4,1,0
136,Mathématiques,10,Canipe,2013,137,38,15,2,13,0.13,13,Mathematics,2,0,0,9,3,1
137,Mathématiques,10,Canipe,2013,138,13,6,1,5,0.17,17,Mathematics,1,0,0,3,1,1
138,Mathématiques,10,Canipe,2013,139,14,7,1,6,0.14,14,Mathematics,0,1,0,4,1,1
139,Mathématiques,10,Canipe,2013,140,57,15,1,14,0.07,7,Mathematics,1,0,0,10,3,1
140,Mathématiques,10,Canipe,2013,141,16,16,2,14,0.12,12,Mathematics,1,1,0,10,3,1
141,Mathématiques,10,Canipe,2013,142,10,10,2,8,0.2,20,Mathematics,2,0,0,4,3,1
142,Mathématiques,10,Canipe,2013,143,5,3,1,2,0.33,33,Mathematics,1,0,0,2,0,0
143,Mathématiques,10,Canipe,2013,144,7,6,1,5,0.17,17,Mathematics,0,1,0,3,1,1
144,Mathématiques,10,Canipe,2013,145,8,2,1,1,0.5,50,Mathematics,1,0,0,1,0,0
145,Mathématiques,10,Canipe,2013,146,25,7,1,6,0.14,14,Mathematics,1,0,0,4,2,0
146,Mathématiques,10,Canipe,2013,147,9,3,1,2,0.33,33,Mathematics,0,1,0,1,1,0
147,Mathématiques,10,Canipe,2013,148,24,13,2,11,0.15,15,Mathematics,1,1,0,8,3,0
148,Mathématiques,10,Canipe,2013,149,40,29,4,25,0.14,14,Mathematics,1,2,1,15,8,2
149,Mathématiques,10,Canipe,2013,150,7,7,0,7,0.0,0,Mathematics,0,0,0,4,2,1
150,Mathématiques,10,Canipe,2013,151,10,6,0,6,0.0,0,Mathematics,0,0,0,4,2,0
151,Mathématiques,10,Canipe,2013,152,17,12,2,10,0.17,17,Mathematics,2,0,0,6,3,1
152,Mathématiques,11,Coulon,2013,153,27,7,2,5,0.29,29,Mathematics,2,0,0,2,2,1
153,Mathématiques,11,Coulon,2013,154,12,9,2,7,0.22,22,Mathematics,2,0,0,5,2,0
154,Mathématiques,11,Coulon,2013,155,28,23,4,19,0.17,17,Mathematics,2,1,1,13,6,0
155,Mathématiques,11,Coulon,2013,156,34,12,1,11,0.08,8,Mathematics,1,0,0,8,3,0
156,Mathématiques,11,Coulon,2013,157,38,11,1,10,0.09,9,Mathematics,1,0,0,6,3,1
157,Mathématiques,11,Coulon,2013,158,23,15,3,12,0.2,20,Mathematics,2,1,0,8,3,1
158,Mathématiques,11,Coulon,2013,159,11,11,2,9,0.18,18,Mathematics,2,0,0,6,2,1
159,Mathématiques,11,Coulon,2013,160,8,4,4,0,1.0,100,Mathematics,3,1,0,0,0,0
160,Mathématiques,11,Coulon,2013,161,39,21,1,20,0.05,5,Mathematics,0,1,0,13,6,1
161,Mathématiques,11,Coulon,2013,162,31,9,1,8,0.11,11,Mathematics,0,1,0,4,3,1
162,Mathématiques,11,Coulon,2013,163,16,9,2,7,0.22,22,Mathematics,1,1,0,5,2,0
163,Mathématiques,11,Coulon,2013,164,36,19,4,15,0.21,21,Mathematics,3,1,0,9,5,1
164,Mathématiques,11,Coulon,2013,165,44,17,3,14,0.18,18,Mathematics,2,1,0,9,4,1
165,Mathématiques,11,Coulon,2013,166,17,14,1,13,0.07,7,Mathematics,1,0,0,9,4,0
166,Mathématiques,11,Coulon,2013,167,15,5,1,4,0.2,20,Mathematics,1,0,0,1,2,1
167,Histoire,12,Ducommun,2013,168,36,20,2,18,0.1,10,History,2,0,0,12,5,1
168,Histoire,12,Ducommun,2013,169,17,11,2,9,0.18,18,History,1,1,0,5,3,1
169,Histoire,12,Ducommun,2013,170,16,7,1,6,0.14,14,History,0,1,0,3,2,1
170,Histoire,12,Ducommun,2013,171,18,12,1,11,0.08,8,History,0,1,0,8,2,1
171,Histoire,12,Ducommun,2013,172,15,4,1,3,0.25,25,History,1,0,0,1,1,1
172,Histoire,12,Ducommun,2013,173,13,9,2,7,0.22,22,History,2,0,0,4,2,1
173,Histoire,12,Ducommun,2013,174,8,6,1,5,0.17,17,History,1,0,0,4,1,0
174,Histoire,12,Ducommun,2013,175,15,14,3,11,0.21,21,History,3,0,0,7,3,1
175,Histoire,12,Ducommun,2013,176,15,11,1,10,0.09,9,History,0,1,0,7,3,0
176,Histoire,12,Ducommun,2013,177,22,9,1,8,0.11,11,History,1,0,0,4,3,1
177,Histoire,12,Ducommun,2013,178,40,40,2,38,0.05,5,History,1,1,0,25,12,1
178,Histoire,12,Ducommun,2013,179,5,4,1,3,0.25,25,History,1,0,0,2,1,0
179,Histoire,12,Ducommun,2013,180,39,37,2,35,0.05,5,History,2,0,0,23,10,2
180,Histoire,12,Ducommun,2013,181,8,6,1,5,0.17,17,History,0,1,0,4,1,0
181,Histoire,12,Ducommun,2013,182,16,9,1,8,0.11,11,History,0,1,0,5,2,1
182,Histoire,12,Ducommun,2013,183,10,6,2,4,0.33,33,History,1,1,0,2,1,1
183,Histoire,12,Ducommun,2013,184,15,13,1,12,0.08,8,History,0,1,0,8,4,0
184,Histoire,12,Ducommun,2013,185,42,42,6,36,0.14,14,History,4,1,1,23,11,2
185,Histoire,12,Ducommun,2013,186,17,6,1,5,0.17,17,History,0,1,0,2,2,1
186,Histoire,13,Quine,2013,187,53,19,1,18,0.05,5,History,1,0,0,12,6,0
187,Histoire,13,Quine,2013,188,22,11,2,9,0.18,18,History,2,0,0,5,3,1
188,Histoire,13,Quine,2013,189,45,33,7,26,0.21,21,History,5,2,0,17,8,1
189,Histoire,13,Quine,2013,190,23,13,3,10,0.23,23,History,1,1,1,7,2,1
190,Histoire,13,Quine,2013,191,32,20,2,18,0.1,10,History,2,0,0,12,6,0
191,Histoire,13,Quine,2013,192,5,4,1,3,0.25,25,History,1,0,0,2,1,0
192,Histoire,13,Quine,2013,193,15,4,1,3,0.25,25,History,1,0,0,1,1,1
193,Histoire,14,Giroir,2013,194,32,16,1,15,0.06,6,History,1,0,0,10,4,1
194,Histoire,14,Giroir,2013,195,6,4,1,3,0.25,25,History,1,0,0,2,1,0
195,Histoire,14,Giroir,2013,196,12,10,2,8,0.2,20,History,1,1,0,4,3,1
196,Histoire,14,Giroir,2013,197,11,7,1,6,0.14,14,History,0,1,0,4,2,0
197,Histoire,14,Giroir,2013,198,45,28,5,23,0.18,18,History,1,3,1,14,7,2
198,Histoire,14,Giroir,2013,199,8,3,1,2,0.33,33,History,1,0,0,2,0,0
199,Histoire,14,Giroir,2013,200,5,3,0,3,0.0,0,History,0,0,0,1,1,1
200,Histoire,14,Giroir,2013,201,40,10,1,9,0.1,10,History,1,0,0,6,2,1
201,Histoire,14,Giroir,2013,202,6,5,1,4,0.2,20,History,0,1,0,2,2,0
202,Histoire,14,Giroir,2013,203,30,12,2,10,0.17,17,History,1,1,0,7,2,1
203,Histoire,14,Giroir,2013,204,7,6,1,5,0.17,17,History,1,0,0,4,1,0
204,Histoire,14,Giroir,2013,205,13,6,1,5,0.17,17,History,1,0,0,4,1,0
205,Histoire,14,Giroir,2013,206,5,3,1,2,0.33,33,History,0,1,0,1,1,0
206,Histoire,14,Giroir,2013,207,13,4,1,3,0.25,25,History,1,0,0,1,1,1
207,Histoire,14,Giroir,2013,208,39,34,5,29,0.15,15,History,2,3,0,18,9,2
208,Histoire,14,Giroir,2013,209,21,18,1,17,0.06,6,History,1,0,0,11,5,1
209,Histoire,14,Giroir,2013,210,19,16,1,15,0.06,6,History,0,1,0,10,5,0
210,Histoire,14,Giroir,2013,211,14,6,1,5,0.17,17,History,0,1,0,3,2,0
211,Histoire,14,Giroir,2013,212,13,5,1,4,0.2,20,History,0,1,0,3,1,0
212,Histoire,14,Giroir,2013,213,13,11,2,9,0.18,18,History,1,1,0,5,3,1
213,Histoire,14,Giroir,2013,214,12,5,1,4,0.2,20,History,1,0,0,2,2,0
214,Histoire,14,Giroir,2013,215,9,8,2,6,0.25,25,History,1,1,0,3,2,1
215,Histoire,15,Chapin,2013,216,26,7,1,6,0.14,14,History,0,1,0,4,2,0
216,Histoire,15,Chapin,2013,217,5,4,1,3,0.25,25,History,1,0,0,2,1,0
217,Histoire,15,Chapin,2013,218,58,42,8,34,0.19,19,History,5,2,1,23,9,2
218,Histoire,15,Chapin,2013,219,8,6,0,6,0.0,0,History,0,0,0,3,2,1
219,Histoire,15,Chapin,2013,220,55,17,3,14,0.18,18,History,1,1,1,8,5,1
220,Histoire,15,Chapin,2013,221,29,12,1,11,0.08,8,History,1,0,0,7,3,1
221,Histoire,15,Chapin,2013,222,13,4,1,3,0.25,25,History,1,0,0,1,1,1
222,Histoire,15,Chapin,2013,223,30,28,4,24,0.14,14,History,2,1,1,16,6,2
223,Histoire,15,Chapin,2013,224,36,22,3,19,0.14,14,History,3,0,0,13,5,1
224,Histoire,15,Chapin,2013,225,46,41,4,37,0.1,10,History,2,1,1,25,12,0
225,Histoire,15,Chapin,2013,226,6,4,1,3,0.25,25,History,1,0,0,1,1,1
226,Histoire,15,Chapin,2013,227,10,10,2,8,0.2,20,History,1,1,0,6,1,1
227,Histoire,15,Chapin,2013,228,13,12,1,11,0.08,8,History,1,0,0,8,2,1
228,Histoire,15,Chapin,2013,229,8,6,1,5,0.17,17,History,0,1,0,3,2,0
229,Histoire,15,Chapin,2013,230,22,9,1,8,0.11,11,History,0,1,0,5,3,0
230,Histoire,16,Presson,2013,231,24,23,1,22,0.04,4,History,0,1,0,15,6,1
231,Histoire,16,Presson,2013,232,29,11,2,9,0.18,18,History,2,0,0,6,3,0
232,Histoire,16,Presson,2013,233,15,10,2,8,0.2,20,History,1,1,0,5,3,0
233,Histoire,16,Presson,2013,234,58,53,8,45,0.15,15,History,5,3,0,30,13,2
234,Histoire,16,Presson,2013,235,9,6,2,4,0.33,33,History,1,1,0,2,1,1
235,Histoire,16,Presson,2013,236,7,5,1,4,0.2,20,History,1,0,0,3,1,0
236,Histoire,16,Presson,2013,237,26,14,3,11,0.21,21,History,1,2,0,8,2,1
237,Histoire,16,Presson,2013,238,19,9,1,8,0.11,11,History,0,1,0,4,3,1
238,Histoire,16,Presson,2013,239,8,8,1,7,0.12,12,History,1,0,0,5,1,1
239,Histoire,16,Presson,2013,240,12,10,2,8,0.2,20,History,1,1,0,5,2,1
240,Histoire,16,Presson,2013,241,29,22,2,20,0.09,9,History,1,1,0,13,6,1
241,Histoire,16,Presson,2013,242,25,17,2,15,0.12,12,History,2,0,0,9,5,1
242,Histoire,16,Presson,2013,243,8,4,1,3,0.25,25,History,1,0,0,1,1,1
243,Histoire,16,Presson,2013,244,34,17,3,14,0.18,18,History,3,0,0,10,3,1
244,Histoire,16,Presson,2013,245,32,15,2,13,0.13,13,History,2,0,0,9,3,1
245,Histoire,16,Presson,2013,246,6,4,1,3,0.25,25,History,1,0,0,1,1,1
246,Histoire,16,Presson,2013,247,17,13,2,11,0.15,15,History,1,1,0,8,3,0
247,Histoire,16,Presson,2013,248,13,4,1,3,0.25,25,History,0,1,0,2,1,0
248,Histoire,17,Ras,2013,249,29,13,2,11,0.15,15,History,1,1,0,7,3,1
249,Histoire,17,Ras,2013,250,34,22,1,21,0.05,5,History,1,0,0,13,6,2
250,Histoire,17,Ras,2013,251,16,15,2,13,0.13,13,History,2,0,0,9,3,1
251,Histoire,17,Ras,2013,252,19,5,5,0,1.0,100,History,2,2,1,0,0,0
252,Histoire,17,Ras,2013,253,49,35,4,31,0.11,11,History,3,1,0,21,8,2
253,Histoire,17,Ras,2013,254,11,11,1,10,0.09,9,History,1,0,0,7,2,1
254,Histoire,17,Ras,2013,255,34,11,2,9,0.18,18,History,1,1,0,6,3,0
255,Ingénieurie,18,Jean-Pierre,2013,256,16,11,1,10,0.09,9,Engineering,0,1,0,7,2,1
256,Ingénieurie,18,Jean-Pierre,2013,257,8,2,1,1,0.5,50,Engineering,0,1,0,1,0,0
257,Ingénieurie,18,Jean-Pierre,2013,258,23,7,1,6,0.14,14,Engineering,1,0,0,4,2,0
258,Ingénieurie,18,Jean-Pierre,2013,259,37,12,7,5,0.58,58,Engineering,5,1,1,2,2,1
259,Ingénieurie,18,Jean-Pierre,2013,260,7,7,1,6,0.14,14,Engineering,0,1,0,4,2,0
260,Ingénieurie,18,Jean-Pierre,2013,261,40,26,3,23,0.12,12,Engineering,1,1,1,14,7,2
261,Ingénieurie,18,Jean-Pierre,2013,262,40,14,2,12,0.14,14,Engineering,2,0,0,7,4,1
262,Ingénieurie,18,Jean-Pierre,2013,263,5,4,1,3,0.25,25,Engineering,1,0,0,2,1,0
263,Ingénieurie,18,Jean-Pierre,2013,264,15,13,1,12,0.08,8,Engineering,0,1,0,8,4,0
264,Ingénieurie,19,Carron,2013,265,40,11,1,10,0.09,9,Engineering,1,0,0,6,3,1
265,Ingénieurie,19,Carron,2013,266,34,34,5,29,0.15,15,Engineering,2,2,1,19,9,1
266,Ingénieurie,19,Carron,2013,267,6,6,1,5,0.17,17,Engineering,1,0,0,4,1,0
267,Ingénieurie,19,Carron,2013,268,18,17,4,13,0.24,24,Engineering,1,2,1,8,4,1
