,Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization
224,2,Pinsonneault,Languages,2013,29,19,4,15,0.19,19,Low Digitalization
232,2,Pinsonneault,Languages,2013,30,6,1,5,0.14,14,Low Digitalization
240,2,Pinsonneault,Languages,2013,31,12,0,12,0.0,0,Low Digitalization
248,2,Pinsonneault,Languages,2013,32,32,13,19,0.42,42,Medium-Low Digitalization
256,2,Pinsonneault,Languages,2013,33,19,1,18,0.04,4,Low Digitalization
264,2,Pinsonneault,Languages,2013,34,13,3,10,0.2,20,Low Digitalization
272,3,Legard,Languages,2013,35,40,17,23,0.42,42,Medium-Low Digitalization
280,3,Legard,Languages,2013,36,13,6,7,0.43,43,Medium-Low Digitalization
288,3,Legard,Languages,2013,37,54,4,50,0.07,7,Low Digitalization
296,3,Legard,Languages,2013,38,52,2,50,0.04,4,Low Digitalization
304,3,Legard,Languages,2013,39,40,9,31,0.22,22,Medium-Low Digitalization
312,4,Nolet,Languages,2013,40,25,8,17,0.32,32,Medium-Low Digitalization
320,4,Nolet,Languages,2013,41,7,3,4,0.42,42,Medium-Low Digitalization
328,4,Nolet,Languages,2013,42,37,3,34,0.07,7,Low Digitalization
336,4,Nolet,Languages,2013,43,56,4,52,0.08,8,Low Digitalization
344,4,Nolet,Languages,2013,44,30,4,26,0.12,12,Low Digitalization
352,4,Nolet,Languages,2013,45,30,2,28,0.08,8,Low Digitalization
360,4,Nolet,Languages,2013,46,9,1,8,0.06,6,Low Digitalization
368,4,Nolet,Languages,2013,47,32,3,29,0.08,8,Low Digitalization
376,4,Nolet,Languages,2013,48,48,9,39,0.19,19,Low Digitalization
384,4,Nolet,Languages,2013,49,13,4,9,0.32,32,Medium-Low Digitalization
392,4,Nolet,Languages,2013,50,40,4,36,0.1,10,Low Digitalization
400,4,Nolet,Languages,2013,51,5,0,5,0.02,2,Low Digitalization
408,4,Nolet,Languages,2013,52,11,4,7,0.33,33,Medium-Low Digitalization
416,4,Nolet,Languages,2013,53,31,6,25,0.19,19,Low Digitalization
424,5,Herpin,Languages,2013,54,32,13,19,0.4,40,Medium-Low Digitalization
432,5,Herpin,Languages,2013,55,18,6,12,0.34,34,Medium-Low Digitalization
440,5,Herpin,Languages,2013,56,15,7,8,0.49,49,Medium-Low Digitalization
448,5,Herpin,Languages,2013,57,36,17,19,0.47,47,Medium-Low Digitalization
456,5,Herpin,Languages,2013,58,12,0,12,0.02,2,Low Digitalization
464,5,Herpin,Languages,2013,59,40,16,24,0.39,39,Medium-Low Digitalization
472,5,Herpin,Languages,2013,60,6,1,5,0.21,21,Medium-Low Digitalization
480,5,Herpin,Languages,2013,61,10,2,8,0.17,17,Low Digitalization
488,5,Herpin,Languages,2013,62,15,2,13,0.15,15,Low Digitalization
496,6,Barre,Languages,2013,63,45,18,27,0.4,40,Medium-Low Digitalization
504,6,Barre,Languages,2013,64,56,25,31,0.44,44,Medium-Low Digitalization
512,6,Barre,Languages,2013,65,15,0,15,0.02,2,Low Digitalization
520,6,Barre,Languages,2013,66,33,15,18,0.46,46,Medium-Low Digitalization
528,6,Barre,Languages,2013,67,27,11,16,0.39,39,Medium-Low Digitalization
536,6,Barre,Languages,2013,68,12,4,8,0.34,34,Medium-Low Digitalization
544,7,Mathia,Languages,2013,69,5,2,3,0.38,38,Medium-Low Digitalization
552,7,Mathia,Languages,2013,70,15,3,12,0.2,20,Low Digitalization
560,7,Mathia,Languages,2013,71,16,7,9,0.43,43,Medium-Low Digitalization
568,7,Mathia,Languages,2013,72,21,7,14,0.35,35,Medium-Low Digitalization
576,7,Mathia,Languages,2013,73,33,6,27,0.19,19,Low Digitalization
584,7,Mathia,Languages,2013,74,26,5,21,0.18,18,Low Digitalization
592,7,Mathia,Languages,2013,75,12,3,9,0.26,26,Medium-Low Digitalization
600,7,Mathia,Languages,2013,76,8,0,8,0.03,3,Low Digitalization
608,7,Mathia,Languages,2013,77,36,5,31,0.13,13,Low Digitalization
616,7,Mathia,Languages,2013,78,25,5,20,0.19,19,Low Digitalization
624,8,Giard,History,2013,79,58,6,52,0.11,11,Low Digitalization
632,8,Giard,History,2013,80,34,9,25,0.26,26,Medium-Low Digitalization
640,8,Giard,History,2013,81,34,3,31,0.08,8,Low Digitalization
648,8,Giard,History,2013,82,26,8,18,0.31,31,Medium-Low Digitalization
656,8,Giard,History,2013,83,24,5,19,0.2,20,Low Digitalization
664,8,Giard,History,2013,84,7,1,6,0.14,14,Low Digitalization
672,9,Palin,History,2013,85,15,3,12,0.17,17,Low Digitalization
680,9,Palin,History,2013,86,52,18,34,0.35,35,Medium-Low Digitalization
688,9,Palin,History,2013,87,45,20,25,0.45,45,Medium-Low Digitalization
696,9,Palin,History,2013,88,15,3,12,0.23,23,Medium-Low Digitalization
704,9,Palin,History,2013,89,50,5,45,0.1,10,Low Digitalization
712,9,Palin,History,2013,90,47,12,35,0.26,26,Medium-Low Digitalization
720,9,Palin,History,2013,91,6,1,5,0.12,12,Low Digitalization
728,9,Palin,History,2013,92,41,14,27,0.33,33,Medium-Low Digitalization
736,9,Palin,History,2013,93,23,5,18,0.23,23,Medium-Low Digitalization
744,9,Palin,History,2013,94,16,2,14,0.1,10,Low Digitalization
752,9,Palin,History,2013,95,25,4,22,0.14,14,Low Digitalization
760,9,Palin,History,2013,96,38,7,31,0.18,18,Low Digitalization
768,10,Meche,History,2013,97,17,8,8,0.5,50,Medium-Low Digitalization
776,10,Meche,History,2013,98,16,0,16,0.01,1,Low Digitalization
784,10,Meche,History,2013,99,5,2,3,0.42,42,Medium-Low Digitalization
792,10,Meche,History,2013,100,10,2,8,0.2,20,Low Digitalization
800,10,Meche,History,2013,101,10,1,9,0.11,11,Low Digitalization
808,10,Meche,History,2013,102,7,2,5,0.32,32,Medium-Low Digitalization
816,10,Meche,History,2013,103,11,1,10,0.1,10,Low Digitalization
824,10,Meche,History,2013,104,34,3,31,0.09,9,Low Digitalization
832,10,Meche,History,2013,105,9,4,5,0.46,46,Medium-Low Digitalization
840,10,Meche,History,2013,106,5,2,3,0.48,48,Medium-Low Digitalization
848,10,Meche,History,2013,107,30,15,15,0.49,49,Medium-Low Digitalization
856,10,Meche,History,2013,108,10,3,7,0.32,32,Medium-Low Digitalization
864,10,Meche,History,2013,109,19,5,14,0.27,27,Medium-Low Digitalization
872,10,Meche,History,2013,110,27,11,16,0.41,41,Medium-Low Digitalization
880,10,Meche,History,2013,111,15,7,8,0.45,45,Medium-Low Digitalization
888,10,Meche,History,2013,112,11,0,11,0.01,1,Low Digitalization
896,10,Meche,History,2013,113,22,6,16,0.29,28,Medium-Low Digitalization
904,10,Meche,History,2013,114,40,7,33,0.17,17,Low Digitalization
912,10,Meche,History,2013,115,26,5,21,0.19,19,Low Digitalization
920,10,Meche,History,2013,116,8,3,5,0.42,42,Medium-Low Digitalization
928,10,Meche,History,2013,117,14,7,7,0.5,50,Medium-Low Digitalization
936,10,Meche,History,2013,118,32,5,27,0.17,17,Low Digitalization
944,11,Guillemette,History,2013,119,9,3,6,0.3,30,Medium-Low Digitalization
952,11,Guillemette,History,2013,120,13,1,12,0.04,4,Low Digitalization
960,11,Guillemette,History,2013,121,5,2,3,0.4,40,Medium-Low Digitalization
968,11,Guillemette,History,2013,122,15,6,9,0.4,40,Medium-Low Digitalization
976,11,Guillemette,History,2013,123,9,4,5,0.44,44,Medium-Low Digitalization
984,11,Guillemette,History,2013,124,8,0,8,0.01,1,Low Digitalization
992,11,Guillemette,History,2013,125,21,3,18,0.15,15,Low Digitalization
1000,11,Guillemette,History,2013,126,41,9,32,0.22,22,Medium-Low Digitalization
1008,11,Guillemette,History,2013,127,12,6,6,0.5,50,Medium-Low Digitalization
1016,11,Guillemette,History,2013,128,37,1,36,0.03,3,Low Digitalization
1024,11,Guillemette,History,2013,129,30,13,17,0.43,43,Medium-Low Digitalization
1032,11,Guillemette,History,2013,130,16,2,14,0.13,13,Low Digitalization
1040,11,Guillemette,History,2013,131,13,5,8,0.39,39,Medium-Low Digitalization
1048,11,Guillemette,History,2013,132,28,1,27,0.02,2,Low Digitalization
1056,11,Guillemette,History,2013,133,38,15,23,0.4,40,Medium-Low Digitalization
1064,11,Guillemette,History,2013,134,10,4,6,0.45,45,Medium-Low Digitalization
1072,11,Guillemette,History,2013,135,35,5,30,0.14,14,Low Digitalization
1080,11,Guillemette,History,2013,136,11,3,8,0.27,27,Medium-Low Digitalization
1088,11,Guillemette,History,2013,137,6,0,6,0.03,3,Low Digitalization
1096,11,Guillemette,History,2013,138,15,1,14,0.08,8,Low Digitalization
1104,12,Dessert,History,2013,139,39,11,28,0.28,28,Medium-Low Digitalization
1112,12,Dessert,History,2013,140,43,17,26,0.4,40,Medium-Low Digitalization
1120,12,Dessert,History,2013,141,10,1,9,0.08,8,Low Digitalization
1128,12,Dessert,History,2013,142,15,4,10,0.3,30,Medium-Low Digitalization
1136,12,Dessert,History,2013,143,30,10,20,0.33,33,Medium-Low Digitalization
1144,12,Dessert,History,2013,144,35,2,33,0.06,6,Low Digitalization
1152,12,Dessert,History,2013,145,14,5,9,0.36,36,Medium-Low Digitalization
1160,12,Dessert,History,2013,146,10,4,6,0.45,45,Medium-Low Digitalization
1168,12,Dessert,History,2013,147,8,3,5,0.39,39,Medium-Low Digitalization
1176,12,Dessert,History,2013,148,28,4,24,0.16,16,Low Digitalization
1184,12,Dessert,History,2013,149,22,1,21,0.04,4,Low Digitalization
1192,12,Dessert,History,2013,150,10,1,9,0.08,8,Low Digitalization
1200,12,Dessert,History,2013,151,19,9,10,0.48,48,Medium-Low Digitalization
1208,12,Dessert,History,2013,152,12,5,7,0.45,45,Medium-Low Digitalization
1216,12,Dessert,History,2013,153,9,2,7,0.18,18,Low Digitalization
1224,12,Dessert,History,2013,154,38,13,25,0.34,34,Medium-Low Digitalization
1232,12,Dessert,History,2013,155,56,13,43,0.24,24,Medium-Low Digitalization
1240,13,Deman,History,2013,156,41,0,41,0.0,0,Low Digitalization
1248,13,Deman,History,2013,157,15,0,15,0.03,3,Low Digitalization
1256,13,Deman,History,2013,158,15,5,10,0.36,36,Medium-Low Digitalization
1264,13,Deman,History,2013,159,9,4,5,0.47,47,Medium-Low Digitalization
1272,13,Deman,History,2013,160,36,6,30,0.16,16,Low Digitalization
1280,13,Deman,History,2013,161,8,2,6,0.26,26,Medium-Low Digitalization
1288,13,Deman,History,2013,162,6,2,4,0.29,28,Medium-Low Digitalization
1296,13,Deman,History,2013,163,18,8,10,0.42,42,Medium-Low Digitalization
1304,13,Deman,History,2013,164,15,4,11,0.24,24,Medium-Low Digitalization
1312,13,Deman,History,2013,165,24,9,15,0.39,39,Medium-Low Digitalization
1320,13,Deman,History,2013,166,12,2,10,0.2,20,Low Digitalization
1328,13,Deman,History,2013,167,8,3,5,0.34,34,Medium-Low Digitalization
1336,13,Deman,History,2013,168,30,5,25,0.18,18,Low Digitalization
1344,13,Deman,History,2013,169,28,6,22,0.23,23,Medium-Low Digitalization
1352,13,Deman,History,2013,170,14,2,12,0.15,15,Low Digitalization
1360,13,Deman,History,2013,171,19,3,16,0.17,17,Low Digitalization
1368,13,Deman,History,2013,172,15,7,8,0.49,49,Medium-Low Digitalization
1376,13,Deman,History,2013,173,8,0,8,0.04,4,Low Digitalization
1384,13,Deman,History,2013,174,16,6,10,0.4,40,Medium-Low Digitalization
1392,13,Deman,History,2013,175,16,4,12,0.25,25,Medium-Low Digitalization
1400,13,Deman,History,2013,176,23,9,14,0.39,39,Medium-Low Digitalization
1408,14,Bruneau,History,2013,177,53,12,41,0.23,23,Medium-Low Digitalization
1416,14,Bruneau,History,2013,178,26,11,15,0.42,42,Medium-Low Digitalization
1424,14,Bruneau,History,2013,179,13,4,9,0.27,27,Medium-Low Digitalization
1432,14,Bruneau,History,2013,180,5,1,4,0.22,22,Medium-Low Digitalization
1440,14,Bruneau,History,2013,181,12,1,11,0.11,11,Low Digitalization
1448,14,Bruneau,History,2013,182,8,2,6,0.22,22,Medium-Low Digitalization
1456,14,Bruneau,History,2013,183,35,11,24,0.31,31,Medium-Low Digitalization
1464,14,Bruneau,History,2013,184,12,1,11,0.06,6,Low Digitalization
1472,14,Bruneau,History,2013,185,5,2,3,0.37,37,Medium-Low Digitalization
1480,14,Bruneau,History,2013,186,22,2,20,0.1,10,Low Digitalization
1488,14,Bruneau,History,2013,187,32,16,16,0.5,50,Medium-Low Digitalization
1496,14,Bruneau,History,2013,188,36,15,21,0.42,42,Medium-Low Digitalization
1504,14,Bruneau,History,2013,189,7,2,5,0.31,31,Medium-Low Digitalization
1512,14,Bruneau,History,2013,190,20,2,18,0.12,12,Low Digitalization
1520,14,Bruneau,History,2013,191,6,3,3,0.48,48,Medium-Low Digitalization
1528,14,Bruneau,History,2013,192,36,0,36,0.01,1,Low Digitalization
1536,14,Bruneau,History,2013,193,5,0,5,0.02,2,Low Digitalization
1544,14,Bruneau,History,2013,194,15,1,14,0.07,7,Low Digitalization
1552,14,Bruneau,History,2013,195,18,6,12,0.32,32,Medium-Low Digitalization
1560,15,Thibodaux,Sociology,2013,196,15,4,11,0.25,25,Medium-Low Digitalization
1568,15,Thibodaux,Sociology,2013,197,11,5,6,0.49,49,Medium-Low Digitalization
1576,15,Thibodaux,Sociology,2013,198,33,10,23,0.29,28,Medium-Low Digitalization
1584,15,Thibodaux,Sociology,2013,199,15,2,13,0.12,12,Low Digitalization
1592,15,Thibodaux,Sociology,2013,200,33,10,23,0.29,28,Medium-Low Digitalization
1600,15,Thibodaux,Sociology,2013,201,42,10,32,0.25,25,Medium-Low Digitalization
1608,15,Thibodaux,Sociology,2013,202,12,2,10,0.14,14,Low Digitalization
1616,15,Thibodaux,Sociology,2013,203,8,1,7,0.11,11,Low Digitalization
1624,15,Thibodaux,Sociology,2013,204,10,3,7,0.28,28,Medium-Low Digitalization
1632,15,Thibodaux,Sociology,2013,205,33,13,20,0.4,40,Medium-Low Digitalization
1640,15,Thibodaux,Sociology,2013,206,26,7,19,0.28,28,Medium-Low Digitalization
1648,15,Thibodaux,Sociology,2013,207,18,8,10,0.42,42,Medium-Low Digitalization
1656,15,Thibodaux,Sociology,2013,208,32,7,25,0.22,22,Medium-Low Digitalization
1664,15,Thibodaux,Sociology,2013,209,29,1,28,0.03,3,Low Digitalization
1672,15,Thibodaux,Sociology,2013,210,32,8,24,0.25,25,Medium-Low Digitalization
1680,15,Thibodaux,Sociology,2013,211,22,9,13,0.43,43,Medium-Low Digitalization
1688,16,Leveque,Sociology,2013,212,28,5,23,0.17,17,Low Digitalization
1696,16,Leveque,Sociology,2013,213,7,2,5,0.32,32,Medium-Low Digitalization
1704,16,Leveque,Sociology,2013,214,34,14,20,0.4,40,Medium-Low Digitalization
1712,16,Leveque,Sociology,2013,215,31,4,27,0.14,14,Low Digitalization
1720,16,Leveque,Sociology,2013,216,8,4,4,0.44,44,Medium-Low Digitalization
1728,16,Leveque,Sociology,2013,217,23,9,14,0.37,37,Medium-Low Digitalization
1736,16,Leveque,Sociology,2013,218,26,11,15,0.42,42,Medium-Low Digitalization
1744,16,Leveque,Sociology,2013,219,24,3,21,0.14,14,Low Digitalization
1752,16,Leveque,Sociology,2013,220,25,5,20,0.19,19,Low Digitalization
1760,16,Leveque,Sociology,2013,221,27,7,20,0.25,25,Medium-Low Digitalization
1768,16,Leveque,Sociology,2013,222,24,3,21,0.11,11,Low Digitalization
1776,16,Leveque,Sociology,2013,223,29,12,17,0.41,41,Medium-Low Digitalization
1784,16,Leveque,Sociology,2013,224,10,1,9,0.13,13,Low Digitalization
1792,16,Leveque,Sociology,2013,225,39,20,20,0.5,50,Medium-Low Digitalization
1800,16,Leveque,Sociology,2013,226,54,7,47,0.13,13,Low Digitalization
1808,17,Spenard,Sociology,2013,227,13,2,11,0.17,17,Low Digitalization
1816,17,Spenard,Sociology,2013,228,10,3,7,0.29,28,Medium-Low Digitalization
1824,17,Spenard,Sociology,2013,229,32,0,32,0.01,1,Low Digitalization
1832,17,Spenard,Sociology,2013,230,50,2,48,0.05,5,Low Digitalization
1840,17,Spenard,Sociology,2013,231,14,4,10,0.25,25,Medium-Low Digitalization
1848,17,Spenard,Sociology,2013,232,33,9,24,0.26,26,Medium-Low Digitalization
1856,17,Spenard,Sociology,2013,233,34,17,17,0.5,50,Medium-Low Digitalization
1864,18,Livernois,Sociology,2013,234,30,8,22,0.25,25,Medium-Low Digitalization
1872,18,Livernois,Sociology,2013,235,15,7,8,0.48,48,Medium-Low Digitalization
1880,18,Livernois,Sociology,2013,236,30,4,26,0.14,14,Low Digitalization
1888,18,Livernois,Sociology,2013,237,15,2,14,0.1,10,Low Digitalization
1896,18,Livernois,Sociology,2013,238,15,5,10,0.33,33,Medium-Low Digitalization
1904,18,Livernois,Sociology,2013,239,31,15,16,0.49,49,Medium-Low Digitalization
1912,18,Livernois,Sociology,2013,240,32,1,31,0.02,2,Low Digitalization
1920,18,Livernois,Sociology,2013,241,13,4,9,0.28,28,Medium-Low Digitalization
1928,18,Livernois,Sociology,2013,242,9,3,6,0.33,33,Medium-Low Digitalization
1936,18,Livernois,Sociology,2013,243,27,2,25,0.09,9,Low Digitalization
1944,18,Livernois,Sociology,2013,244,12,6,6,0.48,48,Medium-Low Digitalization
1952,18,Livernois,Sociology,2013,245,35,4,31,0.12,12,Low Digitalization
1960,18,Livernois,Sociology,2013,246,17,1,16,0.05,5,Low Digitalization
1968,18,Livernois,Sociology,2013,247,18,3,15,0.19,19,Low Digitalization
1976,18,Livernois,Sociology,2013,248,9,4,5,0.45,45,Medium-Low Digitalization
1984,18,Livernois,Sociology,2013,249,10,1,9,0.12,12,Low Digitalization
1992,18,Livernois,Sociology,2013,250,47,9,38,0.19,19,Low Digitalization
2000,19,Amar,Sociology,2013,251,15,4,10,0.3,30,Medium-Low Digitalization
2008,19,Amar,Sociology,2013,252,9,4,5,0.46,46,Medium-Low Digitalization
2016,19,Amar,Sociology,2013,253,10,3,7,0.26,26,Medium-Low Digitalization
2024,19,Amar,Sociology,2013,254,31,7,24,0.22,22,Medium-Low Digitalization
2032,19,Amar,Sociology,2013,255,35,7,28,0.21,21,Medium-Low Digitalization
2040,19,Amar,Sociology,2013,256,49,0,49,0.0,0,Low Digitalization
2048,19,Amar,Sociology,2013,257,35,12,23,0.33,33,Medium-Low Digitalization
2056,19,Amar,Sociology,2013,258,27,5,22,0.19,19,Low Digitalization
2064,19,Amar,Sociology,2013,259,46,2,44,0.05,5,Low Digitalization
2072,19,Amar,Sociology,2013,260,16,6,10,0.4,40,Medium-Low Digitalization
2080,19,Amar,Sociology,2013,261,20,7,13,0.34,34,Medium-Low Digitalization
2088,19,Amar,Sociology,2013,262,35,17,18,0.49,49,Medium-Low Digitalization
2096,19,Amar,Sociology,2013,263,6,3,3,0.45,45,Medium-Low Digitalization
2104,19,Amar,Sociology,2013,264,8,2,6,0.27,27,Medium-Low Digitalization
2112,19,Amar,Sociology,2013,265,29,4,25,0.14,14,Low Digitalization
2120,20,Fontenette,Sociology,2013,266,16,0,16,0.01,1,Low Digitalization
2128,20,Fontenette,Sociology,2013,267,39,18,21,0.46,46,Medium-Low Digitalization
2136,20,Fontenette,Sociology,2013,268,35,15,20,0.44,44,Medium-Low Digitalization
2144,20,Fontenette,Sociology,2013,269,60,26,34,0.44,44,Medium-Low Digitalization
2152,20,Fontenette,Sociology,2013,270,11,1,10,0.12,12,Low Digitalization
2160,20,Fontenette,Sociology,2013,271,24,10,14,0.42,42,Medium-Low Digitalization
2168,20,Fontenette,Sociology,2013,272,10,4,6,0.41,41,Medium-Low Digitalization
2176,20,Fontenette,Sociology,2013,273,24,1,23,0.03,3,Low Digitalization
2184,20,Fontenette,Sociology,2013,274,42,3,39,0.06,6,Low Digitalization
2192,20,Fontenette,Sociology,2013,275,47,16,31,0.33,33,Medium-Low Digitalization
2200,20,Fontenette,Sociology,2013,276,17,0,17,0.01,1,Low Digitalization
2208,20,Fontenette,Sociology,2013,277,24,11,13,0.47,47,Medium-Low Digitalization
2216,20,Fontenette,Sociology,2013,278,15,4,11,0.24,24,Medium-Low Digitalization
2224,20,Fontenette,Sociology,2013,279,35,15,20,0.42,42,Medium-Low Digitalization
2232,21,Ravenel,Sociology,2013,280,18,0,18,0.01,1,Low Digitalization
2240,21,Ravenel,Sociology,2013,281,27,3,24,0.12,12,Low Digitalization
2248,21,Ravenel,Sociology,2013,282,36,17,19,0.46,46,Medium-Low Digitalization
2256,21,Ravenel,Sociology,2013,283,13,3,10,0.21,21,Medium-Low Digitalization
2264,21,Ravenel,Sociology,2013,284,11,5,6,0.43,43,Medium-Low Digitalization
2272,21,Ravenel,Sociology,2013,285,39,10,29,0.25,25,Medium-Low Digitalization
2280,21,Ravenel,Sociology,2013,286,15,6,9,0.42,42,Medium-Low Digitalization
2288,21,Ravenel,Sociology,2013,287,32,14,18,0.43,43,Medium-Low Digitalization
2296,22,Graves,Sociology,2013,288,15,7,8,0.47,47,Medium-Low Digitalization
2304,22,Graves,Sociology,2013,289,7,1,6,0.21,21,Medium-Low Digitalization
2312,22,Graves,Sociology,2013,290,9,1,8,0.08,8,Low Digitalization
2320,22,Graves,Sociology,2013,291,39,4,35,0.1,10,Low Digitalization
2328,22,Graves,Sociology,2013,292,14,3,11,0.2,20,Low Digitalization
2336,22,Graves,Sociology,2013,293,11,1,10,0.08,8,Low Digitalization
2344,22,Graves,Sociology,2013,294,39,19,20,0.49,49,Medium-Low Digitalization
2352,22,Graves,Sociology,2013,295,25,12,13,0.49,49,Medium-Low Digitalization
2360,22,Graves,Sociology,2013,296,35,11,24,0.32,32,Medium-Low Digitalization
2368,22,Graves,Sociology,2013,297,9,2,7,0.19,19,Low Digitalization
2376,22,Graves,Sociology,2013,298,12,1,11,0.05,5,Low Digitalization
2384,22,Graves,Sociology,2013,299,6,1,5,0.1,10,Low Digitalization
2392,22,Graves,Sociology,2013,300,28,4,24,0.16,16,Low Digitalization
2400,22,Graves,Sociology,2013,301,22,0,22,0.02,2,Low Digitalization
2408,22,Graves,Sociology,2013,302,56,25,31,0.45,45,Medium-Low Digitalization
2416,22,Graves,Sociology,2013,303,12,5,7,0.45,45,Medium-Low Digitalization
2424,22,Graves,Sociology,2013,304,8,0,8,0.02,2,Low Digitalization
2432,22,Graves,Sociology,2013,305,5,2,3,0.46,46,Medium-Low Digitalization
2440,22,Graves,Sociology,2013,306,19,7,12,0.36,36,Medium-Low Digitalization
2448,23,Frere,Law,2013,307,21,7,14,0.35,35,Medium-Low Digitalization
2456,23,Frere,Law,2013,308,14,7,7,0.5,50,Medium-Low Digitalization
2464,23,Frere,Law,2013,309,6,1,5,0.09,9,Low Digitalization
2472,23,Frere,Law,2013,310,35,10,24,0.3,30,Medium-Low Digitalization
2480,23,Frere,Law,2013,311,5,1,4,0.17,17,Low Digitalization
2488,23,Frere,Law,2013,312,38,4,34,0.11,11,Low Digitalization
2496,23,Frere,Law,2013,313,27,8,19,0.28,28,Medium-Low Digitalization
2504,23,Frere,Law,2013,314,40,3,37,0.08,8,Low Digitalization
2512,24,Rochette,Law,2013,315,51,17,34,0.34,34,Medium-Low Digitalization
2520,24,Rochette,Law,2013,316,13,6,7,0.49,49,Medium-Low Digitalization
2528,24,Rochette,Law,2013,317,12,1,11,0.05,5,Low Digitalization
2536,24,Rochette,Law,2013,318,22,4,18,0.18,18,Low Digitalization
2544,24,Rochette,Law,2013,319,25,6,19,0.25,25,Medium-Low Digitalization
2552,24,Rochette,Law,2013,320,60,4,56,0.07,7,Low Digitalization
2560,25,Michaud,Law,2013,321,35,5,30,0.15,15,Low Digitalization
2568,25,Michaud,Law,2013,322,12,4,8,0.3,30,Medium-Low Digitalization
2576,25,Michaud,Law,2013,323,35,7,28,0.2,20,Low Digitalization
2584,25,Michaud,Law,2013,324,5,2,3,0.49,49,Medium-Low Digitalization
2592,25,Michaud,Law,2013,325,54,17,37,0.32,32,Medium-Low Digitalization
2600,25,Michaud,Law,2013,326,15,3,12,0.19,19,Low Digitalization
2608,25,Michaud,Law,2013,327,8,4,4,0.44,44,Medium-Low Digitalization
2616,25,Michaud,Law,2013,328,7,0,7,0.01,1,Low Digitalization
2624,25,Michaud,Law,2013,329,29,11,18,0.39,39,Medium-Low Digitalization
2632,26,Grosjean,Law,2013,330,14,3,11,0.22,22,Medium-Low Digitalization
2640,26,Grosjean,Law,2013,331,26,11,15,0.43,43,Medium-Low Digitalization
2648,26,Grosjean,Law,2013,332,9,2,7,0.21,21,Medium-Low Digitalization
2656,26,Grosjean,Law,2013,333,10,1,9,0.09,9,Low Digitalization
2664,26,Grosjean,Law,2013,334,14,1,13,0.06,6,Low Digitalization
2672,26,Grosjean,Law,2013,335,10,4,6,0.44,44,Medium-Low Digitalization
2680,26,Grosjean,Law,2013,336,23,8,15,0.36,36,Medium-Low Digitalization
2688,26,Grosjean,Law,2013,337,10,0,10,0.02,2,Low Digitalization
2696,26,Grosjean,Law,2013,338,29,2,27,0.08,8,Low Digitalization
2704,26,Grosjean,Law,2013,339,11,1,10,0.12,12,Low Digitalization
2712,26,Grosjean,Law,2013,340,29,9,20,0.32,32,Medium-Low Digitalization
2720,26,Grosjean,Law,2013,341,10,1,9,0.11,11,Low Digitalization
