,Universite,Departement,Teacher_ID,Teacher_Name,Teacher_Gender,Teacher_Seniority,Teacher_Digit,Teacher_Ress
85,Angers,Histoire,86,Lally,Femme,Moins de 5 ans,24.88,Au cours de l'année 2020 à 2021
86,Angers,Histoire,87,Dube,Femme,Moins de 5 ans,27.63,Au cours de l'année 2020 à 2021
87,Angers,Histoire,88,Han,Femme,Entre 5 et 15 ans,18.31,Au cours de l'année 2020 à 2021
88,Angers,Histoire,89,Poudrier,Homme,Moins de 5 ans,20.93,Au cours de l'année 2020 à 2021
89,Angers,Histoire,90,Credit,Homme,Entre 5 et 15 ans,17.39,Au cours de l'année 2020 à 2021
90,Angers,Histoire,91,Dant,Homme,Plus de 15 ans,0,Jamais
91,Angers,Histoire,92,Darensbourg,Homme,Moins de 5 ans,15.81,Antérieure à 2018
92,Angers,Histoire,93,Vivier,Homme,Moins de 5 ans,0,Jamais
93,Angers,Histoire,94,Gravel,Femme,Plus de 15 ans,28.75,Au cours des années 2018 à 2020
94,Angers,Histoire,95,Goy,Femme,Moins de 5 ans,14.81,Au cours de l'année 2020 à 2021
95,Angers,Histoire,96,Bodin,Homme,Entre 5 et 15 ans,12.98,Au cours des années 2018 à 2020
96,Angers,Histoire,97,Parquette,Femme,Entre 5 et 15 ans,0,Jamais
97,Angers,Histoire,98,Desselle,Femme,Moins de 5 ans,11.05,Antérieure à 2018
98,Angers,Histoire,99,Gosselin,Femme,Plus de 15 ans,0,Jamais
99,Angers,Histoire,100,Dague,Homme,Moins de 5 ans,23.58,Au cours de l'année 2020 à 2021
100,Angers,Histoire,101,Belville,Femme,Moins de 5 ans,25.11,Au cours de l'année 2020 à 2021
101,Angers,Histoire,102,Charrier,Femme,Plus de 15 ans,13.75,Antérieure à 2018
102,Angers,Histoire,103,Riopelle,Femme,Moins de 5 ans,12.79,Au cours de l'année 2020 à 2021
103,Angers,Histoire,104,Brunelle,Femme,Plus de 15 ans,14.15,Antérieure à 2018
104,Angers,Histoire,105,Paule,Femme,Moins de 5 ans,20.1,Au cours des années 2018 à 2020
105,Angers,Histoire,106,Meunier,Femme,Plus de 15 ans,12.04,Antérieure à 2018
106,Angers,Histoire,107,Bonenfant,Femme,Moins de 5 ans,16.31,Au cours des années 2018 à 2020
107,Angers,Histoire,108,Giblin,Femme,Plus de 15 ans,24.2,Antérieure à 2018
108,Angers,Histoire,109,Aucoin,Femme,Plus de 15 ans,11.13,Au cours des années 2018 à 2020
109,Angers,Histoire,110,Martine,Femme,Plus de 15 ans,20.02,Au cours de l'année 2020 à 2021
110,Angers,Histoire,111,Georger,Femme,Entre 5 et 15 ans,13.53,Au cours des années 2018 à 2020
111,Angers,Histoire,112,Range,Femme,Plus de 15 ans,11.11,Au cours des années 2018 à 2020
112,Angers,Histoire,113,Mort,Femme,Plus de 15 ans,0,Jamais
113,Angers,Histoire,114,Dane,Femme,Entre 5 et 15 ans,18.25,Au cours de l'année 2020 à 2021
114,Angers,Histoire,115,Avis,Femme,Moins de 5 ans,28.05,Au cours de l'année 2020 à 2021
115,Angers,Histoire,116,Hait,Femme,Plus de 15 ans,10.87,Antérieure à 2018
116,Angers,Histoire,117,Brun,Homme,Moins de 5 ans,27.16,Antérieure à 2018
117,Angers,Histoire,118,Beaudet,Femme,Plus de 15 ans,0,Jamais
118,Angers,Histoire,119,Navarre,Femme,Entre 5 et 15 ans,29.56,Au cours des années 2018 à 2020
119,Angers,Histoire,120,Dorau,Femme,Moins de 5 ans,11.31,Au cours des années 2018 à 2020
120,Angers,Histoire,121,Barsalou,Homme,Entre 5 et 15 ans,15.84,Antérieure à 2018
121,Angers,Histoire,122,Billard,Femme,Moins de 5 ans,12.11,Au cours des années 2018 à 2020
122,Angers,Histoire,123,Methot,Femme,Entre 5 et 15 ans,0,Jamais
123,Angers,Histoire,124,Daoust,Femme,Moins de 5 ans,27.59,Au cours des années 2018 à 2020
124,Angers,Histoire,125,Robillard,Femme,Entre 5 et 15 ans,23.52,Au cours des années 2018 à 2020
125,Angers,Histoire,126,Girard,Femme,Plus de 15 ans,23.63,Au cours des années 2018 à 2020
126,Angers,Histoire,127,Rachel,Femme,Plus de 15 ans,17.21,Antérieure à 2018
127,Angers,Histoire,128,Batiste,Femme,Moins de 5 ans,20.8,Au cours de l'année 2020 à 2021
128,Angers,Histoire,129,Sauvage,Femme,Plus de 15 ans,0,Jamais
129,Angers,Histoire,130,Blier,Femme,Plus de 15 ans,26.88,Au cours des années 2018 à 2020
130,Angers,Histoire,131,Nevers,Femme,Moins de 5 ans,18.82,Au cours de l'année 2020 à 2021
131,Angers,Histoire,132,Pelissier,Femme,Entre 5 et 15 ans,21.41,Au cours des années 2018 à 2020
132,Angers,Histoire,133,Tremblay,Femme,Entre 5 et 15 ans,15.99,Au cours des années 2018 à 2020
133,Angers,Histoire,134,Virkler,Femme,Entre 5 et 15 ans,11.28,Au cours de l'année 2020 à 2021
134,Angers,Histoire,135,Lasalle,Femme,Entre 5 et 15 ans,0,Jamais
135,Angers,Histoire,136,St. Ours,Femme,Entre 5 et 15 ans,18.9,Antérieure à 2018
136,Angers,Histoire,137,Augustin,Femme,Entre 5 et 15 ans,21.22,Au cours des années 2018 à 2020
137,Angers,Histoire,138,Beliveau,Femme,Moins de 5 ans,23.41,Au cours des années 2018 à 2020
138,Angers,Histoire,139,Gemme,Femme,Entre 5 et 15 ans,14.59,Au cours des années 2018 à 2020
139,Angers,Histoire,140,Matthieu,Femme,Entre 5 et 15 ans,16.74,Au cours des années 2018 à 2020
140,Angers,Histoire,141,Riveron,Homme,Moins de 5 ans,17.0,Au cours des années 2018 à 2020
141,Angers,Histoire,142,Madore,Femme,Plus de 15 ans,0,Jamais
142,Angers,Mathématiques,143,Rodrigue,Homme,Moins de 5 ans,36.16,Au cours de l'année 2020 à 2021
143,Angers,Mathématiques,144,Lafary,Homme,Entre 5 et 15 ans,47.94,Antérieure à 2018
144,Angers,Mathématiques,145,Fonder,Homme,Plus de 15 ans,41.36,Au cours de l'année 2020 à 2021
145,Angers,Mathématiques,146,Deshaies,Non Spécifié,Entre 5 et 15 ans,43.39,Au cours des années 2018 à 2020
146,Angers,Mathématiques,147,Payer,Femme,Moins de 5 ans,28.59,Au cours des années 2018 à 2020
147,Angers,Mathématiques,148,Gonsoulin,Femme,Plus de 15 ans,0,Jamais
148,Angers,Mathématiques,149,Hotte,Femme,Moins de 5 ans,23.62,Au cours de l'année 2020 à 2021
149,Angers,Mathématiques,150,Minette,Femme,Entre 5 et 15 ans,15.28,Antérieure à 2018
150,Angers,Mathématiques,151,Daignault,Femme,Moins de 5 ans,0,Jamais
151,Angers,Mathématiques,152,Feret,Homme,Moins de 5 ans,29.26,Au cours des années 2018 à 2020
152,Angers,Mathématiques,153,Sansoucie,Femme,Moins de 5 ans,16.02,Au cours de l'année 2020 à 2021
153,Angers,Mathématiques,154,Filiatrault,Homme,Entre 5 et 15 ans,49.88,Au cours de l'année 2020 à 2021
154,Angers,Mathématiques,155,Mourey,Femme,Entre 5 et 15 ans,26.01,Au cours des années 2018 à 2020
155,Angers,Mathématiques,156,Bernardin,Femme,Entre 5 et 15 ans,23.79,Au cours des années 2018 à 2020
156,Angers,Mathématiques,157,Ducas,Femme,Plus de 15 ans,0,Jamais
157,Angers,Mathématiques,158,Pigue,Femme,Moins de 5 ans,21.52,Au cours des années 2018 à 2020
158,Angers,Mathématiques,159,Brame,Homme,Plus de 15 ans,34.18,Antérieure à 2018
159,Angers,Mathématiques,160,Cuvelier,Femme,Moins de 5 ans,0,Jamais
160,Angers,Mathématiques,161,Picot,Femme,Moins de 5 ans,16.03,Au cours de l'année 2020 à 2021
161,Angers,Mathématiques,162,Decelles,Femme,Moins de 5 ans,0,Jamais
162,Angers,Mathématiques,163,Harland,Femme,Moins de 5 ans,22.76,Au cours de l'année 2020 à 2021
163,Angers,Mathématiques,164,Darensbourg,Femme,Plus de 15 ans,21.0,Antérieure à 2018
164,Angers,Mathématiques,165,Manne,Femme,Plus de 15 ans,18.89,Au cours des années 2018 à 2020
165,Angers,Mathématiques,166,Sopher,Femme,Moins de 5 ans,20.1,Au cours des années 2018 à 2020
166,Angers,Mathématiques,167,Limon,Femme,Moins de 5 ans,20.39,Au cours des années 2018 à 2020
167,Angers,Mathématiques,168,Desjardins,Homme,Entre 5 et 15 ans,38.25,Au cours des années 2018 à 2020
168,Angers,Mathématiques,169,Mally,Femme,Moins de 5 ans,25.48,Au cours de l'année 2020 à 2021
169,Angers,Mathématiques,170,Debord,Homme,Moins de 5 ans,39.12,Antérieure à 2018
170,Angers,Mathématiques,171,Nys,Homme,Moins de 5 ans,35.11,Au cours de l'année 2020 à 2021
171,Angers,Mathématiques,172,Labiche,Femme,Moins de 5 ans,0,Jamais
172,Angers,Mathématiques,173,Renier,Femme,Moins de 5 ans,29.86,Au cours de l'année 2020 à 2021
173,Angers,Mathématiques,174,Dosier,Femme,Entre 5 et 15 ans,22.87,Antérieure à 2018
174,Angers,Mathématiques,175,Marceaux,Homme,Moins de 5 ans,35.39,Au cours de l'année 2020 à 2021
175,Angers,Mathématiques,176,Lacharite,Femme,Entre 5 et 15 ans,29.85,Au cours des années 2018 à 2020
176,Angers,Mathématiques,177,Denard,Homme,Moins de 5 ans,45.65,Au cours des années 2018 à 2020
177,Angers,Mathématiques,178,Rougeux,Homme,Moins de 5 ans,42.78,Au cours de l'année 2020 à 2021
178,Angers,Mathématiques,179,Naves,Homme,Entre 5 et 15 ans,37.84,Antérieure à 2018
179,Angers,Mathématiques,180,Verdun,Femme,Entre 5 et 15 ans,27.0,Au cours des années 2018 à 2020
180,Angers,Mathématiques,181,Millon,Non Spécifié,Entre 5 et 15 ans,0,Jamais
181,Angers,Mathématiques,182,Line,Femme,Moins de 5 ans,27.48,Au cours des années 2018 à 2020
182,Angers,Mathématiques,183,Asselin,Homme,Plus de 15 ans,0,Jamais
183,Angers,Mathématiques,184,Cloud,Femme,Plus de 15 ans,0,Jamais
184,Angers,Mathématiques,185,Viau,Non Spécifié,Moins de 5 ans,34.81,Au cours de l'année 2020 à 2021
185,Angers,Mathématiques,186,Frain,Non Spécifié,Entre 5 et 15 ans,0,Jamais
186,Angers,Mathématiques,187,Benne,Femme,Plus de 15 ans,22.24,Au cours des années 2018 à 2020
187,Angers,Mathématiques,188,Lefort,Femme,Moins de 5 ans,17.31,Au cours des années 2018 à 2020
188,Angers,Mathématiques,189,Demey,Homme,Moins de 5 ans,43.84,Au cours de l'année 2020 à 2021
189,Angers,Mathématiques,190,Viverette,Homme,Entre 5 et 15 ans,30.53,Au cours de l'année 2020 à 2021
190,Angers,Mathématiques,191,Buisson,Femme,Entre 5 et 15 ans,28.01,Au cours de l'année 2020 à 2021
191,Angers,Mathématiques,192,Sevy,Femme,Moins de 5 ans,21.1,Au cours des années 2018 à 2020
192,Angers,Mathématiques,193,Pinard,Femme,Entre 5 et 15 ans,19.6,Au cours de l'année 2020 à 2021
193,Angers,Mathématiques,194,Normandeau,Femme,Plus de 15 ans,26.3,Au cours des années 2018 à 2020
194,Angers,Mathématiques,195,Linger,Non Spécifié,Moins de 5 ans,0,Jamais
195,Angers,Mathématiques,196,Bardin,Non Spécifié,Moins de 5 ans,0,Jamais
196,Angers,Mathématiques,197,Lequire,Homme,Moins de 5 ans,25.13,Au cours de l'année 2020 à 2021
197,Angers,Mathématiques,198,Clemence,Femme,Moins de 5 ans,21.02,Au cours de l'année 2020 à 2021
198,Angers,Mathématiques,199,Lagesse,Femme,Moins de 5 ans,26.72,Au cours de l'année 2020 à 2021
199,Angers,Mathématiques,200,Canipe,Femme,Entre 5 et 15 ans,24.07,Au cours des années 2018 à 2020
200,Angers,Mathématiques,201,Erny,Femme,Moins de 5 ans,24.83,Au cours de l'année 2020 à 2021
201,Angers,Mathématiques,202,Duntz,Femme,Plus de 15 ans,20.19,Antérieure à 2018
202,Angers,Mathématiques,203,Ray,Homme,Entre 5 et 15 ans,25.52,Au cours des années 2018 à 2020
203,Angers,Mathématiques,204,Calixte,Non Spécifié,Moins de 5 ans,27.82,Au cours des années 2018 à 2020
204,Angers,Mathématiques,205,Meny,Femme,Plus de 15 ans,0,Jamais
205,Angers,Mathématiques,206,Arcement,Femme,Entre 5 et 15 ans,15.11,Au cours des années 2018 à 2020
206,Angers,Mathématiques,207,Tourville,Homme,Moins de 5 ans,32.48,Au cours des années 2018 à 2020
207,Angers,Mathématiques,208,Lamon,Femme,Moins de 5 ans,16.93,Antérieure à 2018
208,Angers,Mathématiques,209,Hamelin,Femme,Entre 5 et 15 ans,23.5,Au cours des années 2018 à 2020
209,Angers,Mathématiques,210,Demeuse,Homme,Entre 5 et 15 ans,32.21,Au cours des années 2018 à 2020
210,Angers,Mathématiques,211,Gourd,Homme,Entre 5 et 15 ans,49.78,Au cours de l'année 2020 à 2021
211,Angers,Mathématiques,212,Fouche,Homme,Plus de 15 ans,39.67,Antérieure à 2018
212,Angers,Mathématiques,213,Beaulac,Femme,Entre 5 et 15 ans,19.14,Au cours des années 2018 à 2020
213,Angers,Mathématiques,214,Legrande,Femme,Moins de 5 ans,29.59,Au cours de l'année 2020 à 2021
214,Angers,Mathématiques,215,Gordinier,Femme,Entre 5 et 15 ans,23.33,Antérieure à 2018
215,Angers,Mathématiques,216,Pate,Femme,Entre 5 et 15 ans,20.74,Au cours des années 2018 à 2020
216,Angers,Mathématiques,217,Remillard,Homme,Moins de 5 ans,25.49,Antérieure à 2018
217,Angers,Mathématiques,218,Sandel,Homme,Moins de 5 ans,39.55,Au cours de l'année 2020 à 2021
218,Angers,Mathématiques,219,Bodine,Femme,Entre 5 et 15 ans,25.12,Antérieure à 2018
219,Angers,Mathématiques,220,Henard,Femme,Entre 5 et 15 ans,26.09,Antérieure à 2018
220,Angers,Mathématiques,221,Montminy,Femme,Plus de 15 ans,0,Jamais
221,Angers,Informatique,222,Louviere,Femme,Entre 5 et 15 ans,23.34,Au cours de l'année 2020 à 2021
222,Angers,Informatique,223,Marsan,Femme,Plus de 15 ans,0,Jamais
223,Angers,Informatique,224,Caine,Homme,Entre 5 et 15 ans,31.84,Au cours des années 2018 à 2020
224,Angers,Informatique,225,Mestayer,Homme,Plus de 15 ans,0,Jamais
225,Angers,Informatique,226,Turcotte,Homme,Moins de 5 ans,40.49,Au cours de l'année 2020 à 2021
226,Angers,Informatique,227,Lavelle,Femme,Entre 5 et 15 ans,26.46,Au cours des années 2018 à 2020
227,Angers,Informatique,228,Larche,Femme,Moins de 5 ans,29.99,Au cours de l'année 2020 à 2021
228,Angers,Informatique,229,Leconte,Femme,Entre 5 et 15 ans,0,Jamais
229,Angers,Informatique,230,Courville,Femme,Plus de 15 ans,0,Jamais
230,Angers,Informatique,231,Brouhard,Femme,Entre 5 et 15 ans,24.56,Antérieure à 2018
231,Angers,Informatique,232,Deroy,Femme,Entre 5 et 15 ans,30.58,Antérieure à 2018
232,Angers,Informatique,233,Chapelle,Non Spécifié,Plus de 15 ans,0,Jamais
233,Angers,Informatique,234,Maupin,Femme,Moins de 5 ans,28.79,Au cours de l'année 2020 à 2021
234,Angers,Informatique,235,Fruit,Femme,Entre 5 et 15 ans,23.71,Au cours des années 2018 à 2020
235,Angers,Informatique,236,Paty,Homme,Entre 5 et 15 ans,59.7,Antérieure à 2018
236,Angers,Informatique,237,Perrot,Femme,Entre 5 et 15 ans,36.26,Au cours des années 2018 à 2020
237,Angers,Informatique,238,Miron,Homme,Plus de 15 ans,38.19,Antérieure à 2018
238,Angers,Informatique,239,Artis,Femme,Moins de 5 ans,21.57,Au cours de l'année 2020 à 2021
239,Angers,Informatique,240,Hebel,Femme,Plus de 15 ans,36.28,Antérieure à 2018
240,Angers,Informatique,241,Maggi,Homme,Moins de 5 ans,38.58,Au cours de l'année 2020 à 2021
241,Angers,Informatique,242,Calland,Femme,Entre 5 et 15 ans,34.2,Au cours des années 2018 à 2020
242,Angers,Informatique,243,Lafontaine,Femme,Plus de 15 ans,0,Jamais
243,Angers,Informatique,244,Lacasse,Femme,Entre 5 et 15 ans,0,Jamais
244,Angers,Informatique,245,Cotnoir,Femme,Plus de 15 ans,32.17,Antérieure à 2018
245,Angers,Informatique,246,Lia,Femme,Plus de 15 ans,35.78,Antérieure à 2018
246,Angers,Informatique,247,Hotard,Femme,Moins de 5 ans,31.48,Antérieure à 2018
247,Angers,Informatique,248,Jeune,Homme,Entre 5 et 15 ans,45.58,Au cours de l'année 2020 à 2021
248,Angers,Informatique,249,Babineau,Homme,Plus de 15 ans,44.65,Au cours de l'année 2020 à 2021
249,Angers,Informatique,250,Depace,Femme,Plus de 15 ans,0,Jamais
250,Angers,Informatique,251,Simonet,Femme,Plus de 15 ans,28.55,Antérieure à 2018
251,Angers,Informatique,252,Robichaux,Homme,Plus de 15 ans,51.61,Au cours de l'année 2020 à 2021
252,Angers,Informatique,253,Place,Femme,Entre 5 et 15 ans,37.14,Au cours de l'année 2020 à 2021
253,Angers,Informatique,254,Lacelle,Homme,Plus de 15 ans,47.68,Antérieure à 2018
254,Angers,Informatique,255,Gimbert,Femme,Entre 5 et 15 ans,26.66,Au cours des années 2018 à 2020
255,Angers,Informatique,256,Dufresne,Femme,Moins de 5 ans,36.12,Au cours de l'année 2020 à 2021
256,Angers,Informatique,257,Courcy,Femme,Moins de 5 ans,29.01,Au cours de l'année 2020 à 2021
257,Angers,Informatique,258,Jasmin,Femme,Entre 5 et 15 ans,34.1,Antérieure à 2018
258,Angers,Informatique,259,Boisclair,Homme,Plus de 15 ans,34.43,Au cours des années 2018 à 2020
259,Angers,Informatique,260,Lesane,Femme,Moins de 5 ans,29.18,Antérieure à 2018
260,Angers,Informatique,261,Dufort,Femme,Entre 5 et 15 ans,35.71,Au cours des années 2018 à 2020
261,Angers,Informatique,262,Garceau,Homme,Moins de 5 ans,38.89,Au cours de l'année 2020 à 2021
262,Angers,Informatique,263,Petrin,Femme,Moins de 5 ans,22.33,Au cours des années 2018 à 2020
263,Angers,Informatique,264,Gilliard,Homme,Entre 5 et 15 ans,30.95,Au cours des années 2018 à 2020
264,Angers,Informatique,265,Quebedeaux,Femme,Moins de 5 ans,22.37,Au cours de l'année 2020 à 2021
265,Angers,Informatique,266,Mele,Femme,Moins de 5 ans,29.56,Au cours des années 2018 à 2020
266,Angers,Informatique,267,Lecocq,Femme,Plus de 15 ans,31.87,Antérieure à 2018
267,Angers,Informatique,268,Bisset,Femme,Moins de 5 ans,36.12,Au cours de l'année 2020 à 2021
268,Angers,Informatique,269,Lepage,Femme,Moins de 5 ans,25.83,Au cours de l'année 2020 à 2021
269,Angers,Informatique,270,Simoneau,Homme,Moins de 5 ans,58.7,Au cours des années 2018 à 2020
270,Angers,Informatique,271,Fredette,Femme,Plus de 15 ans,39.98,Au cours des années 2018 à 2020
271,Angers,Informatique,272,Genet,Homme,Plus de 15 ans,59.99,Antérieure à 2018
272,Angers,Informatique,273,Boche,Femme,Entre 5 et 15 ans,30.39,Au cours de l'année 2020 à 2021
273,Angers,Informatique,274,Beliveau,Homme,Plus de 15 ans,0,Jamais
274,Angers,Informatique,275,Lorette,Femme,Entre 5 et 15 ans,0,Jamais
275,Angers,Informatique,276,Ancel,Homme,Entre 5 et 15 ans,40.17,Antérieure à 2018
276,Angers,Informatique,277,Precourt,Femme,Plus de 15 ans,0,Jamais
277,Angers,Informatique,278,Charbonneau,Femme,Plus de 15 ans,30.88,Antérieure à 2018
