,Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization,Duration_Video,Duration_Quiz,Duration_Exam,Number_Video,Number_Quiz,Number_Exam,Number_Ressources,Number_Video_1H,Number_Video_2H,Number_Video_3H,Number_Video_4H,Number_Quiz_1H,Number_Quiz_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H
14,1,Michelin,Languages,2013,15,38,0,38,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,Pinsonneault,Languages,2013,16,5,1,4,0.24,24,Medium-Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
16,2,Pinsonneault,Languages,2013,17,32,4,28,0.14,14,Low Digitalization,2,2,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0
17,2,Pinsonneault,Languages,2013,18,11,0,11,0.03,3,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,Pinsonneault,Languages,2013,19,8,1,7,0.14,14,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
19,2,Pinsonneault,Languages,2013,20,17,0,17,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,Pinsonneault,Languages,2013,21,9,4,5,0.41,41,Medium-Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
21,2,Pinsonneault,Languages,2013,22,15,0,15,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,Pinsonneault,Languages,2013,23,27,10,17,0.36,36,Medium-Low Digitalization,2,6,2,2,3,2,7,2,0,0,0,0,3,2,0,0,0
23,2,Pinsonneault,Languages,2013,24,5,1,4,0.2,20,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
24,2,Pinsonneault,Languages,2013,25,25,11,14,0.44,44,Medium-Low Digitalization,7,3,1,3,2,1,6,1,0,2,0,1,1,1,0,0,0
25,2,Pinsonneault,Languages,2013,26,49,0,49,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,Pinsonneault,Languages,2013,27,37,7,30,0.18,18,Low Digitalization,2,4,1,2,4,1,7,2,0,0,0,4,0,1,0,0,0
27,2,Pinsonneault,Languages,2013,28,36,14,22,0.38,38,Medium-Low Digitalization,4,6,4,2,5,3,10,0,2,0,0,4,1,2,1,0,0
28,2,Pinsonneault,Languages,2013,29,19,4,15,0.19,19,Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0
29,2,Pinsonneault,Languages,2013,30,6,1,5,0.14,14,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
30,2,Pinsonneault,Languages,2013,31,12,0,12,0.0,0,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,Pinsonneault,Languages,2013,32,32,13,19,0.42,42,Medium-Low Digitalization,8,3,2,6,3,1,10,5,0,1,0,3,0,0,1,0,0
32,2,Pinsonneault,Languages,2013,33,19,1,18,0.04,4,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
33,2,Pinsonneault,Languages,2013,34,13,3,10,0.2,20,Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
34,3,Legard,Languages,2013,35,40,17,23,0.42,42,Medium-Low Digitalization,13,3,1,6,2,1,9,3,0,2,1,1,1,1,0,0,0
35,3,Legard,Languages,2013,36,13,6,7,0.43,43,Medium-Low Digitalization,4,2,0,2,2,0,4,1,0,1,0,2,0,0,0,0,0
36,3,Legard,Languages,2013,37,54,4,50,0.07,7,Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
37,3,Legard,Languages,2013,38,52,2,50,0.04,4,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
38,3,Legard,Languages,2013,39,40,9,31,0.22,22,Medium-Low Digitalization,3,5,1,3,4,1,8,3,0,0,0,3,1,1,0,0,0
39,4,Nolet,Languages,2013,40,25,8,17,0.32,32,Medium-Low Digitalization,3,5,0,3,4,0,7,3,0,0,0,3,1,0,0,0,0
40,4,Nolet,Languages,2013,41,7,3,4,0.42,42,Medium-Low Digitalization,1,2,0,1,2,0,3,1,0,0,0,2,0,0,0,0,0
41,4,Nolet,Languages,2013,42,37,3,34,0.07,7,Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
42,4,Nolet,Languages,2013,43,56,4,52,0.08,8,Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
43,4,Nolet,Languages,2013,44,30,4,26,0.12,12,Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
44,4,Nolet,Languages,2013,45,30,2,28,0.08,8,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
45,4,Nolet,Languages,2013,46,9,1,8,0.06,6,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
46,4,Nolet,Languages,2013,47,32,3,29,0.08,8,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
47,4,Nolet,Languages,2013,48,48,9,39,0.19,19,Low Digitalization,4,5,0,1,3,0,4,0,0,0,1,1,2,0,0,0,0
48,4,Nolet,Languages,2013,49,13,4,9,0.32,32,Medium-Low Digitalization,3,1,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0
49,4,Nolet,Languages,2013,50,40,4,36,0.1,10,Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
50,4,Nolet,Languages,2013,51,5,0,5,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4,Nolet,Languages,2013,52,11,4,7,0.33,33,Medium-Low Digitalization,2,2,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0
52,4,Nolet,Languages,2013,53,31,6,25,0.19,19,Low Digitalization,3,2,1,2,2,1,5,1,1,0,0,2,0,1,0,0,0
53,5,Herpin,Languages,2013,54,32,13,19,0.4,40,Medium-Low Digitalization,3,7,3,2,4,3,9,1,1,0,0,1,3,3,0,0,0
54,5,Herpin,Languages,2013,55,18,6,12,0.34,34,Medium-Low Digitalization,2,3,1,2,2,1,5,2,0,0,0,1,1,1,0,0,0
55,5,Herpin,Languages,2013,56,15,7,8,0.49,49,Medium-Low Digitalization,3,4,0,2,2,0,4,1,1,0,0,0,2,0,0,0,0
56,5,Herpin,Languages,2013,57,36,17,19,0.47,47,Medium-Low Digitalization,8,7,2,8,4,1,13,8,0,0,0,1,3,0,1,0,0
57,5,Herpin,Languages,2013,58,12,0,12,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,Herpin,Languages,2013,59,40,16,24,0.39,39,Medium-Low Digitalization,10,6,0,6,6,0,12,4,1,0,1,6,0,0,0,0,0
59,5,Herpin,Languages,2013,60,6,1,5,0.21,21,Medium-Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
60,5,Herpin,Languages,2013,61,10,2,8,0.17,17,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
61,5,Herpin,Languages,2013,62,15,2,13,0.15,15,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
62,6,Barre,Languages,2013,63,45,18,27,0.4,40,Medium-Low Digitalization,9,6,3,3,3,1,7,0,1,1,1,0,3,0,0,1,0
63,6,Barre,Languages,2013,64,56,25,31,0.44,44,Medium-Low Digitalization,16,5,4,14,3,3,20,13,0,1,0,1,2,2,1,0,0
64,6,Barre,Languages,2013,65,15,0,15,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6,Barre,Languages,2013,66,33,15,18,0.46,46,Medium-Low Digitalization,3,9,3,3,6,3,12,3,0,0,0,3,3,3,0,0,0
66,6,Barre,Languages,2013,67,27,11,16,0.39,39,Medium-Low Digitalization,4,6,1,1,5,1,7,0,0,0,1,4,1,1,0,0,0
67,6,Barre,Languages,2013,68,12,4,8,0.34,34,Medium-Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
68,7,Mathia,Languages,2013,69,5,2,3,0.38,38,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
69,7,Mathia,Languages,2013,70,15,3,12,0.2,20,Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
70,7,Mathia,Languages,2013,71,16,7,9,0.43,43,Medium-Low Digitalization,5,2,0,5,1,0,6,5,0,0,0,0,1,0,0,0,0
71,7,Mathia,Languages,2013,72,21,7,14,0.35,35,Medium-Low Digitalization,3,3,1,1,2,1,4,0,0,1,0,1,1,1,0,0,0
72,7,Mathia,Languages,2013,73,33,6,27,0.19,19,Low Digitalization,3,3,0,2,2,0,4,1,1,0,0,1,1,0,0,0,0
73,7,Mathia,Languages,2013,74,26,5,21,0.18,18,Low Digitalization,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0
74,7,Mathia,Languages,2013,75,12,3,9,0.26,26,Medium-Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
75,7,Mathia,Languages,2013,76,8,0,8,0.03,3,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,7,Mathia,Languages,2013,77,36,5,31,0.13,13,Low Digitalization,2,2,1,1,1,1,3,0,1,0,0,0,1,1,0,0,0
77,7,Mathia,Languages,2013,78,25,5,20,0.19,19,Low Digitalization,2,3,0,1,3,0,4,0,1,0,0,3,0,0,0,0,0
78,8,Giard,History,2013,79,58,6,52,0.11,11,Low Digitalization,4,2,0,3,1,0,4,2,1,0,0,0,1,0,0,0,0
79,8,Giard,History,2013,80,34,9,25,0.26,26,Medium-Low Digitalization,4,3,2,3,3,2,8,2,1,0,0,3,0,2,0,0,0
80,8,Giard,History,2013,81,34,3,31,0.08,8,Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
81,8,Giard,History,2013,82,26,8,18,0.31,31,Medium-Low Digitalization,6,2,0,6,2,0,8,6,0,0,0,2,0,0,0,0,0
82,8,Giard,History,2013,83,24,5,19,0.2,20,Low Digitalization,3,2,0,2,1,0,3,1,1,0,0,0,1,0,0,0,0
83,8,Giard,History,2013,84,7,1,6,0.14,14,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
84,9,Palin,History,2013,85,15,3,12,0.17,17,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
85,9,Palin,History,2013,86,52,18,34,0.35,35,Medium-Low Digitalization,13,4,1,11,3,1,15,10,0,1,0,2,1,1,0,0,0
86,9,Palin,History,2013,87,45,20,25,0.45,45,Medium-Low Digitalization,11,5,4,11,3,3,17,11,0,0,0,1,2,2,1,0,0
87,9,Palin,History,2013,88,15,3,12,0.23,23,Medium-Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
88,9,Palin,History,2013,89,50,5,45,0.1,10,Low Digitalization,4,1,0,2,1,0,3,0,2,0,0,1,0,0,0,0,0
89,9,Palin,History,2013,90,47,12,35,0.26,26,Medium-Low Digitalization,6,4,2,4,4,2,10,3,0,1,0,4,0,2,0,0,0
90,9,Palin,History,2013,91,6,1,5,0.12,12,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
91,9,Palin,History,2013,92,41,14,27,0.33,33,Medium-Low Digitalization,4,7,3,2,7,3,12,1,0,1,0,7,0,3,0,0,0
92,9,Palin,History,2013,93,23,5,18,0.23,23,Medium-Low Digitalization,2,3,0,1,3,0,4,0,1,0,0,3,0,0,0,0,0
93,9,Palin,History,2013,94,16,2,14,0.1,10,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
94,9,Palin,History,2013,95,25,4,22,0.14,14,Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0
95,9,Palin,History,2013,96,38,7,31,0.18,18,Low Digitalization,2,4,1,1,4,1,6,0,1,0,0,4,0,1,0,0,0
96,10,Meche,History,2013,97,17,8,8,0.5,50,Medium-Low Digitalization,3,4,1,1,2,1,4,0,0,1,0,0,2,1,0,0,0
97,10,Meche,History,2013,98,16,0,16,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,10,Meche,History,2013,99,5,2,3,0.42,42,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
99,10,Meche,History,2013,100,10,2,8,0.2,20,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
100,10,Meche,History,2013,101,10,1,9,0.11,11,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
101,10,Meche,History,2013,102,7,2,5,0.32,32,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
102,10,Meche,History,2013,103,11,1,10,0.1,10,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
103,10,Meche,History,2013,104,34,3,31,0.09,9,Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
104,10,Meche,History,2013,105,9,4,5,0.46,46,Medium-Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0
105,10,Meche,History,2013,106,5,2,3,0.48,48,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
106,10,Meche,History,2013,107,30,15,15,0.49,49,Medium-Low Digitalization,9,4,2,3,4,1,8,0,1,1,1,4,0,0,1,0,0
107,10,Meche,History,2013,108,10,3,7,0.32,32,Medium-Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
108,10,Meche,History,2013,109,19,5,14,0.27,27,Medium-Low Digitalization,1,3,1,1,2,1,4,1,0,0,0,1,1,1,0,0,0
109,10,Meche,History,2013,110,27,11,16,0.41,41,Medium-Low Digitalization,6,3,2,2,2,2,6,0,1,0,1,1,1,2,0,0,0
110,10,Meche,History,2013,111,15,7,8,0.45,45,Medium-Low Digitalization,4,2,1,3,2,1,6,2,1,0,0,2,0,1,0,0,0
111,10,Meche,History,2013,112,11,0,11,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,10,Meche,History,2013,113,22,6,16,0.29,28,Medium-Low Digitalization,3,2,1,2,1,1,4,1,1,0,0,0,1,1,0,0,0
113,10,Meche,History,2013,114,40,7,33,0.17,17,Low Digitalization,4,2,1,2,2,1,5,0,2,0,0,2,0,1,0,0,0
114,10,Meche,History,2013,115,26,5,21,0.19,19,Low Digitalization,2,2,1,1,1,1,3,0,1,0,0,0,1,1,0,0,0
115,10,Meche,History,2013,116,8,3,5,0.42,42,Medium-Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
116,10,Meche,History,2013,117,14,7,7,0.5,50,Medium-Low Digitalization,4,2,1,2,1,1,4,1,0,1,0,0,1,1,0,0,0
117,10,Meche,History,2013,118,32,5,27,0.17,17,Low Digitalization,2,3,0,2,3,0,5,2,0,0,0,3,0,0,0,0,0
118,11,Guillemette,History,2013,119,9,3,6,0.3,30,Medium-Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
119,11,Guillemette,History,2013,120,13,1,12,0.04,4,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
120,11,Guillemette,History,2013,121,5,2,3,0.4,40,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
121,11,Guillemette,History,2013,122,15,6,9,0.4,40,Medium-Low Digitalization,3,2,1,3,2,1,6,3,0,0,0,2,0,1,0,0,0
122,11,Guillemette,History,2013,123,9,4,5,0.44,44,Medium-Low Digitalization,2,2,0,2,1,0,3,2,0,0,0,0,1,0,0,0,0
123,11,Guillemette,History,2013,124,8,0,8,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,11,Guillemette,History,2013,125,21,3,18,0.15,15,Low Digitalization,1,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0
125,11,Guillemette,History,2013,126,41,9,32,0.22,22,Medium-Low Digitalization,3,4,2,2,2,2,6,1,1,0,0,0,2,2,0,0,0
126,11,Guillemette,History,2013,127,12,6,6,0.5,50,Medium-Low Digitalization,3,2,1,3,2,1,6,3,0,0,0,2,0,1,0,0,0
127,11,Guillemette,History,2013,128,37,1,36,0.03,3,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
128,11,Guillemette,History,2013,129,30,13,17,0.43,43,Medium-Low Digitalization,9,3,1,6,3,1,10,3,3,0,0,3,0,1,0,0,0
129,11,Guillemette,History,2013,130,16,2,14,0.13,13,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
130,11,Guillemette,History,2013,131,13,5,8,0.39,39,Medium-Low Digitalization,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0
131,11,Guillemette,History,2013,132,28,1,27,0.02,2,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
132,11,Guillemette,History,2013,133,38,15,23,0.4,40,Medium-Low Digitalization,4,7,4,3,5,4,12,2,1,0,0,3,2,4,0,0,0
133,11,Guillemette,History,2013,134,10,4,6,0.45,45,Medium-Low Digitalization,3,1,0,3,1,0,4,3,0,0,0,1,0,0,0,0,0
134,11,Guillemette,History,2013,135,35,5,30,0.14,14,Low Digitalization,1,3,1,1,2,1,4,1,0,0,0,1,1,1,0,0,0
135,11,Guillemette,History,2013,136,11,3,8,0.27,27,Medium-Low Digitalization,1,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0
136,11,Guillemette,History,2013,137,6,0,6,0.03,3,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,11,Guillemette,History,2013,138,15,1,14,0.08,8,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
138,12,Dessert,History,2013,139,39,11,28,0.28,28,Medium-Low Digitalization,4,6,1,3,4,1,8,2,1,0,0,2,2,1,0,0,0
139,12,Dessert,History,2013,140,43,17,26,0.4,40,Medium-Low Digitalization,12,4,1,7,3,1,11,4,2,0,1,2,1,1,0,0,0
140,12,Dessert,History,2013,141,10,1,9,0.08,8,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
141,12,Dessert,History,2013,142,15,4,10,0.3,30,Medium-Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
142,12,Dessert,History,2013,143,30,10,20,0.33,33,Medium-Low Digitalization,7,3,0,3,3,0,6,1,0,2,0,3,0,0,0,0,0
143,12,Dessert,History,2013,144,35,2,33,0.06,6,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
144,12,Dessert,History,2013,145,14,5,9,0.36,36,Medium-Low Digitalization,2,2,1,2,1,1,4,2,0,0,0,0,1,1,0,0,0
145,12,Dessert,History,2013,146,10,4,6,0.45,45,Medium-Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0
146,12,Dessert,History,2013,147,8,3,5,0.39,39,Medium-Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
147,12,Dessert,History,2013,148,28,4,24,0.16,16,Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0
148,12,Dessert,History,2013,149,22,1,21,0.04,4,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
149,12,Dessert,History,2013,150,10,1,9,0.08,8,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
150,12,Dessert,History,2013,151,19,9,10,0.48,48,Medium-Low Digitalization,6,2,1,3,1,1,5,1,1,1,0,0,1,1,0,0,0
151,12,Dessert,History,2013,152,12,5,7,0.45,45,Medium-Low Digitalization,3,2,0,3,2,0,5,3,0,0,0,2,0,0,0,0,0
152,12,Dessert,History,2013,153,9,2,7,0.18,18,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
153,12,Dessert,History,2013,154,38,13,25,0.34,34,Medium-Low Digitalization,6,4,3,5,3,3,11,4,1,0,0,2,1,3,0,0,0
154,12,Dessert,History,2013,155,56,13,43,0.24,24,Medium-Low Digitalization,5,5,3,3,3,3,9,2,0,1,0,1,2,3,0,0,0
155,13,Deman,History,2013,156,41,0,41,0.0,0,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,13,Deman,History,2013,157,15,0,15,0.03,3,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,13,Deman,History,2013,158,15,5,10,0.36,36,Medium-Low Digitalization,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0
158,13,Deman,History,2013,159,9,4,5,0.47,47,Medium-Low Digitalization,2,2,0,2,2,0,4,2,0,0,0,2,0,0,0,0,0
159,13,Deman,History,2013,160,36,6,30,0.16,16,Low Digitalization,3,2,1,1,1,1,3,0,0,1,0,0,1,1,0,0,0
160,13,Deman,History,2013,161,8,2,6,0.26,26,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
161,13,Deman,History,2013,162,6,2,4,0.29,28,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
162,13,Deman,History,2013,163,18,8,10,0.42,42,Medium-Low Digitalization,5,2,1,5,2,1,8,5,0,0,0,2,0,1,0,0,0
163,13,Deman,History,2013,164,15,4,11,0.24,24,Medium-Low Digitalization,2,2,0,2,2,0,4,2,0,0,0,2,0,0,0,0,0
164,13,Deman,History,2013,165,24,9,15,0.39,39,Medium-Low Digitalization,5,3,1,4,3,1,8,3,1,0,0,3,0,1,0,0,0
165,13,Deman,History,2013,166,12,2,10,0.2,20,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
166,13,Deman,History,2013,167,8,3,5,0.34,34,Medium-Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
167,13,Deman,History,2013,168,30,5,25,0.18,18,Low Digitalization,2,2,1,1,2,1,4,0,1,0,0,2,0,1,0,0,0
168,13,Deman,History,2013,169,28,6,22,0.23,23,Medium-Low Digitalization,4,2,0,2,2,0,4,0,2,0,0,2,0,0,0,0,0
169,13,Deman,History,2013,170,14,2,12,0.15,15,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
170,13,Deman,History,2013,171,19,3,16,0.17,17,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
171,13,Deman,History,2013,172,15,7,8,0.49,49,Medium-Low Digitalization,4,3,0,1,2,0,3,0,0,0,1,1,1,0,0,0,0
172,13,Deman,History,2013,173,8,0,8,0.04,4,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,13,Deman,History,2013,174,16,6,10,0.4,40,Medium-Low Digitalization,3,3,0,3,2,0,5,3,0,0,0,1,1,0,0,0,0
174,13,Deman,History,2013,175,16,4,12,0.25,25,Medium-Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
175,13,Deman,History,2013,176,23,9,14,0.39,39,Medium-Low Digitalization,4,3,2,2,2,1,5,1,0,1,0,1,1,0,1,0,0
176,14,Bruneau,History,2013,177,53,12,41,0.23,23,Medium-Low Digitalization,5,4,3,4,3,1,8,3,1,0,0,2,1,0,0,1,0
177,14,Bruneau,History,2013,178,26,11,15,0.42,42,Medium-Low Digitalization,8,3,0,5,3,0,8,2,3,0,0,3,0,0,0,0,0
178,14,Bruneau,History,2013,179,13,4,9,0.27,27,Medium-Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
179,14,Bruneau,History,2013,180,5,1,4,0.22,22,Medium-Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
180,14,Bruneau,History,2013,181,12,1,11,0.11,11,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
181,14,Bruneau,History,2013,182,8,2,6,0.22,22,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
182,14,Bruneau,History,2013,183,35,11,24,0.31,31,Medium-Low Digitalization,6,3,2,3,3,2,8,1,1,1,0,3,0,2,0,0,0
183,14,Bruneau,History,2013,184,12,1,11,0.06,6,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
184,14,Bruneau,History,2013,185,5,2,3,0.37,37,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
