,Unnamed: 0,Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization,Duration_Video,Duration_Quiz,Duration_Exam,Number_Video,Number_Quiz,Number_Exam,Number_Ressources,Number_Video_1H,Number_Video_2H,Number_Video_3H,Number_Video_4H,Number_Quiz_1H,Number_Quiz_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H,Basic_Sequence,Advanced_Sequence
10,80,1,Michelin,Languages,2013,11,60,3,57,0.05,5,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Vid-Quiz-Vid,Vid1H-Vid1H-Quiz1H
11,88,1,Michelin,Languages,2013,12,26,7,19,0.27,27,Medium-Low Digitalization,2,4,1,2,3,1,6,2,0,0,0,2,1,1,0,0,0,Vid-Quiz-Quiz-Vid-Exam-Quiz,Quiz1H-Vid1H-Exam1H-Quiz1H-Quiz2H-Vid1H
12,96,1,Michelin,Languages,2013,13,5,1,4,0.11,11,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
13,104,1,Michelin,Languages,2013,14,15,2,13,0.12,12,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Quiz-Vid,Vid1H-Quiz1H
14,112,1,Michelin,Languages,2013,15,38,0,38,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,120,2,Pinsonneault,Languages,2013,16,5,1,4,0.24,24,Medium-Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
16,128,2,Pinsonneault,Languages,2013,17,32,4,28,0.14,14,Low Digitalization,3,1,0,3,1,0,4,3,0,0,0,1,0,0,0,0,0,Vid-Vid-Vid-Quiz,Vid1H-Quiz1H-Vid1H-Vid1H
17,136,2,Pinsonneault,Languages,2013,18,11,0,11,0.03,3,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
18,144,2,Pinsonneault,Languages,2013,19,8,1,7,0.14,14,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
19,152,2,Pinsonneault,Languages,2013,20,17,0,17,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,160,2,Pinsonneault,Languages,2013,21,9,4,5,0.41,41,Medium-Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,Exam-Vid-Quiz,Vid1H-Quiz2H-Exam1H
21,168,2,Pinsonneault,Languages,2013,22,15,0,15,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,176,2,Pinsonneault,Languages,2013,23,27,10,17,0.36,36,Medium-Low Digitalization,3,5,2,1,4,2,7,0,0,1,0,3,1,2,0,0,0,Exam-Quiz-Quiz-Vid-Exam-Quiz-Quiz,Exam1H-Exam1H-Vid3H-Quiz1H-Quiz2H-Quiz1H-Quiz1H
23,184,2,Pinsonneault,Languages,2013,24,5,1,4,0.2,20,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
24,192,2,Pinsonneault,Languages,2013,25,25,11,14,0.44,44,Medium-Low Digitalization,4,4,3,1,2,2,5,0,0,0,1,0,2,1,1,0,0,Exam-Vid-Quiz-Exam-Quiz,Exam2H-Vid4H-Quiz2H-Exam1H-Quiz2H
25,200,2,Pinsonneault,Languages,2013,26,49,0,49,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
26,208,2,Pinsonneault,Languages,2013,27,37,7,30,0.18,18,Low Digitalization,2,3,2,2,3,2,7,2,0,0,0,3,0,2,0,0,0,Quiz-Exam-Quiz-Vid-Vid-Quiz-Exam,Quiz1H-Quiz1H-Exam1H-Exam1H-Vid1H-Vid1H-Quiz1H
27,216,2,Pinsonneault,Languages,2013,28,36,14,22,0.38,38,Medium-Low Digitalization,6,5,3,2,3,2,7,0,1,0,1,1,2,1,1,0,0,Quiz-Exam-Vid-Exam-Quiz-Vid-Quiz,Vid2H-Quiz2H-Quiz1H-Vid4H-Exam1H-Exam2H-Quiz2H
28,224,2,Pinsonneault,Languages,2013,29,19,4,15,0.19,19,Low Digitalization,2,2,0,1,2,0,3,0,1,0,0,2,0,0,0,0,0,Quiz-Quiz-Vid,Quiz1H-Quiz1H-Vid2H
29,232,2,Pinsonneault,Languages,2013,30,6,1,5,0.14,14,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
30,240,2,Pinsonneault,Languages,2013,31,12,0,12,0.0,0,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31,248,2,Pinsonneault,Languages,2013,32,32,13,19,0.42,42,Medium-Low Digitalization,6,4,3,5,2,2,9,4,1,0,0,0,2,1,1,0,0,Exam-Vid-Quiz-Vid-Vid-Vid-Vid-Quiz-Exam,Quiz2H-Vid2H-Exam1H-Vid1H-Vid1H-Exam2H-Vid1H-Quiz2H-Vid1H
32,256,2,Pinsonneault,Languages,2013,33,19,1,18,0.04,4,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
33,264,2,Pinsonneault,Languages,2013,34,13,3,10,0.2,20,Low Digitalization,1,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,Vid-Quiz,Quiz2H-Vid1H
34,272,3,Legard,Languages,2013,35,40,17,23,0.42,42,Medium-Low Digitalization,9,7,1,3,7,1,11,0,1,1,1,7,0,1,0,0,0,Vid-Quiz-Vid-Quiz-Exam-Quiz-Quiz-Quiz-Quiz-Vid-Quiz,Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid4H-Vid3H-Quiz1H-Vid2H-Quiz1H-Exam1H-Quiz1H
35,280,3,Legard,Languages,2013,36,13,6,7,0.43,43,Medium-Low Digitalization,3,3,0,1,3,0,4,0,0,1,0,3,0,0,0,0,0,Quiz-Vid-Quiz-Quiz,Vid3H-Quiz1H-Quiz1H-Quiz1H
36,288,3,Legard,Languages,2013,37,54,4,50,0.07,7,Low Digitalization,2,2,0,1,2,0,3,0,1,0,0,2,0,0,0,0,0,Quiz-Quiz-Vid,Quiz1H-Vid2H-Quiz1H
37,296,3,Legard,Languages,2013,38,52,2,50,0.04,4,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Vid-Quiz,Quiz1H-Vid1H
38,304,3,Legard,Languages,2013,39,40,9,31,0.22,22,Medium-Low Digitalization,4,4,1,1,3,1,5,0,0,0,1,2,1,1,0,0,0,Quiz-Exam-Vid-Quiz-Quiz,Quiz1H-Exam1H-Vid4H-Quiz1H-Quiz2H
39,312,4,Nolet,Languages,2013,40,25,8,17,0.32,32,Medium-Low Digitalization,5,2,1,2,1,1,4,1,0,0,1,0,1,1,0,0,0,Exam-Vid-Vid-Quiz,Vid1H-Quiz2H-Vid4H-Exam1H
40,320,4,Nolet,Languages,2013,41,7,3,4,0.42,42,Medium-Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,Vid-Quiz,Quiz1H-Vid2H
41,328,4,Nolet,Languages,2013,42,37,3,34,0.07,7,Low Digitalization,1,2,0,1,2,0,3,1,0,0,0,2,0,0,0,0,0,Quiz-Vid-Quiz,Quiz1H-Vid1H-Quiz1H
42,336,4,Nolet,Languages,2013,43,56,4,52,0.08,8,Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0,Vid-Exam-Quiz-Quiz,Exam1H-Quiz1H-Vid1H-Quiz1H
43,344,4,Nolet,Languages,2013,44,30,4,26,0.12,12,Low Digitalization,2,2,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,Quiz-Vid,Vid2H-Quiz2H
44,352,4,Nolet,Languages,2013,45,30,2,28,0.08,8,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Quiz-Vid,Quiz1H-Vid1H
45,360,4,Nolet,Languages,2013,46,9,1,8,0.06,6,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
46,368,4,Nolet,Languages,2013,47,32,3,29,0.08,8,Low Digitalization,1,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,Vid-Quiz,Vid1H-Quiz2H
47,376,4,Nolet,Languages,2013,48,48,9,39,0.19,19,Low Digitalization,4,4,1,3,2,1,6,2,1,0,0,0,2,1,0,0,0,Exam-Quiz-Vid-Vid-Vid-Quiz,Vid2H-Quiz2H-Quiz2H-Vid1H-Vid1H-Exam1H
48,384,4,Nolet,Languages,2013,49,13,4,9,0.32,32,Medium-Low Digitalization,2,2,0,2,1,0,3,2,0,0,0,0,1,0,0,0,0,Quiz-Vid-Vid,Quiz2H-Vid1H-Vid1H
49,392,4,Nolet,Languages,2013,50,40,4,36,0.1,10,Low Digitalization,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0,Quiz-Vid-Quiz-Exam,Quiz1H-Vid1H-Quiz1H-Exam1H
50,400,4,Nolet,Languages,2013,51,5,0,5,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,408,4,Nolet,Languages,2013,52,11,4,7,0.33,33,Medium-Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,Vid-Quiz-Exam,Exam1H-Vid1H-Quiz2H
52,416,4,Nolet,Languages,2013,53,31,6,25,0.19,19,Low Digitalization,2,3,1,1,2,1,4,0,1,0,0,1,1,1,0,0,0,Vid-Quiz-Exam-Quiz,Quiz2H-Quiz1H-Vid2H-Exam1H
53,424,5,Herpin,Languages,2013,54,32,13,19,0.4,40,Medium-Low Digitalization,6,5,2,3,3,2,8,1,1,1,0,1,2,2,0,0,0,Vid-Quiz-Quiz-Exam-Vid-Exam-Quiz-Vid,Vid3H-Exam1H-Quiz2H-Vid1H-Vid2H-Quiz1H-Exam1H-Quiz2H
54,432,5,Herpin,Languages,2013,55,18,6,12,0.34,34,Medium-Low Digitalization,3,2,1,1,2,1,4,0,0,1,0,2,0,1,0,0,0,Exam-Quiz-Quiz-Vid,Vid3H-Quiz1H-Quiz1H-Exam1H
55,440,5,Herpin,Languages,2013,56,15,7,8,0.49,49,Medium-Low Digitalization,4,3,0,3,2,0,5,2,1,0,0,1,1,0,0,0,0,Quiz-Quiz-Vid-Vid-Vid,Vid1H-Vid1H-Quiz2H-Vid2H-Quiz1H
56,448,5,Herpin,Languages,2013,57,36,17,19,0.47,47,Medium-Low Digitalization,7,7,3,5,5,1,11,4,0,1,0,3,2,0,0,1,0,Quiz-Vid-Vid-Vid-Exam-Quiz-Quiz-Vid-Quiz-Quiz-Vid,Quiz1H-Exam3H-Quiz2H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid3H-Quiz1H-Quiz2H
57,456,5,Herpin,Languages,2013,58,12,0,12,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
58,464,5,Herpin,Languages,2013,59,40,16,24,0.39,39,Medium-Low Digitalization,12,3,1,10,2,1,13,9,0,1,0,1,1,1,0,0,0,Exam-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Vid,Vid1H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H-Quiz1H-Vid3H-Vid1H-Vid1H-Exam1H-Vid1H-Vid1H
59,472,5,Herpin,Languages,2013,60,6,1,5,0.21,21,Medium-Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
60,480,5,Herpin,Languages,2013,61,10,2,8,0.17,17,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Vid-Quiz,Vid1H-Quiz1H
61,488,5,Herpin,Languages,2013,62,15,2,13,0.15,15,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Quiz-Vid,Vid1H-Quiz1H
62,496,6,Barre,Languages,2013,63,45,18,27,0.4,40,Medium-Low Digitalization,8,9,1,7,7,1,15,6,1,0,0,5,2,1,0,0,0,Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz-Vid-Exam-Quiz,Vid1H-Quiz2H-Vid1H-Quiz2H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid2H-Vid1H-Exam1H-Quiz1H-Quiz1H-Quiz1H-Vid1H
63,504,6,Barre,Languages,2013,64,56,25,31,0.44,44,Medium-Low Digitalization,13,12,0,13,7,0,20,13,0,0,0,2,5,0,0,0,0,Vid-Quiz-Vid-Vid-Vid-Vid-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Vid,Quiz2H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz2H-Quiz1H-Vid1H-Quiz2H-Vid1H-Vid1H-Quiz2H
64,512,6,Barre,Languages,2013,65,15,0,15,0.02,2,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
65,520,6,Barre,Languages,2013,66,33,15,18,0.46,46,Medium-Low Digitalization,11,3,1,10,2,1,13,9,1,0,0,1,1,1,0,0,0,Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Exam-Vid-Vid-Vid,Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid2H-Exam1H-Vid1H-Quiz2H-Vid1H
66,528,6,Barre,Languages,2013,67,27,11,16,0.39,39,Medium-Low Digitalization,5,4,2,5,3,1,9,5,0,0,0,2,1,0,1,0,0,Quiz-Quiz-Exam-Vid-Vid-Vid-Vid-Quiz-Vid,Vid1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz2H-Vid1H-Vid1H-Exam2H
67,536,6,Barre,Languages,2013,68,12,4,8,0.34,34,Medium-Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,Vid-Quiz-Exam,Exam1H-Quiz2H-Vid1H
68,544,7,Mathia,Languages,2013,69,5,2,3,0.38,38,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Quiz-Vid,Vid1H-Quiz1H
69,552,7,Mathia,Languages,2013,70,15,3,12,0.2,20,Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,Quiz-Vid,Vid2H-Quiz1H
70,560,7,Mathia,Languages,2013,71,16,7,9,0.43,43,Medium-Low Digitalization,2,3,2,2,3,2,7,2,0,0,0,3,0,2,0,0,0,Quiz-Quiz-Vid-Vid-Exam-Quiz-Exam,Vid1H-Quiz1H-Exam1H-Exam1H-Vid1H-Quiz1H-Quiz1H
71,568,7,Mathia,Languages,2013,72,21,7,14,0.35,35,Medium-Low Digitalization,4,2,1,3,2,1,6,2,1,0,0,2,0,1,0,0,0,Vid-Exam-Quiz-Vid-Quiz-Vid,Vid1H-Vid1H-Vid2H-Exam1H-Quiz1H-Quiz1H
72,576,7,Mathia,Languages,2013,73,33,6,27,0.19,19,Low Digitalization,2,3,1,1,3,1,5,0,1,0,0,3,0,1,0,0,0,Exam-Quiz-Quiz-Quiz-Vid,Quiz1H-Quiz1H-Quiz1H-Vid2H-Exam1H
73,584,7,Mathia,Languages,2013,74,26,5,21,0.18,18,Low Digitalization,2,3,0,1,3,0,4,0,1,0,0,3,0,0,0,0,0,Quiz-Quiz-Quiz-Vid,Quiz1H-Quiz1H-Quiz1H-Vid2H
74,592,7,Mathia,Languages,2013,75,12,3,9,0.26,26,Medium-Low Digitalization,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,Vid-Quiz,Vid2H-Quiz1H
75,600,7,Mathia,Languages,2013,76,8,0,8,0.03,3,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
76,608,7,Mathia,Languages,2013,77,36,5,31,0.13,13,Low Digitalization,3,2,0,2,2,0,4,1,1,0,0,2,0,0,0,0,0,Vid-Vid-Quiz-Quiz,Quiz1H-Vid1H-Vid2H-Quiz1H
77,616,7,Mathia,Languages,2013,78,25,5,20,0.19,19,Low Digitalization,2,3,0,1,2,0,3,0,1,0,0,1,1,0,0,0,0,Vid-Quiz-Quiz,Vid2H-Quiz2H-Quiz1H
78,624,8,Giard,History,2013,79,58,6,52,0.11,11,Low Digitalization,4,2,0,3,1,0,4,2,1,0,0,0,1,0,0,0,0,Vid-Vid-Quiz-Vid,Vid2H-Quiz2H-Vid1H-Vid1H
79,632,8,Giard,History,2013,80,34,9,25,0.26,26,Medium-Low Digitalization,5,4,0,4,3,0,7,3,1,0,0,2,1,0,0,0,0,Vid-Quiz-Quiz-Vid-Vid-Vid-Quiz,Quiz1H-Vid2H-Vid1H-Quiz2H-Quiz1H-Vid1H-Vid1H
80,640,8,Giard,History,2013,81,34,3,31,0.08,8,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Vid-Vid-Quiz,Vid1H-Vid1H-Quiz1H
81,648,8,Giard,History,2013,82,26,8,18,0.31,31,Medium-Low Digitalization,6,2,0,2,2,0,4,0,0,2,0,2,0,0,0,0,0,Quiz-Vid-Vid-Quiz,Vid3H-Quiz1H-Vid3H-Quiz1H
82,656,8,Giard,History,2013,83,24,5,19,0.2,20,Low Digitalization,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0,Quiz-Exam-Quiz-Vid-Quiz,Vid1H-Quiz1H-Quiz1H-Quiz1H-Exam1H
83,664,8,Giard,History,2013,84,7,1,6,0.14,14,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
84,672,9,Palin,History,2013,85,15,3,12,0.17,17,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Vid-Quiz-Vid,Vid1H-Vid1H-Quiz1H
85,680,9,Palin,History,2013,86,52,18,34,0.35,35,Medium-Low Digitalization,8,7,3,7,4,3,14,6,1,0,0,1,3,3,0,0,0,Quiz-Vid-Quiz-Exam-Vid-Exam-Vid-Vid-Vid-Quiz-Vid-Exam-Quiz-Vid,Vid1H-Vid1H-Exam1H-Exam1H-Quiz2H-Vid2H-Quiz2H-Vid1H-Vid1H-Vid1H-Exam1H-Quiz1H-Quiz2H-Vid1H
86,688,9,Palin,History,2013,87,45,20,25,0.45,45,Medium-Low Digitalization,13,5,2,8,5,2,15,5,2,0,1,5,0,2,0,0,0,Vid-Vid-Quiz-Vid-Exam-Vid-Vid-Quiz-Quiz-Vid-Exam-Vid-Vid-Quiz-Quiz,Vid4H-Exam1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Vid2H-Vid2H-Vid1H-Quiz1H-Vid1H-Vid1H-Exam1H-Vid1H-Quiz1H
87,696,9,Palin,History,2013,88,15,3,12,0.23,23,Medium-Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Quiz-Vid-Vid,Vid1H-Vid1H-Quiz1H
88,704,9,Palin,History,2013,89,50,5,45,0.1,10,Low Digitalization,1,3,1,1,2,1,4,1,0,0,0,1,1,1,0,0,0,Vid-Exam-Quiz-Quiz,Quiz1H-Quiz2H-Exam1H-Vid1H
89,712,9,Palin,History,2013,90,47,12,35,0.26,26,Medium-Low Digitalization,6,4,2,4,4,2,10,3,0,1,0,4,0,2,0,0,0,Quiz-Vid-Quiz-Vid-Quiz-Vid-Exam-Quiz-Vid-Exam,Quiz1H-Quiz1H-Vid1H-Quiz1H-Vid3H-Vid1H-Exam1H-Exam1H-Quiz1H-Vid1H
90,720,9,Palin,History,2013,91,6,1,5,0.12,12,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
91,728,9,Palin,History,2013,92,41,14,27,0.33,33,Medium-Low Digitalization,6,7,1,3,4,1,8,0,3,0,0,1,3,1,0,0,0,Quiz-Exam-Quiz-Vid-Quiz-Vid-Vid-Quiz,Quiz1H-Exam1H-Vid2H-Vid2H-Vid2H-Quiz2H-Quiz2H-Quiz2H
92,736,9,Palin,History,2013,93,23,5,18,0.23,23,Medium-Low Digitalization,2,2,1,2,1,1,4,2,0,0,0,0,1,1,0,0,0,Quiz-Vid-Vid-Exam,Vid1H-Quiz2H-Exam1H-Vid1H
93,744,9,Palin,History,2013,94,16,2,14,0.1,10,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Quiz-Vid,Vid1H-Quiz1H
94,752,9,Palin,History,2013,95,25,4,22,0.14,14,Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,Quiz-Exam-Vid,Exam1H-Quiz2H-Vid1H
95,760,9,Palin,History,2013,96,38,7,31,0.18,18,Low Digitalization,4,3,0,4,2,0,6,4,0,0,0,1,1,0,0,0,0,Quiz-Vid-Vid-Quiz-Vid-Vid,Quiz2H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H
96,768,10,Meche,History,2013,97,17,8,8,0.5,50,Medium-Low Digitalization,3,4,1,3,3,1,7,3,0,0,0,2,1,1,0,0,0,Quiz-Quiz-Vid-Exam-Vid-Vid-Quiz,Vid1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Exam1H-Quiz2H
97,776,10,Meche,History,2013,98,16,0,16,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
98,784,10,Meche,History,2013,99,5,2,3,0.42,42,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Vid-Quiz,Vid1H-Quiz1H
99,792,10,Meche,History,2013,100,10,2,8,0.2,20,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Vid-Quiz,Vid1H-Quiz1H
100,800,10,Meche,History,2013,101,10,1,9,0.11,11,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
101,808,10,Meche,History,2013,102,7,2,5,0.32,32,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Vid-Quiz,Vid1H-Quiz1H
102,816,10,Meche,History,2013,103,11,1,10,0.1,10,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Quiz,Quiz1H
103,824,10,Meche,History,2013,104,34,3,31,0.09,9,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Vid-Quiz-Vid,Vid1H-Quiz1H-Vid1H
104,832,10,Meche,History,2013,105,9,4,5,0.46,46,Medium-Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,Exam-Vid-Quiz,Quiz2H-Vid1H-Exam1H
105,840,10,Meche,History,2013,106,5,2,3,0.48,48,Medium-Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Quiz-Vid,Vid1H-Quiz1H
106,848,10,Meche,History,2013,107,30,15,15,0.49,49,Medium-Low Digitalization,8,5,2,8,3,1,12,8,0,0,0,1,2,0,1,0,0,Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid-Exam-Vid-Vid-Quiz,Vid1H-Quiz1H-Vid1H-Quiz2H-Quiz2H-Vid1H-Vid1H-Vid1H-Exam2H-Vid1H-Vid1H-Vid1H
107,856,10,Meche,History,2013,108,10,3,7,0.32,32,Medium-Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,Vid-Vid-Quiz,Vid1H-Quiz1H-Vid1H
108,864,10,Meche,History,2013,109,19,5,14,0.27,27,Medium-Low Digitalization,4,1,0,4,1,0,5,4,0,0,0,1,0,0,0,0,0,Vid-Vid-Vid-Quiz-Vid,Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H
109,872,10,Meche,History,2013,110,27,11,16,0.41,41,Medium-Low Digitalization,4,4,3,4,3,3,10,4,0,0,0,2,1,3,0,0,0,Quiz-Vid-Vid-Vid-Quiz-Exam-Vid-Quiz-Exam-Exam,Vid1H-Exam1H-Vid1H-Quiz1H-Quiz1H-Exam1H-Vid1H-Vid1H-Quiz2H-Exam1H
